ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1977,1977-11-20,10,22.189,SDG,,OAK,W 12-7,*,5,13,38.46,51,0,2,10.9,0,0,3.92,-3.00,7,30,4.29,0,,,,,,,0,0
2,1977,1977-12-04,12,22.203,SDG,,CLE,W 37-14,,2,3,66.67,25,0,0,92.4,0,0,8.33,8.33,0,0,,0,,,,,,,0,0
3,1978,1978-09-24,4,23.132,SDG,,GNB,L 3-24,,5,7,71.43,49,0,1,51.2,0,0,7.00,0.57,0,0,,0,,,,,,,0,0
4,1978,1978-10-15,7,23.153,SDG,,MIA,L 21-28,,,,,,,,,,,,,,,,,,,,,,,,
5,1978,1978-10-22,8,23.160,SDG,@,DET,L 14-31,,,,,,,,,,,,,,,,,,,,,,,,
6,1978,1978-11-12,11,23.181,SDG,,KAN,W 29-23,,,,,,,,,,,,,,,,,,,,,,,,
7,1978,1978-11-19,12,23.188,SDG,@,MIN,W 13-7,,,,,,,,,,,,,,,,,,,,,,,,
8,1978,1978-11-26,13,23.195,SDG,@,KAN,L 0-23,,,,,,,,,,,,,,,,,,,,,,,,
9,1978,1978-12-04,14,23.203,SDG,,CHI,W 40-7,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,-3,-3.00,0,,,,,,,0,0
10,1978,1978-12-10,15,23.209,SDG,,SEA,W 37-10,,,,,,,,,,,,,,,,,,,,,,,,
11,1978,1978-12-17,16,23.216,SDG,@,HOU,W 45-24,,,,,,,,,,,,,,,,,,,,,,,,
12,1979,1979-09-02,1,24.110,SDG,@,SEA,W 33-16,,,,,,,,,,,,,,,,,,,,,,,,
13,1979,1979-09-09,2,24.117,SDG,,OAK,W 30-10,,0,0,,0,0,,,,,,,0,0,,0,1,1,100.0,,,,0,1
14,1979,1979-09-16,3,24.124,SDG,,BUF,W 27-19,,,,,,,,,,,,,,,,,,,,,,,,
15,1979,1979-09-23,4,24.131,SDG,@,NWE,L 21-27,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,1,0.0,0,0
