ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1985,1985-09-08,1,22.196,MIA,@,HOU,L 23-26,2,2,100.0,3,3,100.0,0,11
2,1985,1985-09-15,2,22.203,MIA,,IND,W 30-13,3,3,100.0,3,4,75.0,0,12
3,1985,1985-09-22,3,22.210,MIA,,KAN,W 31-0,4,4,100.0,1,1,100.0,0,7
4,1985,1985-09-29,4,22.217,MIA,@,DEN,W 30-26,3,3,100.0,3,3,100.0,0,12
5,1985,1985-10-06,5,22.224,MIA,,PIT,W 24-20,3,3,100.0,1,2,50.0,0,6
6,1985,1985-10-14,6,22.232,MIA,@,NYJ,L 7-23,1,1,100.0,,,,0,1
7,1985,1985-10-20,7,22.238,MIA,,TAM,W 41-38,5,5,100.0,2,2,100.0,0,11
8,1985,1985-10-27,8,22.245,MIA,@,DET,L 21-31,3,3,100.0,,,,0,3
9,1985,1985-11-03,9,22.252,MIA,@,NWE,L 13-17,1,1,100.0,2,2,100.0,0,7
10,1985,1985-11-10,10,22.259,MIA,,NYJ,W 21-17,3,3,100.0,,,,0,3
11,1985,1985-11-17,11,22.266,MIA,@,IND,W 34-20,4,4,100.0,2,3,66.7,0,10
12,1985,1985-11-24,12,22.273,MIA,@,BUF,W 23-14,2,3,66.7,1,1,100.0,0,5
13,1985,1985-12-02,13,22.281,MIA,,CHI,W 38-24,5,5,100.0,1,2,50.0,0,8
14,1985,1985-12-08,14,22.287,MIA,@,GNB,W 34-24,4,5,80.0,,1,0.0,0,4
15,1985,1985-12-16,15,22.295,MIA,,NWE,W 30-27,3,3,100.0,3,3,100.0,0,12
16,1985,1985-12-22,16,22.301,MIA,,BUF,W 28-0,4,4,100.0,,,,0,4
17,1986,1986-09-07,1,23.195,MIA,@,SDG,L 28-50,4,4,100.0,,,,0,4
18,1986,1986-09-14,2,23.202,MIA,,IND,W 30-10,3,4,75.0,1,2,50.0,0,6
19,1986,1986-09-21,3,23.209,MIA,@,NYJ,L 45-51,6,6,100.0,1,1,100.0,0,9
20,1986,1986-09-28,4,23.216,MIA,,SFO,L 16-31,1,2,50.0,1,3,33.3,0,4
21,1986,1986-10-05,5,23.223,MIA,@,NWE,L 7-34,1,1,100.0,,1,0.0,0,1
22,1986,1986-10-12,6,23.230,MIA,,BUF,W 27-14,3,3,100.0,2,3,66.7,0,9
23,1986,1986-10-19,7,23.237,MIA,,RAI,L 28-30,4,4,100.0,,,,0,4
24,1986,1986-10-26,8,23.244,MIA,@,IND,W 17-13,2,2,100.0,1,2,50.0,0,5
25,1986,1986-11-02,9,23.251,MIA,,HOU,W 28-7,4,4,100.0,,1,0.0,0,4
26,1986,1986-11-10,10,23.259,MIA,@,CLE,L 16-26,1,2,50.0,1,1,100.0,0,4
27,1986,1986-11-16,11,23.265,MIA,@,BUF,W 34-24,4,4,100.0,2,3,66.7,0,10
28,1986,1986-11-24,12,23.273,MIA,,NYJ,W 45-3,6,6,100.0,1,1,100.0,0,9
29,1986,1986-11-30,13,23.279,MIA,,ATL,L 14-20,2,2,100.0,,,,0,2
30,1986,1986-12-07,14,23.286,MIA,@,NOR,W 31-27,4,4,100.0,1,1,100.0,0,7
31,1986,1986-12-14,15,23.293,MIA,@,RAM,W 37-31,4,4,100.0,1,1,100.0,0,7
32,1986,1986-12-22,16,23.301,MIA,,NWE,L 27-34,3,3,100.0,2,2,100.0,0,9
33,1987,1987-09-13,1,24.201,MIA,@,NWE,L 21-28,3,3,100.0,,,,0,3
34,1987,1987-09-20,2,24.208,MIA,@,IND,W 23-10,2,2,100.0,1,1,100.0,0,5
35,1987,1987-10-25,6,24.243,MIA,,BUF,L 31-34,4,4,100.0,1,1,100.0,0,7
36,1987,1987-11-01,7,24.250,MIA,,PIT,W 35-24,5,5,100.0,,,,0,5
37,1987,1987-11-08,8,24.257,MIA,@,CIN,W 20-14,2,2,100.0,2,3,66.7,0,8
38,1987,1987-11-15,9,24.264,MIA,,IND,L 21-40,3,3,100.0,,,,0,3
39,1987,1987-11-22,10,24.271,MIA,@,DAL,W 20-14,2,2,100.0,2,3,66.7,0,8
40,1987,1987-11-29,11,24.278,MIA,@,BUF,L 0-27,,,,,,,,
41,1987,1987-12-07,12,24.286,MIA,,NYJ,W 37-28,4,5,80.0,1,1,100.0,0,7
42,1987,1987-12-20,14,24.299,MIA,,WAS,W 23-21,2,3,66.7,1,1,100.0,0,5
43,1987,1987-12-28,15,24.307,MIA,,NWE,L 10-24,1,1,100.0,1,1,100.0,0,4
44,1988,1988-09-04,1,25.193,MIA,@,CHI,L 7-34,1,1,100.0,,,,0,1
45,1988,1988-09-11,2,25.200,MIA,@,BUF,L 6-9,,,,2,3,66.7,0,6
46,1988,1988-09-18,3,25.207,MIA,,GNB,W 24-17,3,3,100.0,1,1,100.0,0,6
47,1988,1988-09-25,4,25.214,MIA,@,IND,L 13-15,1,1,100.0,,,,0,1
48,1988,1988-10-02,5,25.221,MIA,,MIN,W 24-7,3,3,100.0,1,1,100.0,0,6
49,1988,1988-10-09,6,25.228,MIA,@,RAI,W 24-14,3,3,100.0,1,1,100.0,0,6
50,1988,1988-10-16,7,25.235,MIA,,SDG,W 31-28,4,4,100.0,1,2,50.0,0,7
51,1988,1988-11-27,13,25.277,MIA,@,NYJ,L 34-38,4,5,80.0,,,,0,4
52,1988,1988-12-04,14,25.284,MIA,,IND,L 28-31,4,4,100.0,,,,0,4
53,1988,1988-12-12,15,25.292,MIA,,CLE,W 38-31,5,5,100.0,1,3,33.3,0,8
54,1988,1988-12-18,16,25.298,MIA,@,PIT,L 24-40,3,3,100.0,1,1,100.0,0,6
55,1990,1990-09-09,1,27.197,SDG,@,DAL,L 14-17,2,2,100.0,,1,0.0,0,2
56,1990,1990-09-16,2,27.204,SDG,,CIN,L 16-21,1,2,50.0,1,2,50.0,0,4
57,1990,1990-09-23,3,27.211,SDG,@,CLE,W 24-14,3,3,100.0,1,2,50.0,0,6
58,1990,1990-09-30,4,27.218,SDG,,HOU,L 7-17,1,1,100.0,,2,0.0,0,1
59,1990,1990-11-04,8,27.253,MIN,,DEN,W 27-22,,,,,,,,
60,1990,1990-11-11,9,27.260,MIN,@,DET,W 17-7,2,2,100.0,1,2,50.0,0,5
61,1990,1990-11-18,10,27.267,MIN,@,SEA,W 24-21,3,3,100.0,1,1,100.0,0,6
62,1990,1990-11-25,11,27.274,MIN,,CHI,W 41-13,5,5,100.0,2,2,100.0,0,11
63,1990,1990-12-02,12,27.281,MIN,,GNB,W 23-7,2,2,100.0,3,3,100.0,0,11
64,1990,1990-12-09,13,27.288,MIN,@,NYG,L 15-23,1,1,100.0,2,2,100.0,0,7
65,1990,1990-12-16,14,27.295,MIN,@,TAM,L 13-26,1,1,100.0,,,,0,1
66,1990,1990-12-22,15,27.301,MIN,,RAI,L 24-28,3,3,100.0,1,1,100.0,0,6
67,1990,1990-12-30,16,27.309,MIN,,SFO,L 17-20,2,2,100.0,1,1,100.0,0,5
68,1991,1991-09-01,1,28.189,MIN,@,CHI,L 6-10,,,,2,2,100.0,0,6
69,1991,1991-09-08,2,28.196,MIN,@,ATL,W 20-19,2,3,66.7,,,,0,2
70,1991,1991-09-15,3,28.203,MIN,,SFO,W 17-14,2,2,100.0,1,1,100.0,0,5
71,1991,1991-09-22,4,28.210,MIN,@,NOR,L 0-26,,,,,,,,
72,1991,1991-09-29,5,28.217,MIN,,DEN,L 6-13,,,,2,2,100.0,0,6
73,1991,1991-10-06,6,28.224,MIN,@,DET,L 20-24,2,2,100.0,2,2,100.0,0,8
74,1991,1991-10-13,7,28.231,MIN,,PHO,W 34-7,4,4,100.0,,,,0,4
75,1991,1991-10-20,8,28.238,MIN,@,NWE,L 23-26,2,2,100.0,3,4,75.0,0,11
76,1991,1991-10-27,9,28.245,MIN,@,PHO,W 28-0,4,4,100.0,,,,0,4
77,1991,1991-11-03,10,28.252,MIN,,TAM,W 28-13,4,4,100.0,,2,0.0,0,4
78,1991,1991-11-11,11,28.260,MIN,,CHI,L 17-34,2,2,100.0,1,1,100.0,0,5
79,1991,1991-11-17,12,28.266,MIN,@,GNB,W 35-21,5,5,100.0,,1,0.0,0,5
80,1991,1991-11-24,13,28.273,MIN,,DET,L 14-34,2,2,100.0,,,,0,2
81,1991,1991-12-08,14,28.287,MIN,@,TAM,W 26-24,2,2,100.0,4,5,80.0,0,14
82,1991,1991-12-15,15,28.294,MIN,,RAM,W 20-14,2,2,100.0,2,2,100.0,0,8
83,1991,1991-12-21,16,28.300,MIN,,GNB,L 7-27,1,1,100.0,,2,0.0,0,1
84,1992,1992-09-06,1,29.195,MIN,@,GNB,W 23-20,2,2,100.0,3,3,100.0,0,11
85,1992,1992-09-13,2,29.202,MIN,@,DET,L 17-31,2,2,100.0,1,3,33.3,0,5
86,1992,1992-09-20,3,29.209,MIN,,TAM,W 26-20,3,3,100.0,1,1,100.0,0,6
87,1992,1992-09-27,4,29.216,MIN,@,CIN,W 42-7,6,6,100.0,,,,0,6
88,1992,1992-10-04,5,29.223,MIN,,CHI,W 21-20,3,3,100.0,,,,0,3
89,1992,1992-10-15,6,29.234,MIN,,DET,W 31-14,4,4,100.0,1,2,50.0,0,7
90,1992,1992-10-25,7,29.244,MIN,,WAS,L 13-15,1,1,100.0,2,2,100.0,0,7
91,1992,1992-11-02,8,29.252,MIN,@,CHI,W 38-10,5,5,100.0,1,1,100.0,0,8
92,1992,1992-11-08,9,29.258,MIN,@,TAM,W 35-7,5,5,100.0,,,,0,5
93,1992,1992-11-15,10,29.265,MIN,,HOU,L 13-17,1,1,100.0,2,2,100.0,0,7
94,1992,1992-11-22,11,29.272,MIN,,CLE,W 17-13,2,2,100.0,1,1,100.0,0,5
95,1992,1992-11-29,12,29.279,MIN,@,RAM,W 31-17,4,4,100.0,1,1,100.0,0,7
96,1992,1992-12-06,13,29.286,MIN,@,PHI,L 17-28,2,2,100.0,1,2,50.0,0,5
97,1992,1992-12-13,14,29.293,MIN,,SFO,L 17-20,2,2,100.0,1,2,50.0,0,5
98,1992,1992-12-20,15,29.300,MIN,@,PIT,W 6-3,,,,2,2,100.0,0,6
99,1992,1992-12-27,16,29.307,MIN,,GNB,W 27-7,3,3,100.0,2,3,66.7,0,9
100,1993,1993-09-05,1,30.193,MIN,@,RAI,L 7-24,1,1,100.0,,1,0.0,0,1
101,1993,1993-09-12,2,30.200,MIN,,CHI,W 10-7,1,1,100.0,1,2,50.0,0,4
102,1993,1993-09-26,3,30.214,MIN,,GNB,W 15-13,,,,5,6,83.3,0,15
103,1993,1993-10-03,4,30.221,MIN,@,SFO,L 19-38,2,2,100.0,1,1,100.0,0,5
104,1993,1993-10-10,5,30.228,MIN,,TAM,W 15-0,1,1,100.0,2,2,100.0,0,7
105,1993,1993-10-25,6,30.243,MIN,@,CHI,W 19-12,1,2,50.0,2,3,66.7,0,7
106,1993,1993-10-31,7,30.249,MIN,,DET,L 27-30,3,3,100.0,2,2,100.0,0,9
107,1993,1993-11-07,8,30.256,MIN,,SDG,L 17-30,2,2,100.0,1,1,100.0,0,5
108,1993,1993-11-14,9,30.263,MIN,@,DEN,W 26-23,2,2,100.0,4,4,100.0,0,14
109,1993,1993-11-21,10,30.270,MIN,@,TAM,L 10-23,1,1,100.0,1,1,100.0,0,4
110,1993,1993-11-28,11,30.277,MIN,,NOR,L 14-17,2,2,100.0,,2,0.0,0,2
111,1993,1993-12-05,12,30.284,MIN,@,DET,W 13-0,1,1,100.0,2,3,66.7,0,7
112,1993,1993-12-12,13,30.291,MIN,,DAL,L 20-37,2,2,100.0,2,2,100.0,0,8
113,1993,1993-12-19,14,30.298,MIN,@,GNB,W 21-17,3,3,100.0,,2,0.0,0,3
114,1993,1993-12-26,15,30.305,MIN,,KAN,W 30-10,3,3,100.0,3,3,100.0,0,12
115,1993,1993-12-31,16,30.310,MIN,@,WAS,W 14-9,2,2,100.0,,,,0,2
116,1994,1994-09-04,1,31.192,MIN,@,GNB,L 10-16,1,1,100.0,1,1,100.0,0,4
117,1994,1994-09-11,2,31.199,MIN,,DET,W 10-3,1,1,100.0,1,2,50.0,0,4
118,1994,1994-09-18,3,31.206,MIN,@,CHI,W 42-14,4,4,100.0,2,2,100.0,0,10
