ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1962,1962-09-09,1,22.212,HOU,@,BUF,W 28-23,0,0,,0,1,19,19.00,0,1,0,0.00,0,0,0,0,0,0
2,1962,1962-09-16,2,22.219,HOU,@,BOS,L 21-34,0,0,,0,2,68,34.00,0,0,0,,0,0,0,0,0,0
3,1962,1962-09-23,3,22.226,HOU,@,SDG,W 42-17,0,0,,0,2,55,27.50,0,1,8,8.00,0,0,0,0,0,0
4,1962,1962-10-07,4,22.240,HOU,,BUF,W 17-14,0,0,,0,2,56,28.00,0,1,10,10.00,0,0,0,0,0,0
5,1962,1962-10-14,5,22.247,HOU,,NYT,W 56-17,0,0,,0,2,78,39.00,0,3,24,8.00,0,0,0,0,0,0
6,1962,1962-10-21,6,22.254,HOU,@,DEN,L 10-20,0,0,,0,3,90,30.00,0,3,12,4.00,0,0,0,0,0,0
7,1962,1962-10-28,7,22.261,HOU,,DTX,L 7-31,0,0,,0,2,64,32.00,0,0,0,,0,0,0,0,0,0
8,1962,1962-11-04,8,22.268,HOU,@,DTX,W 14-6,0,0,,0,0,0,,0,1,16,16.00,0,0,0,0,0,0
9,1962,1962-11-11,9,22.275,HOU,@,OAK,W 28-20,0,0,,0,3,59,19.67,0,2,5,2.50,0,0,0,0,0,0
10,1962,1962-11-18,10,22.282,HOU,,BOS,W 21-17,0,0,,0,1,26,26.00,0,0,0,,0,0,0,0,0,0
11,1962,1962-11-25,11,22.289,HOU,,SDG,W 33-27,0,0,,0,1,35,35.00,0,1,21,21.00,0,0,0,0,0,0
12,1962,1962-12-02,12,22.296,HOU,,DEN,W 34-17,0,0,,0,2,55,27.50,0,0,0,,0,0,0,1,0,0
13,1962,1962-12-09,13,22.303,HOU,,OAK,W 32-17,0,0,,0,2,93,46.50,0,1,20,20.00,0,0,0,1,33,0
14,1962,1962-12-15,14,22.309,HOU,@,NYT,W 44-10,0,0,,0,1,28,28.00,0,0,0,,0,0,0,0,0,0
15,1963,1963-09-07,1,23.210,HOU,,OAK,L 13-24,0,0,,0,2,58,29.00,0,2,10,5.00,0,0,0,0,0,0
16,1963,1963-09-14,2,23.217,HOU,,DEN,W 20-14,0,0,,0,1,16,16.00,0,3,34,11.33,0,0,0,0,0,0
17,1963,1963-09-28,4,23.231,HOU,@,BUF,W 31-20,0,0,,0,3,101,33.67,0,1,12,12.00,0,0,0,0,0,0
18,1963,1963-10-06,5,23.239,HOU,@,KAN,L 7-28,0,0,,0,4,99,24.75,0,1,9,9.00,0,0,0,0,0,0
19,1963,1963-10-13,6,23.246,HOU,@,DEN,W 33-24,0,0,,0,3,86,28.67,0,1,12,12.00,0,0,0,0,0,0
20,1963,1963-10-20,7,23.253,HOU,,BUF,W 28-14,0,0,,0,1,27,27.00,0,1,4,4.00,0,0,0,0,0,0
21,1963,1963-10-27,8,23.260,HOU,,KAN,W 28-7,0,0,,0,2,75,37.50,0,0,0,,0,0,0,0,0,0
22,1963,1963-11-01,9,23.265,HOU,@,BOS,L 3-45,0,0,,0,4,133,33.25,0,2,60,30.00,0,0,0,0,0,0
23,1963,1963-11-10,10,23.274,HOU,,NYJ,W 31-27,0,0,,0,4,127,31.75,0,0,0,,0,0,0,2,12,0
24,1963,1963-12-01,11,23.295,HOU,@,SDG,L 0-27,0,0,,0,3,75,25.00,0,0,0,,0,0,0,0,0,0
25,1963,1963-12-08,12,23.302,HOU,,BOS,L 28-46,0,0,,0,8,221,27.63,0,0,0,,0,0,0,0,0,0
26,1963,1963-12-15,13,23.309,HOU,,SDG,L 14-20,0,0,,0,2,59,29.50,0,2,4,2.00,0,0,0,0,0,0
