ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1995,1995-09-03,1,20.330,CHI,,MIN,W 31-14,,10,47,4.70,1,0,0,0,,0,0.0%,,1,6
2,1995,1995-09-11,2,20.338,CHI,,GNB,L 24-27,,11,29,2.64,2,0,0,0,,0,0.0%,,2,12
3,1995,1995-09-17,3,20.344,CHI,@,TAM,W 25-6,,20,55,2.75,0,1,0,0,,0,0.0%,0.00,0,0
4,1995,1995-09-24,4,20.351,CHI,@,STL,L 28-34,,16,40,2.50,0,0,0,0,,0,0.0%,,0,0
5,1995,1995-10-08,5,21.000,CHI,,CAR,W 31-27,,28,105,3.75,0,1,0,0,,0,0.0%,0.00,0,0
6,1995,1995-10-15,6,21.007,CHI,@,JAX,W 30-27,,20,79,3.95,0,3,2,25,12.50,0,66.7%,8.33,0,0
7,1995,1995-10-22,7,21.014,CHI,,HOU,W 35-32,,29,109,3.76,1,0,0,0,,0,0.0%,,1,6
8,1995,1995-10-30,8,21.022,CHI,@,MIN,W 14-6,,14,36,2.57,0,1,1,4,4.00,0,100.0%,4.00,0,0
9,1995,1995-11-05,9,21.028,CHI,,PIT,L 34-37,,21,63,3.00,0,0,0,0,,0,0.0%,,0,0
10,1995,1995-11-12,10,21.035,CHI,@,GNB,L 28-35,,13,54,4.15,2,0,0,0,,0,0.0%,,2,12
11,1995,1995-11-19,11,21.042,CHI,,DET,L 17-24,,12,17,1.42,0,0,0,0,,0,0.0%,,0,0
12,1995,1995-11-26,12,21.049,CHI,@,NYG,W 27-24,,16,76,4.75,0,3,2,14,7.00,0,66.7%,4.67,0,0
13,1995,1995-12-04,13,21.057,CHI,@,DET,L 7-27,,7,3,0.43,0,1,1,6,6.00,0,100.0%,6.00,0,0
14,1995,1995-12-10,14,21.063,CHI,@,CIN,L 10-16,,22,105,4.77,1,0,0,0,,0,0.0%,,1,6
15,1995,1995-12-17,15,21.070,CHI,,TAM,W 31-10,,27,134,4.96,3,3,1,7,7.00,0,33.3%,2.33,3,18
16,1995,1995-12-24,16,21.077,CHI,,PHI,W 20-14,,30,122,4.07,0,0,0,0,,0,0.0%,,0,0
17,1996,1996-09-22,4,21.350,CHI,@,DET,L 16-35,,10,27,2.70,0,2,2,13,6.50,0,100.0%,6.50,0,0
18,1996,1996-09-29,5,21.357,CHI,,OAK,W 19-17,,24,77,3.21,0,2,1,11,11.00,1,50.0%,5.50,1,6
19,1996,1996-10-06,6,21.364,CHI,,GNB,L 6-37,,20,43,2.15,0,1,1,2,2.00,0,100.0%,2.00,0,0
20,1996,1996-10-13,7,22.005,CHI,@,NOR,L 24-27,,14,40,2.86,0,1,1,1,1.00,0,100.0%,1.00,0,0
21,1996,1996-10-28,8,22.020,CHI,@,MIN,W 15-13,,11,36,3.27,1,0,0,0,,0,0.0%,,1,6
22,1996,1996-11-03,9,22.026,CHI,,TAM,W 13-10,,16,54,3.38,0,0,0,0,,0,0.0%,,0,0
23,1996,1996-11-10,10,22.033,CHI,@,DEN,L 12-17,,11,53,4.82,0,1,1,9,9.00,0,100.0%,9.00,0,0
24,1996,1996-11-24,12,22.047,CHI,,DET,W 31-14,,6,9,1.50,0,0,0,0,,0,0.0%,,0,0
25,1996,1996-12-01,13,22.054,CHI,@,GNB,L 17-28,,0,0,,0,0,0,0,,0,0.0%,,0,
26,1996,1996-12-08,14,22.061,CHI,,STL,W 35-9,,19,115,6.05,2,0,0,0,,0,0.0%,,2,12
27,1996,1996-12-14,15,22.067,CHI,,SDG,W 27-14,,5,7,1.40,0,0,0,0,,0,0.0%,,0,0
28,1996,1996-12-22,16,22.075,CHI,@,TAM,L 19-34,,7,35,5.00,0,1,1,8,8.00,0,100.0%,8.00,0,0
29,1997,1997-09-01,1,22.328,CHI,@,GNB,L 24-38,,16,41,2.56,0,2,2,20,10.00,0,100.0%,10.00,0,0
30,1997,1997-09-07,2,22.334,CHI,,MIN,L 24-27,,13,64,4.92,0,1,0,0,,0,0.0%,0.00,0,0
31,1997,1997-09-14,3,22.341,CHI,,DET,L 7-32,,2,7,3.50,0,0,0,0,,0,0.0%,,0,0
32,1999,1999-10-10,5,25.002,CLE,,CIN,L 17-18,,,,,,,,,,,0.0%,,,
33,1999,1999-10-17,6,25.009,CLE,@,JAX,L 7-24,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0
