ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2002,2002-09-15,2,22.338,GNB,@,NOR,L 20-35,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
2,2002,2002-09-22,3,22.345,GNB,@,DET,W 37-31,,3,5,1.67,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,,,,,1,21,21.00,0,0,0
3,2002,2002-09-29,4,22.352,GNB,,CAR,W 17-14,,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,
4,2002,2002-10-07,5,22.360,GNB,@,CHI,W 34-21,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,21,21.00,0,0,0
5,2002,2002-10-13,6,23.001,GNB,@,NWE,W 28-10,,3,12,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0
6,2002,2002-10-20,7,23.008,GNB,,WAS,W 30-9,,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,
7,2002,2002-11-04,8,23.023,GNB,,MIA,W 24-10,,1,28,28.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0
8,2002,2002-11-10,9,23.029,GNB,,DET,W 40-14,,12,27,2.25,0,5,4,14,3.50,0,80.0%,2.80,0,0,,0,0,0,,,,,,0,0,,0,0,0
9,2002,2002-11-17,10,23.036,GNB,@,MIN,L 21-31,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
10,2002,2002-11-24,11,23.043,GNB,@,TAM,L 7-21,,3,7,2.33,0,2,2,8,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
11,2002,2002-12-01,12,23.050,GNB,,CHI,W 30-20,,17,91,5.35,1,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,,,,,0,0,,0,1,6
12,2002,2002-12-08,13,23.057,GNB,,MIN,W 26-22,*,25,96,3.84,1,8,5,19,3.80,0,62.5%,2.38,0,0,,0,0,0,,,,,,0,0,,0,1,6
13,2002,2002-12-15,14,23.064,GNB,@,SFO,W 20-14,,3,10,3.33,0,3,3,3,1.00,0,100.0%,1.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
14,2002,2002-12-22,15,23.071,GNB,,BUF,W 10-0,,2,4,2.00,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
15,2002,2002-12-29,16,23.078,GNB,@,NYJ,L 17-42,,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0
16,2003,2003-09-07,1,23.330,GNB,,MIN,L 25-30,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
17,2003,2003-09-14,2,23.337,GNB,,DET,W 31-6,,4,8,2.00,0,3,2,16,8.00,1,66.7%,5.33,0,0,,0,0,0,,,,,,0,0,,0,1,6
18,2003,2003-09-21,3,23.344,GNB,@,ARI,L 13-20,,2,13,6.50,0,2,2,32,16.00,0,100.0%,16.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
19,2003,2003-09-29,4,23.352,GNB,@,CHI,W 38-23,,4,12,3.00,0,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
20,2003,2003-10-05,5,23.358,GNB,,SEA,W 35-13,,3,33,11.00,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,1,6
21,2003,2003-10-12,6,24.000,GNB,,KAN,L 34-40,,0,0,,0,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
22,2003,2003-11-02,8,24.021,GNB,@,MIN,W 30-27,,4,38,9.50,0,3,3,18,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
23,2003,2003-11-10,9,24.029,GNB,,PHI,L 14-17,,2,17,8.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0
24,2003,2003-11-16,10,24.035,GNB,@,TAM,W 20-13,,4,11,2.75,0,3,2,12,6.00,1,66.7%,4.00,0,0,,0,0,0,,,,,,0,0,,0,1,6
25,2003,2003-11-23,11,24.042,GNB,,SFO,W 20-10,,6,25,4.17,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0
26,2003,2003-11-27,12,24.046,GNB,@,DET,L 14-22,,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,
27,2003,2003-12-07,13,24.056,GNB,,CHI,W 34-21,,0,0,,0,3,2,22,11.00,0,66.7%,7.33,0,0,,0,0,0,,,,,,0,0,,0,0,0
28,2003,2003-12-14,14,24.063,GNB,@,SDG,W 38-21,,2,13,6.50,0,2,2,28,14.00,0,100.0%,14.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
29,2003,2003-12-22,15,24.071,GNB,@,OAK,W 41-7,,6,13,2.17,0,1,1,32,32.00,0,100.0%,32.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
30,2003,2003-12-28,16,24.077,GNB,,DEN,W 31-3,,3,17,5.67,0,4,3,16,5.33,0,75.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
31,2004,2004-09-13,1,24.337,GNB,@,CAR,W 24-14,,9,32,3.56,0,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0
32,2004,2004-09-19,2,24.343,GNB,,CHI,L 10-21,,6,15,2.50,0,4,4,22,5.50,0,100.0%,5.50,0,0,,0,0,0,,0,,,,0,0,,0,0,0
33,2004,2004-09-26,3,24.350,GNB,@,IND,L 31-45,,1,5,5.00,0,4,4,16,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0
34,2004,2004-10-03,4,24.357,GNB,,NYG,L 7-14,,0,0,,0,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,,,,0,0,,0,0,0
35,2004,2004-10-11,5,24.365,GNB,,TEN,L 27-48,,0,0,,0,4,3,22,7.33,0,75.0%,5.50,0,0,,0,0,0,,0,,,,0,0,,0,0,0
36,2004,2004-10-17,6,25.005,GNB,@,DET,W 38-10,,4,11,2.75,0,3,2,30,15.00,1,66.7%,10.00,0,0,,0,0,0,,0,,,,0,0,,0,1,6
37,2004,2004-10-24,7,25.012,GNB,,DAL,W 41-20,,0,0,,0,1,1,4,4.00,0,100.0%,4.00,1,1,100.00,8,1,0,139.6,0,0,8.00,28.00,0,0,,0,0,0
38,2004,2004-10-31,8,25.019,GNB,@,WAS,W 28-14,,0,0,,0,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0,,0,,,,0,0,,0,0,0
39,2004,2004-11-14,9,25.033,GNB,,MIN,W 34-31,,8,31,3.88,0,3,3,36,12.00,1,100.0%,12.00,0,0,,0,0,0,,0,,,,0,0,,0,1,6
40,2004,2004-11-21,10,25.040,GNB,@,HOU,W 16-13,,7,14,2.00,0,4,4,18,4.50,0,100.0%,4.50,0,0,,0,0,0,,0,,,,0,0,,0,0,0
41,2004,2004-11-29,11,25.048,GNB,,STL,W 45-17,,6,42,7.00,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0
42,2004,2004-12-05,12,25.054,GNB,@,PHI,L 17-47,,2,10,5.00,0,4,2,10,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,,,,0,0,,0,0,0
43,2004,2004-12-12,13,25.061,GNB,,DET,W 16-13,,2,20,10.00,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0
44,2004,2004-12-19,14,25.068,GNB,,JAX,L 25-28,,0,0,,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0
45,2004,2004-12-24,15,25.073,GNB,@,MIN,W 34-31,,1,2,2.00,0,5,4,31,7.75,0,80.0%,6.20,0,0,,0,0,0,,0,,,,0,0,,0,0,0
46,2004,2005-01-02,16,25.082,GNB,@,CHI,W 31-14,,19,42,2.21,0,3,3,23,7.67,0,100.0%,7.67,0,0,,0,0,0,,0,,,,0,0,,0,0,0
47,2005,2005-09-11,1,25.334,GNB,@,DET,L 3-17,,0,0,,0,7,4,24,6.00,0,57.1%,3.43,0,0,,0,0,0,,0,,,,0,0,,0,0,0
48,2005,2005-09-18,2,25.341,GNB,,CLE,L 24-26,,2,-1,-0.50,0,1,1,4,4.00,1,100.0%,4.00,0,0,,0,0,0,,0,,,,0,0,,0,1,6
49,2005,2005-09-25,3,25.348,GNB,,TAM,L 16-17,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
50,2005,2005-10-03,4,25.356,GNB,@,CAR,L 29-32,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
51,2005,2005-10-09,5,25.362,GNB,,NOR,W 52-3,,7,19,2.71,0,7,6,40,6.67,0,85.7%,5.71,0,0,,0,0,0,,0,,,,0,0,,0,0,0
52,2005,2005-10-23,6,26.011,GNB,@,MIN,L 20-23,,5,2,0.40,0,2,2,17,8.50,0,100.0%,8.50,1,1,100.00,14,0,0,118.7,0,0,14.00,14.00,0,0,,0,0,0
53,2005,2005-10-30,7,26.018,GNB,@,CIN,L 14-21,*,17,51,3.00,1,4,2,7,3.50,0,50.0%,1.75,0,0,,0,0,0,,0,,,,0,0,,0,1,6
54,2005,2005-11-21,10,26.040,GNB,,MIN,L 17-20,,4,14,3.50,0,5,4,25,6.25,0,80.0%,5.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0
55,2005,2005-11-27,11,26.046,GNB,@,PHI,L 14-19,*,2,9,4.50,0,4,3,33,11.00,0,75.0%,8.25,0,0,,0,0,0,,0,,,,0,0,,0,0,0
56,2005,2005-12-04,12,26.053,GNB,@,CHI,L 7-19,,2,14,7.00,0,11,7,69,9.86,0,63.6%,6.27,0,0,,0,0,0,,0,,,,0,0,,0,0,0
57,2005,2005-12-11,13,26.060,GNB,,DET,W 16-13,,4,0,0.00,0,1,1,-4,-4.00,0,100.0%,-4.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0
58,2005,2005-12-19,14,26.068,GNB,@,BAL,L 3-48,,4,27,6.75,0,5,4,27,6.75,0,80.0%,5.40,0,0,,0,0,0,,0,,,,0,0,,0,0,0
59,2005,2005-12-25,15,26.074,GNB,,CHI,L 17-24,*,6,22,3.67,0,9,8,61,7.63,0,88.9%,6.78,0,0,,0,0,0,,0,,,,0,0,,0,0,0
60,2005,2006-01-01,16,26.081,GNB,,SEA,W 23-17,*,7,16,2.29,0,9,6,44,7.33,0,66.7%,4.89,0,0,,0,0,0,,0,,,,0,0,,0,0,0
