ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2011,2011-10-02,4,22.153,NWE,@,OAK,W 31-19,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
2,2011,2011-10-09,5,22.160,NWE,,NYJ,W 30-21,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,1
3,2011,2011-10-16,6,22.167,NWE,,DAL,W 20-16,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
4,2011,2011-11-21,10,22.203,NWE,,KAN,W 34-3,,8,39,4.88,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0
5,2011,2011-11-27,11,22.209,NWE,@,PHI,W 38-20,,7,18,2.57,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
6,2012,2012-09-30,4,23.151,NWE,@,BUF,W 52-28,,1,0,0.00,0,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
7,2012,2012-10-07,5,23.158,NWE,,DEN,W 31-21,,1,1,1.00,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0
8,2012,2012-10-14,6,23.165,NWE,@,SEA,L 23-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
9,2012,2012-10-21,7,23.172,NWE,,NYJ,W 29-26,*,8,49,6.13,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
10,2012,2012-10-28,8,23.179,NWE,@,STL,W 45-7,,7,22,3.14,1,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0
11,2012,2012-11-11,9,23.193,NWE,,BUF,W 37-31,,5,5,1.00,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
