ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1975,1975-09-21,1,23.084,BUF,,NYJ,W 42-14,0,0,,0,1,0,0
2,1975,1975-09-28,2,23.091,BUF,@,PIT,W 30-21,,,,,,,
3,1975,1975-10-05,3,23.098,BUF,,DEN,W 38-14,1,9,9.00,0,0,0,0
4,1975,1975-10-12,4,23.105,BUF,@,BAL,W 38-31,,,,,,,
5,1975,1975-10-20,5,23.113,BUF,,NYG,L 14-17,,,,,,,
6,1975,1975-11-02,7,23.126,BUF,@,NYJ,W 24-23,,,,,,,
7,1975,1975-11-09,8,23.133,BUF,,BAL,L 35-42,,,,,,,
8,1975,1975-11-17,9,23.141,BUF,@,CIN,L 24-33,,,,,,,
9,1975,1975-11-27,11,23.151,BUF,@,STL,W 32-14,0,0,,0,1,0,0
10,1975,1975-12-07,12,23.161,BUF,@,MIA,L 21-31,,,,,,,
11,1975,1975-12-14,13,23.168,BUF,@,NWE,W 34-14,,,,,,,
12,1975,1975-12-20,14,23.174,BUF,,MIN,L 13-35,0,0,,0,1,13,0
