ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,all_td,scoring,def_int,def_int_yds,def_int_td
1,1985,1985-09-08,1,22.334,SDG,@,BUF,W 14-9,,,,,
2,1985,1985-09-15,2,22.341,SDG,,SEA,L 35-49,,,,,
3,1985,1985-09-22,3,22.348,SDG,@,CIN,W 44-41,,,,,
4,1985,1985-09-29,4,22.355,SDG,,CLE,L 7-21,,,,,
5,1985,1985-10-06,5,22.362,SDG,@,SEA,L 21-26,,,,,
6,1985,1985-10-13,6,23.004,SDG,,KAN,W 31-20,,,,,
7,1985,1985-10-20,7,23.011,SDG,@,MIN,L 17-21,,,,,
8,1985,1985-10-28,8,23.019,SDG,@,RAI,L 21-34,,,,,
9,1985,1985-11-03,9,23.025,SDG,,DEN,W 30-10,,,,,
10,1985,1985-11-10,10,23.032,SDG,,RAI,W 40-34,,,,,
11,1985,1985-11-17,11,23.039,SDG,@,DEN,L 24-30,,,,,
12,1985,1985-11-24,12,23.046,SDG,@,HOU,L 35-37,0,0,1,11,0
13,1985,1985-12-01,13,23.053,SDG,,BUF,W 40-7,1,6,2,97,1
14,1985,1985-12-08,14,23.060,SDG,,PIT,W 54-44,0,0,1,31,0
15,1985,1985-12-15,15,23.067,SDG,,PHI,W 20-14,,,,,
16,1985,1985-12-22,16,23.074,SDG,@,KAN,L 34-38,,,,,
