ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1972,1972-09-17,1,22.019,CIN,@,NWE,W 31-7,0,0,,0,0,0,,0,2,3,1.50,0,0,0,0,0,0
2,1972,1972-09-24,2,22.026,CIN,,PIT,W 15-10,0,0,,0,0,0,,0,5,53,10.60,0,0,0,0,0,0
3,1972,1972-10-01,3,22.033,CIN,@,CLE,L 6-27,0,0,,0,0,0,,0,3,23,7.67,0,0,0,0,0,0
4,1972,1972-10-08,4,22.040,CIN,,DEN,W 21-10,0,0,,0,0,0,,0,4,106,26.50,1,1,6,0,0,0
5,1972,1972-10-15,5,22.047,CIN,@,KAN,W 23-16,0,0,,0,0,0,,0,2,15,7.50,0,0,0,1,33,0
6,1972,1972-10-22,6,22.054,CIN,@,RAM,L 12-15,0,0,,0,1,34,34.00,0,0,0,,0,0,0,1,7,0
7,1972,1972-10-29,7,22.061,CIN,,HOU,W 30-7,0,0,,0,0,0,,0,2,6,3.00,0,0,0,0,0,0
8,1972,1972-11-05,8,22.068,CIN,@,PIT,L 17-40,0,0,,0,0,0,,0,1,2,2.00,0,0,0,0,0,0
9,1972,1972-11-12,9,22.075,CIN,,OAK,L 14-20,0,0,,0,0,0,,0,1,3,3.00,0,0,0,1,25,0
10,1972,1972-11-19,10,22.082,CIN,,BAL,L 19-20,0,0,,0,0,0,,0,2,0,0.00,0,0,0,0,0,0
11,1972,1972-11-26,11,22.089,CIN,@,CHI,W 13-3,0,0,,0,0,0,,0,1,17,17.00,0,0,0,1,25,0
12,1972,1972-12-03,12,22.096,CIN,,NYG,W 13-10,0,0,,0,0,0,,0,4,22,5.50,0,0,0,1,18,0
13,1972,1972-12-09,13,22.102,CIN,,CLE,L 24-27,,,,,,,,,,,,,,,,,
14,1972,1972-12-17,14,22.110,CIN,@,HOU,W 61-17,0,0,,0,0,0,,0,3,39,13.00,0,0,0,0,0,0
15,1973,1973-09-16,1,23.018,CIN,@,DEN,L 10-28,0,0,,0,0,0,,0,2,26,13.00,0,0,0,0,0,0
16,1973,1973-09-23,2,23.025,CIN,,HOU,W 24-10,0,0,,0,0,0,,0,3,2,0.67,0,0,0,0,0,0
17,1973,1973-09-30,3,23.032,CIN,@,SDG,W 20-13,0,0,,0,0,0,,0,1,12,12.00,0,0,0,1,12,0
18,1973,1973-10-07,4,23.039,CIN,@,CLE,L 10-17,0,0,,0,0,0,,0,2,12,6.00,0,0,0,0,0,0
19,1973,1973-10-14,5,23.046,CIN,,PIT,W 19-7,0,0,,0,0,0,,0,3,25,8.33,0,0,0,0,0,0
20,1973,1973-10-21,6,23.053,CIN,,KAN,W 14-6,0,0,,0,0,0,,0,1,9,9.00,0,0,0,1,16,0
21,1973,1973-10-28,7,23.060,CIN,@,PIT,L 13-20,0,0,,0,0,0,,0,2,10,5.00,0,0,0,2,5,0
22,1973,1973-11-04,8,23.067,CIN,@,DAL,L 10-38,,,,,,,,,,,,,,,,,
23,1973,1973-12-09,13,23.102,CIN,,CLE,W 34-17,,,,,,,,,,,,,,,,,
24,1973,1973-12-16,14,23.109,CIN,@,HOU,W 27-24,0,0,,0,0,0,,0,1,23,23.00,0,0,0,0,0,0
25,1974,1974-09-15,1,24.017,CIN,,CLE,W 33-7,0,0,,0,1,48,48.00,0,3,17,5.67,0,0,0,0,0,0
26,1974,1974-09-22,2,24.024,CIN,,SDG,L 17-20,,,,,,,,,,,,,,,,,
27,1974,1974-09-29,3,24.031,CIN,@,SFO,W 21-3,0,0,,0,0,0,,0,3,23,7.67,0,0,0,1,0,0
28,1974,1974-10-06,4,24.038,CIN,,WAS,W 28-17,0,0,,0,0,0,,0,1,38,38.00,0,0,0,0,0,0
29,1974,1974-10-13,5,24.045,CIN,@,CLE,W 34-24,,,,,,,,,,,,,,,,,
30,1974,1974-10-20,6,24.052,CIN,@,OAK,L 27-30,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0
31,1974,1974-10-27,7,24.059,CIN,,HOU,L 21-34,0,0,,0,0,0,,0,3,-1,-0.33,0,0,0,0,0,0
32,1974,1974-11-03,8,24.066,CIN,@,BAL,W 24-14,,,,,,,,,,,,,,,,,
