ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
97,1983,1983-12-04,14,29.269,STL,@,NYG,W 10-6
98,1983,1983-12-11,15,29.276,STL,@,RAI,W 34-24
99,1983,1983-12-18,16,29.283,STL,,PHI,W 31-7
100,1984,1984-09-02,1,30.176,STL,@,GNB,L 23-24
101,1984,1984-09-09,2,30.183,STL,,BUF,W 37-7
102,1984,1984-09-16,3,30.190,STL,@,IND,W 34-33
103,1984,1984-09-23,4,30.197,STL,@,NOR,L 24-34
104,1984,1984-10-07,6,30.211,STL,@,DAL,W 31-20
105,1984,1984-10-14,7,30.218,STL,,CHI,W 38-21
106,1984,1984-10-21,8,30.225,STL,,WAS,W 26-24
107,1984,1984-10-28,9,30.232,STL,@,PHI,W 34-14
108,1984,1984-11-04,10,30.239,STL,,RAM,L 13-16
109,1984,1984-11-11,11,30.246,STL,,DAL,L 17-24
110,1984,1984-11-18,12,30.253,STL,@,NYG,L 10-16
111,1984,1984-11-25,13,30.260,STL,,PHI,W 17-16
112,1984,1984-12-02,14,30.267,STL,@,NWE,W 33-10
113,1984,1984-12-09,15,30.274,STL,,NYG,W 31-21
