ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks
1,1991,1991-11-24,12,24.098,GNB,,IND,W 14-10,,,,,,
2,1991,1991-12-01,13,24.105,GNB,@,ATL,L 31-35,,,,,,
3,1991,1991-12-08,14,24.112,GNB,@,CHI,L 13-27,,,,,,
4,1991,1991-12-15,15,24.119,GNB,,DET,L 17-21,,,,,,
5,1991,1991-12-21,16,24.125,GNB,@,MIN,W 27-7,,,,,,
6,1992,1992-09-06,1,25.019,GNB,,MIN,L 20-23,,0,0,,0,
7,1992,1992-09-13,2,25.026,GNB,@,TAM,L 3-31,,0,0,,0,
8,1992,1992-09-20,3,25.033,GNB,,CIN,W 24-23,,0,0,,0,
9,1992,1992-09-27,4,25.040,GNB,,PIT,W 17-3,,0,0,,0,
10,1992,1992-10-04,5,25.047,GNB,@,ATL,L 10-24,,0,0,,0,
11,1992,1992-10-18,6,25.061,GNB,@,CLE,L 6-17,,0,0,,0,
12,1992,1992-10-25,7,25.068,GNB,,CHI,L 10-30,,0,0,,0,
13,1992,1992-11-01,8,25.075,GNB,@,DET,W 27-13,,0,0,,0,
14,1992,1992-11-08,9,25.082,GNB,@,NYG,L 7-27,,0,0,,0,
15,1992,1992-11-15,10,25.089,GNB,,PHI,W 27-24,,0,0,,0,1.0
16,1992,1992-11-22,11,25.096,GNB,@,CHI,W 17-3,,0,0,,0,
17,1992,1992-11-29,12,25.103,GNB,,TAM,W 19-14,,1,14,14.00,0,0.0
18,1992,1992-12-06,13,25.110,GNB,,DET,W 38-10,,1,14,14.00,0,0.0
19,1992,1992-12-13,14,25.117,GNB,@,HOU,W 16-14,,0,0,,0,
20,1992,1992-12-20,15,25.124,GNB,,RAM,W 28-13,,1,11,11.00,0,1.0
21,1992,1992-12-27,16,25.131,GNB,@,MIN,L 7-27,,0,0,,0,
22,1993,1993-09-05,1,26.018,GNB,,RAM,W 36-6,,0,0,,0,
23,1993,1993-09-12,2,26.025,GNB,,PHI,L 17-20,,0,0,,0,
24,1993,1993-09-26,3,26.039,GNB,@,MIN,L 13-15,,0,0,,0,
25,1993,1993-10-03,4,26.046,GNB,@,DAL,L 14-36,,0,0,,0,
26,1993,1993-10-10,5,26.053,GNB,,DEN,W 30-27,,0,0,,0,
27,1993,1993-10-24,6,26.067,GNB,@,TAM,W 37-14,,0,0,,0,
28,1993,1993-10-31,7,26.074,GNB,,CHI,W 17-3,,1,13,13.00,0,0.0
29,1993,1993-11-08,8,26.082,GNB,@,KAN,L 16-23,,0,0,,0,
