ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1983,1983-09-04,1,24.349,MIA,@,BUF,W 12-0,4,15,3.75,0,0,0,,0,0,0
2,1983,1983-09-11,2,24.356,MIA,,NWE,W 34-24,8,22,2.75,0,0,0,,0,0,0
3,1983,1983-09-19,3,24.364,MIA,@,RAI,L 14-27,8,27,3.38,0,2,13,6.50,0,0,0
4,1983,1983-09-25,4,25.005,MIA,,KAN,W 14-6,0,0,,0,0,0,,0,0,
5,1983,1983-10-02,5,25.012,MIA,@,NOR,L 7-17,8,14,1.75,0,0,0,,0,0,0
6,1983,1983-10-09,6,25.019,MIA,,BUF,L 35-38,8,24,3.00,0,0,0,,0,0,0
7,1983,1983-10-16,7,25.026,MIA,@,NYJ,W 32-14,5,28,5.60,0,1,0,0.00,0,0,0
8,1983,1983-10-23,8,25.033,MIA,@,BAL,W 21-7,5,2,0.40,0,0,0,,0,0,0
9,1983,1983-10-30,9,25.040,MIA,,RAM,W 30-14,2,47,23.50,0,1,3,3.00,1,1,6
10,1983,1983-11-06,10,25.047,MIA,@,SFO,W 20-17,1,-4,-4.00,0,0,0,,0,0,0
11,1983,1983-11-13,11,25.054,MIA,@,NWE,L 6-17,1,2,2.00,0,1,15,15.00,0,0,0
12,1983,1983-11-20,12,25.061,MIA,,BAL,W 37-0,8,36,4.50,0,0,0,,0,0,0
13,1983,1983-12-10,15,25.081,MIA,,ATL,W 31-24,12,83,6.92,1,1,2,2.00,0,1,6
14,1983,1983-12-16,16,25.087,MIA,,NYJ,W 34-14,15,96,6.40,0,2,22,11.00,1,1,6
