ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2010,2010-09-12,1,22.046,CAR,@,NYG,L 18-31,,,0,0,0.0,3,1,0,0,0
2,2010,2010-09-19,2,22.053,CAR,,TAM,L 7-20,,,0,0,0.0,2,0,0,0,0
3,2010,2010-09-26,3,22.060,CAR,,CIN,L 7-20,,,0,0,0.0,1,0,0,0,0
4,2010,2010-10-03,4,22.067,CAR,@,NOR,L 14-16,,,0,0,0.0,1,0,0,0,0
5,2010,2010-10-10,5,22.074,CAR,,CHI,L 6-23,,,0,0,1.0,2,1,0,0,0
6,2010,2010-10-24,6,22.088,CAR,,SFO,W 23-20,,,0,0,0.0,0,0,0,0,0
7,2010,2010-10-31,7,22.095,CAR,@,STL,L 10-20,,,0,0,0.0,1,0,0,0,0
8,2010,2010-11-07,8,22.102,CAR,,NOR,L 3-34,,,0,0,0.0,0,1,0,0,0
9,2010,2010-11-21,10,22.116,CAR,,BAL,L 13-37,,,0,0,1.0,3,0,0,0,0
10,2010,2010-11-28,11,22.123,CAR,@,CLE,L 23-24,,,0,0,0.0,0,0,0,0,0
11,2010,2010-12-05,12,22.130,CAR,@,SEA,L 14-31,,,0,0,0.0,1,2,0,0,0
12,2010,2010-12-12,13,22.137,CAR,,ATL,L 10-31,,,0,0,0.0,0,0,0,0,0
13,2010,2010-12-19,14,22.144,CAR,,ARI,W 19-12,,,0,0,1.0,1,0,0,0,0
14,2010,2010-12-23,15,22.148,CAR,@,PIT,L 3-27,,,0,0,0.0,2,0,0,0,0
15,2010,2011-01-02,16,22.158,CAR,@,ATL,L 10-31,,,0,0,0.0,3,1,0,0,0
16,2011,2011-09-11,1,23.045,CAR,@,ARI,L 21-28,*,,0,0,1.0,4,1,0,0,0
17,2011,2011-09-18,2,23.052,CAR,,GNB,L 23-30,*,,0,0,0.0,1,1,0,0,0
18,2011,2011-09-25,3,23.059,CAR,,JAX,W 16-10,*,1,0,2,1.0,5,1,0,0,0
19,2011,2011-10-02,4,23.066,CAR,@,CHI,L 29-34,*,,0,0,0.0,3,0,0,0,0
20,2011,2011-10-09,5,23.073,CAR,,NOR,L 27-30,*,,0,0,1.0,4,1,0,0,0
21,2011,2011-10-16,6,23.080,CAR,@,ATL,L 17-31,*,,0,0,0.0,2,1,0,0,0
22,2011,2011-10-23,7,23.087,CAR,,WAS,W 33-20,*,,0,0,0.0,1,1,0,0,0
23,2011,2011-10-30,8,23.094,CAR,,MIN,L 21-24,*,,0,0,0.0,1,0,0,0,0
24,2011,2011-11-13,9,23.108,CAR,,TEN,L 3-30,*,,0,0,0.0,3,0,0,0,0
25,2011,2011-11-20,10,23.115,CAR,@,DET,L 35-49,*,,0,0,0.0,1,3,0,0,0
26,2011,2011-11-27,11,23.122,CAR,@,IND,W 27-19,*,,0,0,0.0,1,1,0,0,0
27,2011,2011-12-04,12,23.129,CAR,@,TAM,W 38-19,*,,0,0,0.0,3,0,0,0,0
28,2011,2011-12-11,13,23.136,CAR,,ATL,L 23-31,*,,0,0,0.0,2,1,0,0,0
29,2011,2011-12-18,14,23.143,CAR,@,HOU,W 28-13,*,,0,0,1.0,1,0,0,0,0
30,2011,2011-12-24,15,23.149,CAR,,TAM,W 48-16,*,,0,0,0.0,3,0,0,0,0
31,2011,2012-01-01,16,23.157,CAR,@,NOR,L 17-45,*,,0,0,0.0,3,1,0,0,0
32,2012,2012-09-09,1,24.043,CAR,@,TAM,L 10-16,,,0,0,0.0,5,2,0,0,0
33,2012,2012-09-16,2,24.050,CAR,,NOR,W 35-27,,,0,0,0.0,2,2,0,0,0
34,2012,2012-09-20,3,24.054,CAR,,NYG,L 7-36,,,,,,,,,,
35,2012,2012-09-30,4,24.064,CAR,@,ATL,L 28-30,*,,0,0,1.0,1,0,0,0,0
36,2012,2012-10-07,5,24.071,CAR,,SEA,L 12-16,*,,0,0,1.0,4,2,0,0,0
37,2012,2012-10-21,6,24.085,CAR,,DAL,L 14-19,,,0,0,0.0,1,1,0,0,0
38,2012,2012-10-28,7,24.092,CAR,@,CHI,L 22-23,*,,0,0,3.0,5,0,0,0,0
39,2012,2012-11-04,8,24.099,CAR,@,WAS,W 21-13,*,,0,0,1.5,4,3,0,0,0
40,2012,2012-11-11,9,24.106,CAR,,DEN,L 14-36,,,0,0,0.0,3,1,0,0,0
41,2012,2012-11-18,10,24.113,CAR,,TAM,L 21-27,*,,0,0,0.5,1,3,0,0,0
42,2012,2012-11-26,11,24.121,CAR,@,PHI,W 30-22,*,,0,0,1.0,4,1,0,0,0
43,2012,2012-12-02,12,24.127,CAR,@,KAN,L 21-27,*,,0,0,0.0,5,0,0,0,0
44,2012,2012-12-09,13,24.134,CAR,,ATL,W 30-20,*,,0,0,1.0,1,3,0,0,0
45,2012,2012-12-16,14,24.141,CAR,@,SDG,W 31-7,*,,0,0,2.0,5,0,0,0,0
46,2012,2012-12-23,15,24.148,CAR,,OAK,W 17-6,*,,0,0,0.0,0,2,0,0,0
47,2013,2013-09-08,1,25.042,CAR,,SEA,L 7-12,*,,0,0,0.0,1,2,0,0,0
48,2013,2013-09-15,2,25.049,CAR,@,BUF,L 23-24,,,0,0,0.0,1,3,0,0,0
49,2013,2013-09-22,3,25.056,CAR,,NYG,W 38-0,*,,0,0,3.0,5,3,0,0,0
50,2013,2013-10-06,4,25.070,CAR,@,ARI,L 6-22,*,,0,0,0.0,3,0,0,0,0
51,2013,2013-10-13,5,25.077,CAR,@,MIN,W 35-10,*,,0,0,0.0,1,2,0,0,0
52,2013,2013-10-20,6,25.084,CAR,,STL,W 30-15,*,,0,0,1.0,3,1,0,0,0
53,2013,2013-10-24,7,25.088,CAR,@,TAM,W 31-13,*,,0,0,1.0,4,0,0,0,0
54,2013,2013-11-03,8,25.098,CAR,,ATL,W 34-10,*,,0,0,0.0,1,2,0,0,0
55,2013,2013-11-10,9,25.105,CAR,@,SFO,W 10-9,*,,0,0,0.0,3,0,0,0,0
56,2013,2013-11-18,10,25.113,CAR,,NWE,W 24-20,*,,0,0,1.0,3,3,0,0,0
57,2013,2013-11-24,11,25.119,CAR,@,MIA,W 20-16,*,,0,0,0.0,3,0,0,0,0
58,2013,2013-12-01,12,25.126,CAR,,TAM,W 27-6,,,0,0,1.0,1,0,0,0,0
59,2013,2013-12-08,13,25.133,CAR,@,NOR,L 13-31,*,,0,0,0.0,1,0,0,0,0
60,2013,2013-12-15,14,25.140,CAR,,NYJ,W 30-20,*,,0,0,1.0,2,1,0,0,0
61,2013,2013-12-22,15,25.147,CAR,,NOR,W 17-13,,,0,0,3.0,2,2,0,0,0
62,2013,2013-12-29,16,25.154,CAR,@,ATL,W 21-20,*,,0,0,4.0,5,1,0,0,0
63,2014,2014-09-07,1,26.041,CAR,@,TAM,W 20-14,*,,0,0,1.0,3,1,0,0,0
64,2015,2015-10-11,5,27.075,DAL,,NWE,L 6-30,*,,0,0,2.0,4,1,0,0,0
65,2015,2015-10-25,6,27.089,DAL,@,NYG,L 20-27,*,,0,0,1.0,2,1,0,0,0
66,2015,2015-11-01,7,27.096,DAL,,SEA,L 12-13,*,,0,0,0.0,2,2,1,9,0
67,2015,2015-11-08,8,27.103,DAL,,PHI,L 27-33,*,,0,0,1.0,2,1,0,0,0
68,2015,2015-11-15,9,27.110,DAL,@,TAM,L 6-10,*,,0,0,0.0,1,0,0,0,0
69,2015,2015-11-22,10,27.117,DAL,@,MIA,W 24-14,*,,0,0,0.5,1,1,0,0,0
70,2015,2015-11-26,11,27.121,DAL,,CAR,L 14-33,*,,0,0,0.0,0,0,0,0,0
71,2015,2015-12-07,12,27.132,DAL,@,WAS,W 19-16,*,,0,0,0.0,1,1,0,0,0
72,2015,2015-12-13,13,27.138,DAL,@,GNB,L 7-28,*,,0,0,1.0,4,2,0,0,0
73,2015,2015-12-19,14,27.144,DAL,,NYJ,L 16-19,*,,0,0,0.0,4,1,0,0,0
74,2015,2015-12-27,15,27.152,DAL,@,BUF,L 6-16,*,,0,0,0.5,1,2,0,0,0
75,2015,2016-01-03,16,27.159,DAL,,WAS,L 23-34,*,,0,0,0.0,1,0,0,0,0
