ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1989,1989-09-10,1,22.233,DAL,@,NOR,L 0-28,,,,,,,,,
2,1989,1989-09-17,2,22.240,DAL,@,ATL,L 21-27,,,,,,,,,
3,1989,1989-09-24,3,22.247,DAL,,WAS,L 7-30,,,,,,,,,
4,1989,1989-10-01,4,22.254,DAL,,NYG,L 13-30,,,,,,,,,
5,1989,1989-10-08,5,22.261,DAL,@,GNB,L 13-31,,,,,,,,,
6,1989,1989-10-15,6,22.268,DAL,,SFO,L 14-31,,,,,,,,,
7,1989,1989-10-22,7,22.275,DAL,@,KAN,L 28-36,,,,,,,,,
8,1989,1989-10-29,8,22.282,DAL,,PHO,L 10-19,,,,,,,,,
9,1989,1989-11-05,9,22.289,DAL,@,WAS,W 13-3,,,,,,,,,
10,1989,1989-11-12,10,22.296,DAL,@,PHO,L 20-24,,,,,,,,,
11,1989,1989-11-19,11,22.303,DAL,,MIA,L 14-17,,,,,,,,,
12,1989,1989-11-23,12,22.307,DAL,,PHI,L 0-27,,,,,,,,,
13,1989,1989-12-03,13,22.317,DAL,,RAM,L 31-35,,,,,,,,,
14,1989,1989-12-10,14,22.324,DAL,@,PHI,L 10-20,,,,,,,,,
15,1989,1989-12-16,15,22.330,DAL,@,NYG,L 0-15,,,,,,,,,
16,1989,1989-12-24,16,22.338,DAL,,GNB,L 10-20,,,,,,,,,
17,1990,1990-09-09,1,23.232,DAL,,SDG,W 17-14,,,,,,0,0,,0
18,1990,1990-09-16,2,23.239,DAL,,NYG,L 7-28,,,,,,0,0,,0
19,1990,1990-09-23,3,23.246,DAL,@,WAS,L 15-19,,,,,,0,0,,0
20,1990,1990-09-30,4,23.253,DAL,@,NYG,L 17-31,,,,,,0,0,,0
21,1990,1990-10-07,5,23.260,DAL,,TAM,W 14-10,,,,,,0,0,,0
22,1990,1990-10-14,6,23.267,DAL,@,PHO,L 3-20,,,,,,0,0,,0
23,1990,1990-10-21,7,23.274,DAL,@,TAM,W 17-13,,,,,,0,0,,0
24,1990,1990-10-28,8,23.281,DAL,,PHI,L 20-21,,,,,,0,0,,0
25,1990,1990-11-04,9,23.288,DAL,@,NYJ,L 9-24,,,,,,0,0,,0
26,1990,1990-11-11,10,23.295,DAL,,SFO,L 6-24,,0,0,,0,1,15,15.00,0
27,1990,1990-11-18,11,23.302,DAL,@,RAM,W 24-21,,,,,,0,0,,0
28,1990,1990-11-22,12,23.306,DAL,,WAS,W 27-17,,,,,,0,0,,0
29,1990,1990-12-02,13,23.316,DAL,,NOR,W 17-13,,,,,,0,0,,0
30,1990,1990-12-16,14,23.330,DAL,,PHO,W 41-10,,,,,,0,0,,0
31,1990,1990-12-23,15,23.337,DAL,@,PHI,L 3-17,,,,,,0,0,,0
32,1990,1990-12-30,16,23.344,DAL,@,ATL,L 7-26,,,,,,0,0,,0
33,1991,1991-09-01,1,24.224,DAL,@,CLE,W 26-14,,,,,,,,,
34,1991,1991-09-09,2,24.232,DAL,,WAS,L 31-33,,,,,,,,,
35,1991,1991-09-15,3,24.238,DAL,,PHI,L 0-24,,,,,,,,,
36,1991,1991-09-22,4,24.245,DAL,@,PHO,W 17-9,,,,,,,,,
37,1991,1991-09-29,5,24.252,DAL,,NYG,W 21-16,,,,,,,,,
38,1991,1991-10-06,6,24.259,DAL,@,GNB,W 20-17,,,,,,,,,
39,1991,1991-10-13,7,24.266,DAL,,CIN,W 35-23,,,,,,,,,
40,1991,1991-10-27,8,24.280,DAL,@,DET,L 10-34,,,,,,,,,
41,1991,1991-11-03,9,24.287,DAL,,PHO,W 27-7,,,,,,,,,
42,1991,1991-11-10,10,24.294,DAL,@,HOU,L 23-26,,,,,,,,,
43,1991,1991-11-17,11,24.301,DAL,@,NYG,L 9-22,,,,,,,,,
44,1991,1991-11-24,12,24.308,DAL,@,WAS,W 24-21,,,,,,,,,
45,1991,1991-11-28,13,24.312,DAL,,PIT,W 20-10,,,,,,,,,
46,1991,1991-12-08,14,24.322,DAL,,NOR,W 23-14,,,,,,,,,
47,1991,1991-12-15,15,24.329,DAL,@,PHI,W 25-13,,,,,,,,,
48,1991,1991-12-22,16,24.336,DAL,,ATL,W 31-27,,,,,,,,,
49,1992,1992-09-20,3,25.244,DAL,,PHO,W 31-20,,,,,,,,,
50,1992,1992-10-05,4,25.259,DAL,@,PHI,L 7-31,,,,,,,,,
51,1992,1992-10-11,5,25.265,DAL,,SEA,W 27-0,,,,,,,,,
52,1992,1992-10-18,6,25.272,DAL,,KAN,W 17-10,,,,,,,,,
53,1992,1992-10-25,7,25.279,DAL,@,RAI,W 28-13,,,,,,,,,
