ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1995,1995-09-03,1,23.202,BUF,@,DEN,L 7-22,,,,,,,0.0%,
2,1995,1995-09-10,2,23.209,BUF,,CAR,W 31-9,,,,,,,0.0%,
3,1995,1995-09-17,3,23.216,BUF,,IND,W 20-14,,,,,,,0.0%,
4,1995,1995-10-02,4,23.231,BUF,@,CLE,W 22-19,,,,,,,0.0%,
5,1995,1995-10-08,5,23.237,BUF,,NYJ,W 29-10,,,,,,,0.0%,
6,1995,1995-10-15,6,23.244,BUF,,SEA,W 27-21,,,,,,,0.0%,
7,1995,1995-10-23,7,23.252,BUF,@,NWE,L 14-27,,,,,,,0.0%,
8,1995,1995-10-29,8,23.258,BUF,@,MIA,L 6-23,,,,,,,0.0%,
9,1995,1995-11-05,9,23.265,BUF,@,IND,W 16-10,,,,,,,0.0%,
10,1995,1995-11-12,10,23.272,BUF,,ATL,W 23-17,,,,,,,0.0%,
11,1995,1995-11-19,11,23.279,BUF,@,NYJ,W 28-26,,,,,,,0.0%,
12,1995,1995-11-26,12,23.286,BUF,,NWE,L 25-35,,,,,,,0.0%,
13,1995,1995-12-03,13,23.293,BUF,@,SFO,L 17-27,,,,,,,0.0%,
14,1995,1995-12-10,14,23.300,BUF,@,STL,W 45-27,,,,,,,0.0%,
15,1995,1995-12-17,15,23.307,BUF,,MIA,W 23-20,,,,,,,0.0%,
16,1995,1995-12-24,16,23.314,BUF,,HOU,L 17-28,,,,,,,0.0%,
17,1996,1996-09-01,1,24.201,BUF,@,NYG,W 23-20,,,,,,,0.0%,
18,1996,1996-09-22,4,24.222,BUF,,DAL,W 10-7,,,,,,,0.0%,
19,1996,1996-10-06,5,24.236,BUF,,IND,W 16-13,,,,,,,0.0%,
20,1996,1996-10-13,6,24.243,BUF,,MIA,L 7-21,,,,,,,0.0%,
21,1996,1996-10-20,7,24.250,BUF,@,NYJ,W 25-22,,,,,,,0.0%,
22,1996,1996-10-27,8,24.257,BUF,@,NWE,L 25-28,,,,,,,0.0%,
23,1996,1996-11-03,9,24.264,BUF,,WAS,W 38-13,,,,,,,0.0%,
24,1996,1996-11-10,10,24.271,BUF,@,PHI,W 24-17,,,,,,,0.0%,
25,1996,1996-11-17,11,24.278,BUF,,CIN,W 31-17,,,,,,,0.0%,
26,1996,1996-11-24,12,24.285,BUF,,NYJ,W 35-10,,,,,,,0.0%,
27,1996,1996-12-01,13,24.292,BUF,@,IND,L 10-13,,,,,,,0.0%,
28,1996,1996-12-08,14,24.299,BUF,@,SEA,L 18-26,,,,,,,0.0%,
29,1996,1996-12-16,15,24.307,BUF,@,MIA,L 14-16,,,,,,,0.0%,
30,1996,1996-12-22,16,24.313,BUF,,KAN,W 20-9,,,,,,,0.0%,
31,1997,1997-08-31,1,25.199,BUF,,MIN,L 13-34,,,,,,,0.0%,
32,1997,1997-09-07,2,25.206,BUF,@,NYJ,W 28-22,,,,,,,0.0%,
33,1997,1997-09-14,3,25.213,BUF,@,KAN,L 16-22,,,,,,,0.0%,
34,1997,1997-09-21,4,25.220,BUF,,IND,W 37-35,,,,,,,0.0%,
35,1997,1997-10-05,5,25.234,BUF,,DET,W 22-13,,,,,,,0.0%,
36,1997,1997-10-12,6,25.241,BUF,@,NWE,L 6-33,,,,,,,0.0%,
37,1997,1997-10-20,7,25.249,BUF,@,IND,W 9-6,,,,,,,0.0%,
38,1997,1997-10-26,8,25.255,BUF,,DEN,L 20-23,,,,,,,0.0%,
39,1997,1997-11-02,9,25.262,BUF,,MIA,W 9-6,,,,,,,0.0%,
