ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-10-18,6,24.266,NYJ,,BUF,L 13-16,,,,,,,,,,,0.0%,,,,,,,,,,,
2,2009,2009-10-25,7,24.273,NYJ,@,OAK,W 38-0,,3,24,8.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
3,2009,2009-11-01,8,24.280,NYJ,,MIA,L 25-30,,,,,,,,,,,0.0%,,,,,,,,,,,
4,2009,2009-11-22,10,24.301,NYJ,@,NWE,L 14-31,,,,,,,,,,,0.0%,,,,,,,,,,,
5,2009,2009-11-29,11,24.308,NYJ,,CAR,W 17-6,,1,1,1.00,0,2,2,23,11.50,0,100.0%,11.50,0,0,,0,,0,0,0.0,0,0
6,2009,2009-12-03,12,24.312,NYJ,@,BUF,W 19-13,,,,,,2,,,,,0.0%,,,,,,,,,,,
7,2009,2009-12-13,13,24.322,NYJ,@,TAM,W 26-3,,4,17,4.25,0,4,3,35,11.67,0,75.0%,8.75,0,0,,0,,0,0,0.0,0,0
8,2009,2009-12-20,14,24.329,NYJ,,ATL,L 7-10,,1,2,2.00,0,5,2,21,10.50,0,40.0%,4.20,1,16,16.00,0,,0,0,0.0,0,0
9,2009,2009-12-27,15,24.336,NYJ,@,IND,W 29-15,,0,0,,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,,0,0,0.0,0,0
10,2009,2010-01-03,16,24.343,NYJ,,CIN,W 37-0,,6,20,3.33,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
11,2010,2010-09-13,1,25.231,NYJ,,BAL,L 9-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
12,2010,2010-09-26,3,25.244,NWE,,BUF,W 38-30,*,3,42,14.00,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0
13,2010,2010-10-04,4,25.252,NWE,@,MIA,W 41-14,,8,36,4.50,0,1,1,11,11.00,1,100.0%,11.00,0,0,,0,,1,6,0.0,0,0
14,2010,2010-10-17,5,25.265,NWE,,BAL,W 23-20,,11,63,5.73,0,7,5,52,10.40,0,71.4%,7.43,0,0,,0,,0,0,0.0,0,0
15,2010,2010-10-24,6,25.272,NWE,@,SDG,W 23-20,,8,24,3.00,0,3,3,28,9.33,0,100.0%,9.33,0,0,,0,,0,0,0.0,0,0
16,2010,2010-10-31,7,25.279,NWE,,MIN,W 28-18,,6,13,2.17,1,6,5,45,9.00,0,83.3%,7.50,0,0,,0,,1,6,0.0,0,0
