ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,def_int,def_int_yds,def_int_td
1,1999,1999-10-17,6,23.094,ARI,,WAS,L 10-24,,,,,,
2,1999,2000-01-02,16,23.171,ARI,@,GNB,L 24-49,,,,,,
3,2000,2000-09-03,1,24.050,ARI,@,NYG,L 16-21,,,,,,
4,2000,2000-09-10,2,24.057,ARI,,DAL,W 32-31,,,,,,
5,2000,2000-09-24,3,24.071,ARI,,GNB,L 3-29,,,,,,
6,2000,2000-10-01,4,24.078,ARI,@,SFO,L 20-27,,,,,,
7,2000,2000-10-08,5,24.085,ARI,,CLE,W 29-21,,,,,,
8,2000,2000-10-15,6,24.092,ARI,,PHI,L 14-33,,,,,,
9,2000,2000-10-22,7,24.099,ARI,@,DAL,L 7-48,,,,,,
10,2000,2000-10-29,8,24.106,ARI,,NOR,L 10-21,,,,,,
11,2000,2000-11-05,9,24.113,ARI,,WAS,W 16-15,,,,,,
12,2000,2000-11-12,10,24.120,ARI,@,MIN,L 14-31,,,,,,
13,2000,2000-11-19,11,24.127,ARI,@,PHI,L 9-34,,,,,,
14,2000,2000-11-26,12,24.134,ARI,,NYG,L 7-31,,,,,,
15,2000,2000-12-03,13,24.141,ARI,@,CIN,L 13-24,,,,,,
16,2000,2000-12-10,14,24.148,ARI,@,JAX,L 10-44,,,,,,
17,2000,2000-12-17,15,24.155,ARI,,BAL,L 7-13,,,,,,
18,2000,2000-12-24,16,24.162,ARI,@,WAS,L 3-20,,,,,,
19,2001,2001-09-23,1,25.070,ARI,,DEN,L 17-38,,,,,,
20,2001,2001-09-30,2,25.077,ARI,,ATL,L 14-34,,,,,,
21,2001,2001-10-07,3,25.084,ARI,@,PHI,W 21-20,,,,,,
22,2001,2001-10-14,4,25.091,ARI,@,CHI,L 13-20,*,,,,,
23,2001,2001-10-21,5,25.098,ARI,,KAN,W 24-16,*,,,,,
24,2001,2001-10-28,6,25.105,ARI,@,DAL,L 3-17,*,,,,,
25,2001,2001-11-04,7,25.112,ARI,,PHI,L 7-21,*,,,,,
26,2001,2001-12-02,11,25.140,ARI,@,OAK,W 34-31,,,,,,
27,2001,2001-12-09,12,25.147,ARI,,WAS,L 10-20,,,,,,
28,2001,2001-12-15,13,25.153,ARI,@,NYG,L 13-17,,,,,,
29,2001,2001-12-23,14,25.161,ARI,,DAL,W 17-10,,,,,,
30,2001,2001-12-30,15,25.168,ARI,@,CAR,W 30-7,,,,,,
31,2001,2002-01-06,16,25.175,ARI,@,WAS,L 17-20,,,,,,
32,2002,2002-09-08,1,26.055,ARI,@,WAS,L 23-31,*,,,,,
33,2002,2002-09-15,2,26.062,ARI,@,SEA,W 24-13,,,,,,
34,2002,2002-09-22,3,26.069,ARI,,SDG,L 15-23,,0,0,1,7,0
35,2002,2002-09-29,4,26.076,ARI,,NYG,W 21-7,,1,6,1,38,1
36,2002,2002-10-06,5,26.083,ARI,@,CAR,W 16-13,,,,,,
37,2002,2002-10-20,6,26.097,ARI,,DAL,W 9-6,*,,,,,
38,2002,2002-10-27,7,26.104,ARI,@,SFO,L 28-38,,,,,,
39,2002,2002-11-03,8,26.111,ARI,,STL,L 14-27,,,,0,35,1
40,2002,2002-11-10,9,26.118,ARI,,SEA,L 6-27,,,,,,
41,2002,2002-11-17,10,26.125,ARI,@,PHI,L 14-38,,,,,,
42,2002,2002-11-24,11,26.132,ARI,,OAK,L 20-41,,,,,,
43,2002,2002-12-01,12,26.139,ARI,@,KAN,L 0-49,,,,,,
44,2002,2002-12-08,13,26.146,ARI,,DET,W 23-20,,,,,,
45,2002,2002-12-15,14,26.153,ARI,@,STL,L 28-30,,,,,,
46,2002,2002-12-21,15,26.159,ARI,,SFO,L 14-17,*,,,,,
47,2002,2002-12-29,16,26.167,ARI,@,DEN,L 7-37,*,,,,,
48,2003,2003-09-21,3,27.068,ARI,,GNB,W 20-13,,,,,,
49,2003,2003-09-28,4,27.075,ARI,@,STL,L 13-37,,,,,,
50,2003,2003-10-05,5,27.082,ARI,@,DAL,L 7-24,,,,,,
51,2003,2003-10-12,6,27.089,ARI,,BAL,L 18-26,,,,,,
52,2003,2003-10-26,7,27.103,ARI,,SFO,W 16-13,,,,,,
53,2003,2003-11-02,8,27.110,ARI,,CIN,W 17-14,,,,,,
54,2003,2003-11-09,9,27.117,ARI,@,PIT,L 15-28,,,,,,
55,2003,2003-11-16,10,27.124,ARI,@,CLE,L 6-44,,,,,,
56,2003,2003-11-23,11,27.131,ARI,,STL,L 27-30,,,,,,
57,2003,2003-11-30,12,27.138,ARI,@,CHI,L 3-28,,,,,,
58,2003,2003-12-07,13,27.145,ARI,@,SFO,L 14-50,,,,,,
59,2004,2004-09-12,1,28.059,STL,,ARI,W 17-10,,,,,,
60,2004,2004-09-19,2,28.066,STL,@,ATL,L 17-34,,,,,,
61,2004,2004-09-26,3,28.073,STL,,NOR,L 25-28,,,,,,
62,2004,2004-10-03,4,28.080,STL,@,SFO,W 24-14,,,,,,
63,2004,2004-10-10,5,28.087,STL,@,SEA,W 33-27,,,,,,
64,2004,2004-10-18,6,28.095,STL,,TAM,W 28-21,,,,,,
65,2004,2004-10-24,7,28.101,STL,@,MIA,L 14-31,,,,,,
