ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1989,1989-12-18,15,26.311,NOR,,PHI,W 30-20,,,,,,,,,
2,1989,1989-12-24,16,26.317,NOR,,IND,W 41-6,,,,,,,,,
3,1990,1990-09-10,1,27.212,NOR,,SFO,L 12-13,,,,,,,,,
4,1990,1990-09-16,2,27.218,NOR,@,MIN,L 3-32,,,,,,,,,
5,1990,1990-09-23,3,27.225,NOR,,PHO,W 28-7,,0,0,,0,0.0,1,0,0
6,1990,1990-10-07,4,27.239,NOR,@,ATL,L 27-28,,,,,,,,,
7,1990,1990-10-14,5,27.246,NOR,,CLE,W 25-20,,,,,,,,,
8,1990,1990-10-21,6,27.253,NOR,@,HOU,L 10-23,,,,,,,,,
9,1990,1990-10-28,7,27.260,NOR,,DET,L 10-27,,,,,,,,,
10,1990,1990-11-04,8,27.267,NOR,@,CIN,W 21-7,,,,,,,,,
11,1990,1990-11-11,9,27.274,NOR,,TAM,W 35-7,,0,0,,0,0.0,1,0,0
12,1990,1990-11-18,10,27.281,NOR,@,WAS,L 17-31,,,,,,,,,
13,1990,1990-11-25,11,27.288,NOR,,ATL,W 10-7,,,,,,,,,
14,1990,1990-12-02,12,27.295,NOR,@,DAL,L 13-17,,,,,,,,,
15,1990,1990-12-09,13,27.302,NOR,@,RAM,W 24-20,,,,,,,,,
16,1990,1990-12-16,14,27.309,NOR,,PIT,L 6-9,,,,,,,,,
17,1990,1990-12-23,15,27.316,NOR,@,SFO,W 13-10,,,,,,,,,
18,1990,1990-12-31,16,27.324,NOR,,RAM,W 20-17,,,,,,,,,
19,1991,1991-09-01,1,28.203,NOR,,SEA,W 27-24,,,,,,,,,
20,1991,1991-09-08,2,28.210,NOR,@,KAN,W 17-10,,,,,,,,,
21,1991,1991-09-15,3,28.217,NOR,,RAM,W 24-7,,,,,,,,,
22,1991,1991-09-22,4,28.224,NOR,,MIN,W 26-0,,,,,,,,,
23,1991,1991-09-29,5,28.231,NOR,@,ATL,W 27-6,,,,,,,,,
24,1991,1991-10-13,6,28.245,NOR,@,PHI,W 13-6,,,,,,,,,
25,1991,1991-10-20,7,28.252,NOR,,TAM,W 23-7,,,,,,,,,
