ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1974,1974-09-15,1,22.110,NOR,,SFO,L 13-17,1,23,23.00,0,0,0,,0,0,0,1,3,0
2,1974,1974-09-22,2,22.117,NOR,@,RAM,L 0-24,0,0,,0,0,0,,0,0,0,1,0,0
3,1974,1974-09-29,3,22.124,NOR,,ATL,W 14-13,,,,,,,,,,,,,
4,1974,1974-10-06,4,22.131,NOR,@,CHI,L 10-24,0,0,,0,0,0,,0,0,0,1,0,0
5,1974,1974-10-13,5,22.138,NOR,@,DEN,L 17-33,0,0,,0,0,0,,0,1,6,1,24,1
6,1974,1974-10-20,6,22.145,NOR,@,ATL,W 13-3,,,,,,,,,,,,,
7,1974,1974-10-27,7,22.152,NOR,,PHI,W 14-10,,,,,,,,,,,,,
8,1974,1974-11-03,8,22.159,NOR,@,DET,L 14-19,,,,,,,,,,,,,
9,1974,1974-11-10,9,22.166,NOR,,MIA,L 0-21,,,,,,,,,,,,,
10,1975,1975-09-21,1,23.116,NOR,@,WAS,L 3-41,,,,,,,,,,,,,
11,1975,1975-09-28,2,23.123,NOR,,CIN,L 0-21,,,,,,,,,,,,,
12,1975,1975-10-05,3,23.130,NOR,@,ATL,L 7-14,,,,,,,,,,,,,
13,1975,1975-10-12,4,23.137,NOR,,GNB,W 20-19,,,,,,,,,,,,,
14,1975,1975-10-19,5,23.144,NOR,@,SFO,L 21-35,,,,,,,,,,,,,
15,1975,1975-10-26,6,23.151,NOR,@,RAM,L 14-38,,,,,,,,,,,,,
16,1975,1975-11-02,7,23.158,NOR,,ATL,W 23-7,,,,,,,,,,,,,
17,1975,1975-11-16,9,23.172,NOR,,MIN,L 7-20,0,0,,0,0,0,,0,0,0,1,37,0
18,1975,1975-11-23,10,23.179,NOR,,SFO,L 6-16,0,0,,0,5,41,8.20,0,0,0,0,0,0
19,1975,1975-11-30,11,23.186,NOR,@,CLE,L 16-17,0,0,,0,1,7,7.00,0,0,0,0,0,0
20,1975,1975-12-07,12,23.193,NOR,,RAM,L 7-14,2,54,27.00,0,2,11,5.50,0,0,0,0,0,0
21,1975,1975-12-14,13,23.200,NOR,@,NYG,L 14-28,0,0,,0,3,17,5.67,0,0,0,0,0,0
22,1975,1975-12-21,14,23.207,NOR,,CHI,L 17-42,,,,,,,,,,,,,
23,1976,1976-09-12,1,24.107,CHI,,DET,W 10-3,,,,,,,,,,,,,
24,1976,1976-09-19,2,24.114,CHI,@,SFO,W 19-12,,,,,,,,,,,,,
25,1976,1976-09-26,3,24.121,CHI,,ATL,L 0-10,,,,,,,,,,,,,
26,1976,1976-10-03,4,24.128,CHI,,WAS,W 33-7,,,,,,,,,,,,,
27,1976,1976-10-10,5,24.135,CHI,@,MIN,L 19-20,,,,,,,,,,,,,
28,1976,1976-10-17,6,24.142,CHI,@,RAM,L 12-20,,,,,,,,,,,,,
29,1976,1976-10-24,7,24.149,CHI,@,DAL,L 21-31,,,,,,,,,,,,,
30,1976,1976-12-05,13,24.191,CHI,@,SEA,W 34-7,,,,,,,,,,,,,
31,1976,1976-12-12,14,24.198,CHI,,DEN,L 14-28,,,,,,,,,,,,,
32,1977,1977-09-18,1,25.113,CHI,,DET,W 30-20,,,,,,,,,,,,,
33,1977,1977-09-25,2,25.120,CHI,@,STL,L 13-16,,,,,,,,,,,,,
34,1977,1977-10-02,3,25.127,CHI,,NOR,L 24-42,,,,,,,,,,,,,
35,1977,1977-11-06,8,25.162,CHI,@,HOU,L 0-47,,,,,,,,,,,,,
36,1977,1977-11-13,9,25.169,CHI,,KAN,W 28-27,,,,,,,,,,,,,
37,1977,1977-11-20,10,25.176,CHI,,MIN,W 10-7,,,,,,,,,,,,,
38,1977,1977-11-24,11,25.180,CHI,@,DET,W 31-14,,,,,,,,,,,,,
39,1977,1977-12-04,12,25.190,CHI,@,TAM,W 10-0,,,,,,,,,,,,,
40,1977,1977-12-11,13,25.197,CHI,,GNB,W 21-10,,,,,,,,,,,,,
41,1977,1977-12-18,14,25.204,CHI,@,NYG,W 12-9,,,,,,,,,,,,,
42,1978,1978-09-03,1,26.098,CHI,,STL,W 17-10,0,0,,0,0,0,,0,0,0,1,0,0
43,1978,1978-09-10,2,26.105,CHI,@,SFO,W 16-13,0,0,,0,0,0,,0,0,0,1,23,0
44,1978,1978-09-17,3,26.112,CHI,@,DET,W 19-0,,,,,,,,,,,,,
45,1978,1978-09-25,4,26.120,CHI,,MIN,L 20-24,,,,,,,,,,,,,
46,1978,1978-10-01,5,26.126,CHI,,OAK,L 19-25,,,,,,,,,,,,,
47,1978,1978-10-08,6,26.133,CHI,@,GNB,L 14-24,,,,,,,,,,,,,
48,1978,1978-10-16,7,26.141,CHI,@,DEN,L 7-16,,,,,,,,,,,,,
49,1978,1978-10-22,8,26.147,CHI,@,TAM,L 19-33,,,,,,,,,,,,,
50,1978,1978-10-29,9,26.154,CHI,,DET,L 17-21,,,,,,,,,,,,,
51,1978,1978-11-05,10,26.161,CHI,,SEA,L 29-31,,,,,,,,,,,,,
52,1978,1978-11-12,11,26.168,CHI,@,MIN,L 14-17,,,,,,,,,,,,,
53,1978,1978-11-19,12,26.175,CHI,,ATL,W 13-7,,,,,,,,,,,,,
54,1978,1978-11-26,13,26.182,CHI,,TAM,W 14-3,,,,,,,,,,,,,
55,1978,1978-12-04,14,26.190,CHI,@,SDG,L 7-40,,,,,,,,,,,,,
56,1978,1978-12-10,15,26.196,CHI,,GNB,W 14-0,,,,,,,,,,,,,
57,1978,1978-12-16,16,26.202,CHI,@,WAS,W 14-10,,,,,,,,,,,,,
58,1979,1979-09-02,1,27.097,CHI,,GNB,W 6-3,,,,,,,,,,,,,
59,1979,1979-09-09,2,27.104,CHI,,MIN,W 26-7,0,0,,0,0,0,,0,0,0,1,8,0
60,1979,1979-09-16,3,27.111,CHI,@,DAL,L 20-24,,,,,,,,,,,,,
61,1979,1979-09-23,4,27.118,CHI,@,MIA,L 16-31,,,,,,,,,,,,,
62,1979,1979-09-30,5,27.125,CHI,,TAM,L 13-17,,,,,,,,,,,,,
63,1979,1979-10-07,6,27.132,CHI,@,BUF,W 7-0,,,,,,,,,,,,,
64,1979,1979-10-14,7,27.139,CHI,,NWE,L 7-27,,,,,,,,,,,,,
65,1979,1979-10-21,8,27.146,CHI,@,MIN,L 27-30,0,0,,0,0,0,,0,0,0,1,0,0
66,1979,1979-10-28,9,27.153,CHI,@,SFO,W 28-27,,,,,,,,,,,,,
67,1979,1979-11-04,10,27.160,CHI,,DET,W 35-7,0,0,,0,0,0,,0,1,6,1,20,1
68,1979,1979-11-11,11,27.167,CHI,,RAM,W 27-23,,,,,,,,,,,,,
69,1979,1979-11-18,12,27.174,CHI,,NYJ,W 23-13,0,0,,0,0,0,,0,0,0,1,0,0
70,1979,1979-11-22,13,27.178,CHI,@,DET,L 0-20,,,,,,,,,,,,,
71,1979,1979-12-02,14,27.188,CHI,@,TAM,W 14-0,0,0,,0,0,0,,0,0,0,2,16,0
72,1979,1979-12-09,15,27.195,CHI,@,GNB,W 15-14,,,,,,,,,,,,,
73,1979,1979-12-16,16,27.202,CHI,,STL,W 42-6,,,,,,,,,,,,,
74,1980,1980-09-07,1,28.102,CHI,@,GNB,L 6-12,,,,,,,,,,,,,
75,1980,1980-09-14,2,28.109,CHI,,NOR,W 22-3,,,,,,,,,,,,,
76,1980,1980-09-21,3,28.116,CHI,,MIN,L 14-34,0,0,,0,0,0,,0,0,0,1,0,0
77,1980,1980-09-28,4,28.123,CHI,@,PIT,L 3-38,,,,,,,,,,,,,
78,1980,1980-10-06,5,28.131,CHI,,TAM,W 23-0,,,,,,,,,,,,,
79,1980,1980-10-12,6,28.137,CHI,@,MIN,L 7-13,,,,,,,,,,,,,
80,1980,1980-10-19,7,28.144,CHI,,DET,W 24-7,,,,,,,,,,,,,
81,1980,1980-10-26,8,28.151,CHI,@,PHI,L 14-17,,,,,,,,,,,,,
82,1980,1980-11-03,9,28.159,CHI,@,CLE,L 21-27,,,,,,,,,,,,,
83,1980,1980-11-09,10,28.165,CHI,,WAS,W 35-21,,,,,,,,,,,,,
84,1980,1980-11-16,11,28.172,CHI,,HOU,L 6-10,,,,,,,,,,,,,
85,1980,1980-11-23,12,28.179,CHI,@,ATL,L 17-28,,,,,,,,,,,,,
86,1980,1980-11-27,13,28.183,CHI,@,DET,W 23-17,,,,,,,,,,,,,
87,1980,1980-12-07,14,28.193,CHI,,GNB,W 61-7,,,,,,,,,,,,,
88,1980,1980-12-14,15,28.200,CHI,,CIN,L 14-17,,,,,,,,,,,,,
89,1980,1980-12-20,16,28.206,CHI,@,TAM,W 14-13,,,,,,,,,,,,,
90,1981,1981-09-06,1,29.101,CHI,,GNB,L 9-16,,,,,,,,,,,,,
91,1981,1981-09-13,2,29.108,CHI,@,SFO,L 17-28,,,,,,,,,,,,,
92,1981,1981-09-20,3,29.115,CHI,,TAM,W 28-17,,,,,,,,,,,,,
93,1981,1981-09-28,4,29.123,CHI,,RAM,L 7-24,,,,,,,,,,,,,
