ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1989,1989-09-17,2,24.257,SDG,,HOU,L 27-34,0,0,,0,4,59,14.75,0,1,4,4.00,0
2,1989,1989-09-24,3,24.264,SDG,,KAN,W 21-6,0,0,,0,2,29,14.50,0,1,11,11.00,0
3,1989,1989-10-01,4,24.271,SDG,@,PHO,W 24-13,0,0,,0,2,43,21.50,0,0,0,,0
4,1989,1989-10-08,5,24.278,SDG,@,DEN,L 10-16,,,,,0,0,,0,0,0,,0
5,1989,1989-10-15,6,24.285,SDG,,SEA,L 16-17,0,0,,0,0,0,,0,1,0,0.00,0
6,1989,1989-10-22,7,24.292,SDG,,NYG,L 13-20,0,0,,0,2,28,14.00,0,0,0,,0
7,1989,1989-11-12,10,24.313,PHO,,DAL,W 24-20,0,0,,0,3,80,26.67,0,1,10,10.00,0
8,1989,1989-11-19,11,24.320,PHO,@,RAM,L 14-37,0,0,,0,7,145,20.71,0,0,0,,0
9,1989,1989-11-26,12,24.327,PHO,,TAM,L 13-14,0,0,,0,0,0,,0,0,0,,0
10,1989,1989-12-03,13,24.334,PHO,,WAS,L 10-29,0,0,,0,0,0,,0,0,0,,0
11,1989,1989-12-10,14,24.341,PHO,@,RAI,L 14-16,0,0,,0,2,39,19.50,0,0,0,,0
12,1989,1989-12-16,15,24.347,PHO,,DEN,L 0-37,0,0,,0,2,31,15.50,0,0,0,,0
13,1989,1989-12-24,16,24.355,PHO,@,PHI,L 14-31,1,8,8.00,0,3,52,17.33,0,0,0,,0
