ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2013,2013-09-08,1,22.091,ARI,@,STL,L 24-27,,,,,,,,,,,0.0%,,,,,,,
2,2013,2013-09-15,2,22.098,ARI,,DET,W 25-21,,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
3,2013,2013-09-22,3,22.105,ARI,@,NOR,L 7-31,,0,0,,0,1,1,2,2.00,0,100.0%,2.00,,0,0,0.0,0,0
4,2013,2013-09-29,4,22.112,ARI,@,TAM,W 13-10,,,,,,,,,,,0.0%,,,,,,,
5,2013,2013-10-06,5,22.119,ARI,,CAR,W 22-6,,,,,,,,,,,0.0%,,,,,,,
6,2013,2013-10-13,6,22.126,ARI,@,SFO,L 20-32,,2,7,3.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
7,2013,2013-10-17,7,22.130,ARI,,SEA,L 22-34,,,,,,,,,,,0.0%,,,,,,,
8,2013,2013-10-27,8,22.140,ARI,,ATL,W 27-13,,14,38,2.71,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
9,2013,2013-11-10,9,22.154,ARI,,HOU,W 27-24,,2,6,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
10,2013,2013-11-17,10,22.161,ARI,@,JAX,W 27-14,,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,1,0
11,2013,2013-11-24,11,22.168,ARI,,IND,W 40-11,,5,10,2.00,0,1,1,1,1.00,0,100.0%,1.00,,0,0,0.0,0,0
12,2013,2013-12-01,12,22.175,ARI,@,PHI,L 21-24,,3,15,5.00,0,3,2,45,22.50,0,66.7%,15.00,,0,0,0.0,0,0
13,2013,2013-12-08,13,22.182,ARI,,STL,W 30-10,,2,9,4.50,0,3,3,16,5.33,0,100.0%,5.33,,0,0,0.0,0,0
14,2013,2013-12-15,14,22.189,ARI,@,TEN,W 37-34,,3,6,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,1,0
15,2013,2013-12-22,15,22.196,ARI,@,SEA,W 17-10,,2,15,7.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
16,2013,2013-12-29,16,22.203,ARI,,SFO,L 20-23,,2,7,3.50,0,1,1,7,7.00,0,100.0%,7.00,,0,0,0.0,0,0
17,2014,2014-09-08,1,23.091,ARI,,SDG,W 18-17,,1,5,5.00,0,3,3,21,7.00,1,100.0%,7.00,,1,6,0.0,0,0
18,2014,2014-09-14,2,23.097,ARI,@,NYG,W 25-14,,,,,,,,,,,0.0%,,,,,,,
19,2014,2014-09-21,3,23.104,ARI,,SFO,W 23-14,,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
20,2014,2014-10-05,4,23.118,ARI,@,DEN,L 20-41,,1,6,6.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
21,2014,2014-10-12,5,23.125,ARI,,WAS,W 30-20,,3,10,3.33,0,2,1,0,0.00,0,50.0%,0.00,,0,0,0.0,0,0
22,2014,2014-10-19,6,23.132,ARI,@,OAK,W 24-13,,12,40,3.33,1,2,2,19,9.50,1,100.0%,9.50,,2,12,0.0,0,0
23,2014,2014-10-26,7,23.139,ARI,,PHI,W 24-20,,,,,,,,,,,0.0%,,,,,,,
24,2014,2014-11-16,10,23.160,ARI,,DET,W 14-6,,2,6,3.00,0,1,1,4,4.00,0,100.0%,4.00,,0,0,0.0,0,0
25,2014,2014-11-23,11,23.167,ARI,@,SEA,L 3-19,,5,14,2.80,0,0,0,0,,0,0.0%,,,0,0,0.0,1,0
26,2014,2014-11-30,12,23.174,ARI,@,ATL,L 18-29,,0,0,,0,2,1,3,3.00,1,50.0%,1.50,1,1,8,0.0,1,0
27,2014,2014-12-07,13,23.181,ARI,,KAN,W 17-14,*,6,19,3.17,0,1,1,7,7.00,0,100.0%,7.00,,0,0,0.0,0,0
28,2014,2014-12-11,14,23.185,ARI,@,STL,W 12-6,*,14,61,4.36,0,0,0,0,,0,0.0%,,,0,0,0.0,1,0
29,2014,2014-12-21,15,23.195,ARI,,SEA,L 6-35,*,11,19,1.73,0,3,2,25,12.50,0,66.7%,8.33,,0,0,0.0,0,0
30,2014,2014-12-28,16,23.202,ARI,@,SFO,L 17-20,*,7,26,3.71,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0
31,2015,2015-09-13,1,24.096,ARI,,NOR,W 31-19,,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
32,2015,2015-09-20,2,24.103,ARI,@,CHI,W 48-23,,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
33,2015,2015-09-27,3,24.110,ARI,,SFO,W 47-7,,4,6,1.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
34,2015,2015-10-04,4,24.117,ARI,,STL,L 22-24,,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
35,2015,2015-10-11,5,24.124,ARI,@,DET,W 42-17,,4,19,4.75,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0
36,2015,2015-10-18,6,24.131,ARI,@,PIT,L 13-25,,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
37,2015,2015-10-26,7,24.139,ARI,,BAL,W 26-18,,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
38,2015,2015-11-01,8,24.145,ARI,@,CLE,W 34-20,,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
39,2015,2015-11-15,9,24.159,ARI,@,SEA,W 39-32,,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
40,2015,2015-11-22,10,24.166,ARI,,CIN,W 34-31,,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
41,2015,2015-11-29,11,24.173,ARI,@,SFO,W 19-13,,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
42,2015,2015-12-06,12,24.180,ARI,@,STL,W 27-3,,5,20,4.00,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0
43,2015,2015-12-10,13,24.184,ARI,,MIN,W 23-20,,1,0,0.00,0,1,1,4,4.00,0,100.0%,4.00,,0,0,0.0,0,0
44,2015,2015-12-20,14,24.194,ARI,@,PHI,W 40-17,,2,11,5.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
45,2015,2015-12-27,15,24.201,ARI,,GNB,W 38-8,,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
46,2015,2016-01-03,16,24.208,ARI,,SEA,L 6-36,,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
47,2016,2016-09-18,2,25.101,ARI,,TAM,W 40-7,,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
48,2016,2016-09-25,3,25.108,ARI,@,BUF,L 18-33,,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
49,2016,2016-10-02,4,25.115,ARI,,LAR,L 13-17,,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
50,2016,2016-10-06,5,25.119,ARI,@,SFO,W 33-21,,2,-2,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
51,2016,2016-10-17,6,25.130,ARI,,NYJ,W 28-3,,2,14,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
52,2016,2016-10-23,7,25.136,ARI,,SEA,T 6-6,,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
