ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2002,2002-09-08,1,23.317,BAL,@,CAR,L 7-10,,0,0,,0,0,0,,0,0,0,,0,,,,6,218,36.33,0
2,2002,2002-09-15,2,23.324,BAL,,TAM,L 0-25,,0,0,,0,0,0,,0,0,0,,0,,,,7,285,40.71,0
3,2002,2002-09-30,3,23.339,BAL,,DEN,W 34-23,,0,0,,0,0,0,,0,0,0,,0,,,,6,315,52.50,0
4,2002,2002-10-06,4,23.345,BAL,@,CLE,W 26-21,,0,0,,0,0,0,,0,0,0,,0,,,,5,197,39.40,0
5,2002,2002-10-13,5,23.352,BAL,@,IND,L 20-22,,0,0,,0,0,0,,0,0,0,,0,,,,6,236,39.33,0
6,2002,2002-10-20,6,23.359,BAL,,JAX,W 17-10,,0,0,,0,0,0,,0,0,0,,0,,,,6,214,35.67,0
7,2002,2002-10-27,7,24.001,BAL,,PIT,L 18-31,,0,0,,0,0,0,,0,0,0,,0,,,,3,152,50.67,0
8,2002,2002-11-03,8,24.008,BAL,@,ATL,L 17-20,,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,5,206,41.20,0
9,2002,2002-11-10,9,24.015,BAL,,CIN,W 38-27,,0,0,,0,0,0,,0,0,0,,0,,,,4,168,42.00,0
10,2002,2002-11-17,10,24.022,BAL,@,MIA,L 7-26,,0,0,,0,0,0,,0,0,0,,0,,,,9,411,45.67,0
11,2002,2002-11-24,11,24.029,BAL,,TEN,W 13-12,,0,0,,0,0,0,,0,0,0,,0,,,,7,304,43.43,0
12,2002,2002-12-01,12,24.036,BAL,@,CIN,W 27-23,,0,0,,0,0,0,,0,0,0,,0,,,,4,140,35.00,0
13,2002,2002-12-08,13,24.043,BAL,,NOR,L 25-37,,0,0,,0,0,0,,0,0,0,,0,,,,2,100,50.00,2
14,2002,2002-12-15,14,24.050,BAL,@,HOU,W 23-19,,1,-12,-12.00,0,0,0,,0,0,0,,0,,,,4,170,42.50,0
