ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2003,2003-09-14,2,22.349,WAS,@,ATL,W 33-31,,1,,,,,0.0%,
2,2003,2003-09-21,3,22.356,WAS,,NYG,L 21-24,,,,,,,0.0%,
3,2003,2003-11-02,8,23.033,WAS,@,DAL,L 14-21,,0,,,,,0.0%,
4,2003,2003-11-09,9,23.040,WAS,,SEA,W 27-20,,1,,,,,0.0%,
5,2003,2003-11-16,10,23.047,WAS,@,CAR,L 17-20,,1,1,6,6.00,0,100.0%,6.00
6,2003,2003-11-23,11,23.054,WAS,@,MIA,L 23-24,,0,,,,,0.0%,
7,2003,2003-11-30,12,23.061,WAS,,NOR,L 20-24,,2,,,,,0.0%,
8,2003,2003-12-07,13,23.068,WAS,@,NYG,W 20-7,*,,,,,,0.0%,
9,2003,2003-12-14,14,23.075,WAS,,DAL,L 0-27,,,,,,,0.0%,
10,2003,2003-12-21,15,23.082,WAS,@,CHI,L 24-27,,,,,,,0.0%,
11,2003,2003-12-27,16,23.088,WAS,,PHI,L 7-31,*,2,2,11,5.50,0,100.0%,5.50
12,2004,2004-10-31,7,24.031,SFO,@,CHI,L 13-23,,,,,,,0.0%,
13,2004,2004-11-07,8,24.038,SFO,,SEA,L 27-42,,,,,,,0.0%,
14,2004,2004-11-14,9,24.045,SFO,,CAR,L 27-37,,0,,,,,0.0%,
15,2004,2004-11-21,10,24.052,SFO,@,TAM,L 3-35,,1,1,9,9.00,0,100.0%,9.00
16,2004,2004-11-28,11,24.059,SFO,,MIA,L 17-24,,,,,,,0.0%,
