ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1975,1975-09-21,1,22.079,DAL,,RAM,W 18-7,,,,,,,,,,,,
2,1975,1975-09-28,2,22.086,DAL,,STL,W 37-31,,,,,,,,,,,,
3,1975,1975-10-06,3,22.094,DAL,@,DET,W 36-10,,,,,,,,,,,,
4,1975,1975-10-12,4,22.100,DAL,@,NYG,W 13-7,0,0,,0,1,6,6.00,0,0.0,0,0,0
5,1975,1975-10-19,5,22.107,DAL,,GNB,L 17-19,,,,,,,,,,,,
6,1975,1975-10-26,6,22.114,DAL,@,PHI,W 20-17,,,,,,,,,,,,
7,1975,1975-11-02,7,22.121,DAL,@,WAS,L 24-30,1,21,21.00,0,0,0,,0,0.0,0,0,0
8,1975,1975-11-10,8,22.129,DAL,,KAN,L 31-34,,,,,,,,,,,,
9,1975,1975-12-13,13,22.162,DAL,,WAS,W 31-10,0,0,,0,1,7,7.00,0,0.0,0,0,0
10,1975,1975-12-21,14,22.170,DAL,@,NYJ,W 31-21,,,,,,,,,,,,
11,1976,1976-09-12,1,23.070,DAL,,PHI,W 27-7,,,,,,,,,,,,
12,1976,1976-09-19,2,23.077,DAL,@,NOR,W 24-6,,,,,,,,,,,,
13,1976,1976-09-26,3,23.084,DAL,,BAL,W 30-27,,,,,,,,,,,,
14,1976,1976-10-03,4,23.091,DAL,@,SEA,W 28-13,,,,,,,,,,,,
15,1976,1976-10-10,5,23.098,DAL,@,NYG,W 24-14,,,,,,,,,,,,
16,1976,1976-10-17,6,23.105,DAL,@,STL,L 17-21,,,,,,,,,,,,
17,1976,1976-10-24,7,23.112,DAL,,CHI,W 31-21,,,,,,,,,,,,
18,1976,1976-10-31,8,23.119,DAL,@,WAS,W 20-7,,,,,,,,,,,,
19,1976,1976-11-07,9,23.126,DAL,,NYG,W 9-3,,,,,,,,,,,,
20,1976,1976-11-15,10,23.134,DAL,,BUF,W 17-10,,,,,,,,,,,,
21,1976,1976-11-21,11,23.140,DAL,@,ATL,L 10-17,,,,,,,,,,,,
22,1976,1976-11-25,12,23.144,DAL,,STL,W 19-14,,,,,,,,,,,,
23,1976,1976-12-05,13,23.154,DAL,@,PHI,W 26-7,,,,,,,,,,,,
24,1976,1976-12-12,14,23.161,DAL,,WAS,L 14-27,,,,,,,,,,,,
25,1977,1977-09-18,1,24.076,DAL,@,MIN,W 16-10,,,,,,,,,,,,
26,1977,1977-09-25,2,24.083,DAL,,NYG,W 41-21,,,,,,,,,,,,
