ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1991,1991-12-21,16,23.189,MIN,,GNB,L 7-27,,,,,,,,,,,,,,,,,
2,1993,1993-09-05,1,25.082,CHI,,NYG,L 20-26,4,3,26,8.67,1,75.0%,6.50,3,52,17.33,0,1,28,28.00,0,1,6
3,1993,1993-09-12,2,25.089,CHI,@,MIN,L 7-10,2,0,0,,0,0.0%,0.00,3,76,25.33,0,3,48,16.00,0,0,0
4,1993,1993-09-26,3,25.103,CHI,,TAM,W 47-17,3,3,45,15.00,0,100.0%,15.00,0,0,,0,3,9,3.00,0,0,0
5,1993,1993-10-03,4,25.110,CHI,,ATL,W 6-0,1,0,0,,0,0.0%,0.00,0,0,,0,2,1,0.50,0,0,0
6,1993,1993-10-10,5,25.117,CHI,@,PHI,W 17-6,,0,0,,0,0.0%,,0,0,,0,3,28,9.33,0,0,0
7,1993,1993-10-25,6,25.132,CHI,,MIN,L 12-19,1,0,0,,0,0.0%,0.00,0,0,,0,3,18,6.00,0,0,0
8,1993,1993-10-31,7,25.138,CHI,@,GNB,L 3-17,1,1,10,10.00,0,100.0%,10.00,2,10,5.00,0,1,-2,-2.00,0,0,0
9,1993,1993-11-07,8,25.145,CHI,,RAI,L 14-16,4,2,28,14.00,1,50.0%,7.00,0,0,,0,2,13,6.50,0,1,6
10,1993,1993-11-14,9,25.152,CHI,@,SDG,W 16-13,,0,0,,0,0.0%,,0,0,,0,3,39,13.00,0,0,0
11,1993,1993-11-21,10,25.159,CHI,@,KAN,W 19-17,1,1,9,9.00,0,100.0%,9.00,0,0,,0,3,29,9.67,0,0,0
12,1993,1993-11-25,11,25.163,CHI,@,DET,W 10-6,1,1,42,42.00,1,100.0%,42.00,0,0,,0,2,19,9.50,0,1,6
13,1993,1993-12-05,12,25.173,CHI,,GNB,W 30-17,4,4,73,18.25,0,100.0%,18.25,0,0,,0,1,10,10.00,0,0,0
14,1993,1993-12-12,13,25.180,CHI,@,TAM,L 10-13,8,3,33,11.00,0,37.5%,4.13,0,6,,0,1,0,0.00,0,0,0
15,1993,1993-12-18,14,25.186,CHI,,DEN,L 3-13,7,2,24,12.00,0,28.6%,3.43,0,0,,0,4,14,3.50,0,0,0
16,1993,1993-12-26,15,25.194,CHI,,DET,L 14-20,5,4,35,8.75,0,80.0%,7.00,0,0,,0,2,18,9.00,0,0,0
17,1993,1994-01-02,16,25.201,CHI,@,RAM,L 6-20,4,2,26,13.00,0,50.0%,6.50,1,15,15.00,0,1,17,17.00,0,0,0
