ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1993,1993-09-05,1,23.234,NOR,,HOU,W 33-21,,0,0,,0,0.0%,,0,0,,0,1,14,14.00,0,0,0,,0,0,0,0,0,0
2,1993,1993-09-12,2,23.241,NOR,@,ATL,W 34-31,,0,0,,0,0.0%,,0,0,,0,4,77,19.25,0,2,25,12.50,0,0,0,0,0,0
3,1993,1993-09-19,3,23.248,NOR,,DET,W 14-3,,0,0,,0,0.0%,,0,0,,0,1,26,26.00,0,4,31,7.75,0,0,0,0,0,0
4,1993,1993-09-26,4,23.255,NOR,,SFO,W 16-13,,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,34,17.00,0,0,0,0,0,0
5,1993,1993-10-03,5,23.262,NOR,@,RAM,W 37-6,,0,0,,0,0.0%,,0,0,,0,1,19,19.00,0,4,128,32.00,1,1,6,0,0,0
6,1993,1993-10-17,6,23.276,NOR,@,PIT,L 14-37,,0,0,,0,0.0%,,0,0,,0,2,28,14.00,0,2,2,1.00,0,0,0,0,0,0
7,1993,1993-10-24,7,23.283,NOR,,ATL,L 15-26,,0,0,,0,0.0%,,0,0,,0,5,108,21.60,0,2,21,10.50,0,0,0,0,0,0
8,1993,1993-10-31,8,23.290,NOR,@,PHO,W 20-17,,0,0,,0,0.0%,,0,0,,0,1,23,23.00,0,5,31,6.20,0,0,0,0,0,0
9,1993,1993-11-14,9,23.304,NOR,,GNB,L 17-19,,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,35,11.67,0,0,0,0,0,0
10,1993,1993-11-22,10,23.312,NOR,@,SFO,L 7-42,,0,0,,0,0.0%,,0,0,,0,3,53,17.67,0,1,9,9.00,0,0,0,0,0,0
11,1993,1993-11-28,11,23.318,NOR,@,MIN,W 17-14,,0,0,,0,0.0%,,0,0,,0,3,171,57.00,1,3,13,4.33,0,1,6,0,0,0
12,1993,1993-12-05,12,23.325,NOR,@,CLE,L 13-17,,0,0,,0,0.0%,,0,0,,0,1,49,49.00,0,2,20,10.00,0,0,0,0,0,0
13,1993,1993-12-12,13,23.332,NOR,,RAM,L 20-23,,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,19,9.50,0,0,0,0,0,0
14,1993,1993-12-20,14,23.340,NOR,,NYG,L 14-24,,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,7,7.00,0,0,0,0,0,0
15,1993,1993-12-26,15,23.346,NOR,@,PHI,L 26-37,,0,0,,0,0.0%,,0,0,,0,6,138,23.00,0,1,83,83.00,1,1,6,0,0,0
16,1993,1994-01-02,16,23.353,NOR,,CIN,W 20-13,,0,0,,0,0.0%,,0,0,,0,2,47,23.50,0,3,45,15.00,0,0,0,0,0,0
17,1994,1994-09-04,1,24.233,NOR,,KAN,L 17-30,0,0,0,,0,0.0%,,0,0,,0,6,142,23.67,0,0,0,,0,0,0,0,0,0
18,1994,1994-09-11,2,24.240,NOR,,WAS,L 24-38,0,0,0,,0,0.0%,,0,0,,0,6,183,30.50,0,0,0,,0,0,0,0,0,0
19,1994,1994-09-18,3,24.247,NOR,@,TAM,W 9-7,0,0,0,,0,0.0%,,0,0,,0,2,38,19.00,0,0,0,,0,0,0,0,0,0
20,1994,1994-09-25,4,24.254,NOR,@,SFO,L 13-24,0,0,0,,0,0.0%,,0,0,,0,4,61,15.25,0,5,50,10.00,0,0,0,0,0,0
21,1994,1994-10-02,5,24.261,NOR,,NYG,W 27-22,0,0,0,,0,0.0%,,0,0,,0,4,98,24.50,0,2,25,12.50,0,0,0,0,0,0
22,1994,1994-10-09,6,24.268,NOR,@,CHI,L 7-17,0,0,0,,0,0.0%,,0,0,,0,4,66,16.50,0,1,1,1.00,0,0,0,0,0,0
23,1994,1994-10-16,7,24.275,NOR,,SDG,L 22-36,0,0,0,,0,0.0%,,0,0,,0,8,196,24.50,0,1,1,1.00,0,0,0,0,0,0
24,1994,1994-10-23,8,24.282,NOR,,RAM,W 37-34,0,0,0,,0,0.0%,,0,0,,0,7,304,43.43,2,3,43,14.33,0,2,12,1,0,0
25,1994,1994-11-06,9,24.296,NOR,@,MIN,L 20-21,0,0,0,,0,0.0%,,1,7,7.00,0,1,20,20.00,0,2,6,3.00,0,0,0,0,0,0
26,1994,1994-11-13,10,24.303,NOR,,ATL,W 33-32,0,0,0,,0,0.0%,,0,0,,0,5,92,18.40,0,1,-1,-1.00,0,0,0,1,31,0
27,1994,1994-11-20,11,24.310,NOR,@,RAI,L 19-24,0,0,0,,0,0.0%,,1,-1,-1.00,0,3,93,31.00,0,1,7,7.00,0,0,0,0,0,0
28,1994,1994-11-28,12,24.318,NOR,,SFO,L 14-35,0,0,0,,0,0.0%,,0,0,,0,5,96,19.20,0,1,-4,-4.00,0,0,0,0,0,0
29,1994,1994-12-11,14,24.331,NOR,@,ATL,W 29-20,0,0,0,,0,0.0%,,0,0,,0,3,58,19.33,0,0,0,,0,0,0,0,0,0
30,1994,1994-12-19,15,24.339,NOR,,DAL,L 16-24,0,0,0,,0,0.0%,,0,0,,0,3,74,24.67,0,1,6,6.00,0,0,0,0,0,0
31,1994,1994-12-24,16,24.344,NOR,@,DEN,W 30-28,0,0,0,,0,0.0%,,0,0,,0,2,35,17.50,0,3,9,3.00,0,0,0,0,0,0
32,1995,1995-09-03,1,25.232,NOR,,SFO,L 22-24,0,0,0,,0,0.0%,,0,0,,0,5,102,20.40,0,0,0,,0,0,0,0,0,0
33,1995,1995-09-10,2,25.239,NOR,@,STL,L 13-17,0,0,0,,0,0.0%,,0,0,,0,3,59,19.67,0,1,0,0.00,0,0,0,0,0,0
34,1995,1995-09-17,3,25.246,NOR,,ATL,L 24-27,0,0,0,,0,0.0%,,0,0,,0,7,199,28.43,0,2,7,3.50,0,0,0,1,0,0
35,1995,1995-09-24,4,25.253,NOR,@,NYG,L 29-45,0,0,0,,0,0.0%,,0,0,,0,5,139,27.80,0,1,7,7.00,0,0,0,0,0,0
36,1995,1995-10-01,5,25.260,NOR,,PHI,L 10-15,0,0,0,,0,0.0%,,0,0,,0,5,148,29.60,0,1,0,0.00,0,0,0,0,0,0
37,1995,1995-10-15,6,25.274,NOR,,MIA,W 33-30,0,0,0,,0,0.0%,,0,0,,0,4,102,25.50,0,1,2,2.00,0,0,0,0,0,0
38,1995,1995-10-22,7,25.281,NOR,@,CAR,L 3-20,0,0,0,,0,0.0%,,0,0,,0,5,116,23.20,0,6,36,6.00,0,0,0,0,0,0
39,1995,1995-10-29,8,25.288,NOR,@,SFO,W 11-7,0,0,0,,0,0.0%,,0,0,,0,2,55,27.50,0,2,78,39.00,0,0,0,1,0,0
40,1995,1995-11-05,9,25.295,NOR,,STL,W 19-10,0,0,0,,0,0.0%,,0,0,,0,3,49,16.33,0,3,20,6.67,0,0,0,0,0,0
41,1995,1995-11-12,10,25.302,NOR,,IND,W 17-14,0,0,0,,0,0.0%,,0,0,,0,3,56,18.67,0,1,3,3.00,0,0,0,0,0,0
42,1995,1995-11-19,11,25.309,NOR,@,MIN,L 24-43,0,0,0,,0,0.0%,,0,0,,0,8,156,19.50,0,0,0,,0,0,0,0,0,0
43,1995,1995-11-26,12,25.316,NOR,,CAR,W 34-26,0,0,0,,0,0.0%,,0,0,,0,2,104,52.00,0,2,30,15.00,0,0,0,0,0,0
44,1995,1995-12-03,13,25.323,NOR,@,NWE,W 31-17,0,0,0,,0,0.0%,,0,0,,0,4,64,16.00,0,3,14,4.67,0,0,0,0,0,0
45,1995,1995-12-10,14,25.330,NOR,@,ATL,L 14-19,0,0,0,,0,0.0%,,0,0,,0,3,74,24.67,0,1,6,6.00,0,0,0,0,0,0
46,1995,1995-12-16,15,25.336,NOR,,GNB,L 23-34,0,0,0,,0,0.0%,,0,0,,0,7,194,27.71,0,1,9,9.00,0,0,0,0,0,0
47,1995,1995-12-24,16,25.344,NOR,@,NYJ,W 12-0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,50,16.67,0,0,0,0,0,0
48,1996,1996-09-01,1,26.231,NOR,@,SFO,L 11-27,0,0,0,,0,0.0%,,0,0,,0,4,115,28.75,0,3,16,5.33,0,0,0,0,0,0
49,1996,1996-09-08,2,26.238,NOR,,CAR,L 20-22,0,0,0,,0,0.0%,,0,0,,0,6,141,23.50,0,0,0,,0,0,0,0,0,0
50,1996,1996-09-15,3,26.245,NOR,@,CIN,L 15-30,0,0,0,,0,0.0%,,0,0,,0,7,205,29.29,0,1,8,8.00,0,0,0,0,0,0
51,1996,1996-09-22,4,26.252,NOR,,ARI,L 14-28,0,0,0,,0,0.0%,,0,0,,0,6,117,19.50,0,5,20,4.00,0,0,0,0,0,0
52,1996,1996-09-29,5,26.259,NOR,@,BAL,L 10-17,0,0,0,,0,0.0%,,0,0,,0,4,87,21.75,0,0,0,,0,0,0,0,0,0
53,1996,1996-10-06,6,26.266,NOR,,JAX,W 17-13,0,0,0,,0,0.0%,,0,0,,0,3,100,33.33,0,1,8,8.00,0,0,0,0,0,0
54,1996,1996-10-13,7,26.273,NOR,,CHI,W 27-24,0,0,0,,0,0.0%,,0,0,,0,4,117,29.25,0,3,28,9.33,0,0,0,0,0,0
55,1996,1996-10-20,8,26.280,NOR,@,CAR,L 7-19,0,0,0,,0,0.0%,,0,0,,0,6,134,22.33,0,3,7,2.33,0,0,0,0,0,0
56,1996,1996-11-03,9,26.294,NOR,,SFO,L 17-24,0,0,0,,0,0.0%,,0,0,,0,5,146,29.20,0,4,18,4.50,0,0,0,0,0,0
57,1996,1996-11-10,10,26.301,NOR,,HOU,L 14-31,0,0,0,,0,0.0%,,0,0,,0,4,111,27.75,0,2,21,10.50,0,0,0,0,0,0
58,1996,1996-11-17,11,26.308,NOR,@,ATL,L 15-17,0,0,0,,0,0.0%,,0,0,,0,3,74,24.67,0,1,0,0.00,0,0,0,0,0,0
59,1996,1996-11-24,12,26.315,NOR,@,TAM,L 7-13,0,0,0,,0,0.0%,,0,0,,0,4,79,19.75,0,2,20,10.00,0,0,0,0,0,0
60,1996,1996-12-01,13,26.322,NOR,,STL,L 10-26,0,0,0,,0,0.0%,,0,0,,0,6,150,25.00,0,0,0,,0,0,0,0,0,0
61,1996,1996-12-08,14,26.329,NOR,,ATL,L 15-31,0,0,0,,0,0.0%,,0,0,,0,4,106,26.50,0,0,0,,0,0,0,0,0,0
62,1996,1996-12-15,15,26.336,NOR,@,NYG,W 17-3,0,0,0,,0,0.0%,,0,0,,0,1,29,29.00,0,3,3,1.00,0,0,0,0,0,0
63,1996,1996-12-21,16,26.342,NOR,@,STL,L 13-14,0,0,0,,0,0.0%,,0,0,,0,3,80,26.67,0,2,3,1.50,0,0,0,0,0,0
64,1997,1997-09-01,1,27.230,CHI,@,GNB,L 24-38,2,0,0,,0,0.0%,0.00,0,0,,0,7,148,21.14,0,0,0,,0,0,0,0,0,0
65,1997,1997-09-07,2,27.236,CHI,,MIN,L 24-27,2,2,22,11.00,0,100.0%,11.00,1,3,3.00,0,3,54,18.00,0,1,6,6.00,0,0,0,0,0,0
66,1997,1997-09-14,3,27.243,CHI,,DET,L 7-32,8,4,33,8.25,0,50.0%,4.13,0,0,,0,7,180,25.71,0,2,17,8.50,0,0,0,0,0,0
67,1997,1997-09-21,4,27.250,CHI,@,NWE,L 3-31,1,0,0,,0,0.0%,0.00,0,0,,0,4,94,23.50,0,1,12,12.00,0,0,0,0,0,0
68,1997,1997-09-28,5,27.257,CHI,@,DAL,L 3-27,0,0,0,,0,0.0%,,0,0,,0,4,64,16.00,0,3,23,7.67,0,0,0,0,0,0
69,1997,1997-10-05,6,27.264,CHI,,NOR,L 17-20,2,2,13,6.50,0,100.0%,6.50,0,0,,0,5,149,29.80,0,5,30,6.00,0,0,0,0,0,0
70,1997,1997-10-12,7,27.271,CHI,,GNB,L 23-24,0,0,0,,0,0.0%,,0,0,,0,3,65,21.67,0,2,7,3.50,0,0,0,0,0,0
71,1997,1997-10-27,8,27.286,CHI,@,MIA,W 36-33,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,4,48,12.00,0,0,0,0,0,0
72,1997,1997-11-02,9,27.292,CHI,,WAS,L 8-31,0,0,0,,0,0.0%,,0,0,,0,1,16,16.00,0,1,0,0.00,0,0,0,0,0,0
73,1997,1997-11-09,10,27.299,CHI,@,MIN,L 22-29,0,0,0,,0,0.0%,,0,0,,0,5,114,22.80,0,5,31,6.20,0,0,0,0,0,0
74,1997,1997-11-16,11,27.306,CHI,,NYJ,L 15-23,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,5,34,6.80,0,0,0,0,0,0
75,1997,1997-11-23,12,27.313,CHI,,TAM,W 13-7,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,15,7.50,0,0,0,0,0,0
76,1997,1997-11-27,13,27.317,CHI,@,DET,L 20-55,0,0,0,,0,0.0%,,0,0,,0,4,124,31.00,0,1,11,11.00,0,0,0,0,0,0
77,1997,1997-12-07,14,27.327,CHI,,BUF,W 20-3,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,4,24,6.00,0,0,0,0,0,0
78,1998,1998-12-06,13,28.326,DAL,@,NOR,L 3-22,0,0,0,,0,0.0%,,0,0,,0,2,43,21.50,0,1,9,9.00,0,0,0,0,0,0
79,1998,1998-12-13,14,28.333,DAL,@,KAN,L 17-20,0,0,0,,0,0.0%,,0,0,,0,4,99,24.75,0,4,66,16.50,0,0,0,0,0,0
80,1998,1998-12-20,15,28.340,DAL,,PHI,W 13-9,0,0,0,,0,0.0%,,0,0,,0,3,70,23.33,0,3,4,1.33,0,0,0,0,0,0
