ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,def_int,def_int_yds,def_int_td
1,1958,1958-09-28,1,26.202,GNB,,CHI,L 20-34,1,0,0.00,0,,,
2,1960,1960-10-02,4,28.206,DEN,,OAK,W 31-14,0,0,,0,1,18,0
3,1960,1960-10-30,7,28.234,DEN,,DTX,L 14-17,0,0,,0,1,20,0
4,1960,1960-11-20,10,28.255,DEN,@,HOU,L 10-20,,,,,0,18,0
5,1960,1960-12-04,12,28.269,DEN,,NYT,L 27-30,0,0,,0,1,13,0
