ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1980,1980-09-07,1,21.351,GNB,,CHI,W 12-6,0,0,,0,0,0,,0,2,27,13.50,0
2,1980,1980-09-21,3,21.365,GNB,@,RAM,L 21-51,,,,,,,,,,,,
3,1980,1980-09-28,4,22.006,GNB,,DAL,L 7-28,,,,,,,,,,,,
4,1980,1980-10-05,5,22.013,GNB,,CIN,W 14-9,,,,,,,,,,,,
5,1980,1980-10-12,6,22.020,GNB,@,TAM,T 14-14,,,,,,,,,,,,
6,1980,1980-10-19,7,22.027,GNB,@,CLE,L 21-26,,,,,,,,,,,,
7,1980,1980-10-26,8,22.034,GNB,,MIN,W 16-3,0,0,,0,0,0,,0,2,12,6.00,0
8,1980,1980-11-02,9,22.041,GNB,@,PIT,L 20-22,0,0,,0,0,0,,0,1,0,0.00,0
9,1980,1980-11-09,10,22.048,GNB,,SFO,W 23-16,,,,,,,,,,,,
10,1980,1980-11-16,11,22.055,GNB,@,NYG,L 21-27,,,,,,,,,,,,
11,1980,1980-11-23,12,22.062,GNB,@,MIN,W 25-13,,,,,,,,,,,,
12,1980,1980-11-30,13,22.069,GNB,,TAM,L 17-20,,,,,,,,,,,,
13,1980,1980-12-07,14,22.076,GNB,@,CHI,L 7-61,0,0,,0,2,85,42.50,0,1,4,4.00,0
14,1980,1980-12-14,15,22.083,GNB,,HOU,L 3-22,1,23,23.00,0,1,26,26.00,0,4,34,8.50,0
15,1980,1980-12-21,16,22.090,GNB,@,DET,L 3-24,3,55,18.33,0,3,49,16.33,0,1,8,8.00,0
16,1981,1981-09-06,1,22.349,GNB,@,CHI,W 16-9,1,19,19.00,0,2,40,20.00,0,4,34,8.50,0
17,1981,1981-09-13,2,22.356,GNB,,ATL,L 17-31,1,8,8.00,0,0,0,,0,2,17,8.50,0
18,1981,1981-09-20,3,22.363,GNB,@,RAM,L 23-35,0,0,,0,3,50,16.67,0,5,47,9.40,0
19,1981,1981-09-27,4,23.005,GNB,,MIN,L 13-30,0,0,,0,5,95,19.00,0,0,0,,0
20,1981,1981-11-29,13,23.068,GNB,@,MIN,W 35-23,0,0,,0,2,37,18.50,0,0,0,,0
21,1981,1981-12-06,14,23.075,GNB,,DET,W 31-17,0,0,,0,0,0,,0,1,10,10.00,0
22,1981,1981-12-13,15,23.082,GNB,@,NOR,W 35-7,0,0,,0,0,0,,0,2,10,5.00,0
23,1981,1981-12-20,16,23.089,GNB,@,NYJ,L 3-28,0,0,,0,0,0,,0,1,0,0.00,0
