ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,def_int,def_int_yds,def_int_td
1,1958,1958-11-02,6,24.124,PIT,,WAS,W 24-16,2,28,14.00,0,,,
2,1958,1958-11-23,9,24.145,PIT,@,CRD,W 27-20,1,29,29.00,0,,,
3,1960,1960-09-24,1,26.085,DAL,,PIT,L 28-35,0,0,,0,1,0,0
4,1960,1960-11-06,7,26.128,DAL,,RAM,L 13-38,0,0,,0,1,0,0
5,1960,1960-11-20,9,26.142,DAL,,SFO,L 14-26,0,0,,0,1,13,0
6,1961,1961-09-17,1,27.078,DAL,,PIT,W 27-24,0,0,,0,1,13,0
7,1961,1961-09-24,2,27.085,DAL,,MIN,W 21-7,0,0,,0,1,24,0
8,1961,1961-10-01,3,27.092,DAL,@,CLE,L 7-25,0,0,,0,1,50,0
9,1961,1961-10-08,4,27.099,DAL,@,MIN,W 28-0,0,0,,0,1,9,0
10,1961,1961-10-15,5,27.106,DAL,,NYG,L 10-31,0,0,,0,2,16,0
11,1961,1961-11-12,9,27.134,DAL,@,PIT,L 7-37,0,0,,0,1,57,0
12,1961,1961-11-19,10,27.141,DAL,,WAS,T 28-28,0,0,,0,1,3,0
13,1962,1962-09-30,3,28.091,DAL,@,RAM,W 27-17,0,0,,0,1,0,0
14,1962,1962-10-07,4,28.098,DAL,@,CLE,L 10-19,0,0,,0,1,24,0
15,1962,1962-10-21,6,28.112,DAL,@,PIT,W 42-27,0,0,,0,2,57,0
16,1962,1962-10-28,7,28.119,DAL,,STL,L 24-28,0,0,,0,1,23,0
17,1962,1962-12-16,14,28.168,DAL,@,NYG,L 31-41,0,0,,0,1,30,0
18,1963,1963-09-14,1,29.075,DAL,,STL,L 7-34,0,0,,0,1,0,0
19,1963,1963-10-06,4,29.097,DAL,@,PHI,L 21-24,0,0,,0,1,6,0
20,1963,1963-11-03,8,29.125,DAL,,WAS,W 35-20,0,0,,0,1,31,0
21,1963,1963-11-24,11,29.146,DAL,@,CLE,L 17-27,0,0,,0,1,8,0
22,1963,1963-12-08,13,29.160,DAL,,PIT,L 19-24,0,0,,0,1,0,0
