ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2013,2013-09-22,3,22.317,SEA,,JAX,W 45-17,,9,37,4.11,0,0,0,0,,0,0.0%,,0,0,,0,0,0
2,2013,2013-10-06,5,22.331,SEA,@,IND,L 28-34,,,,,,,,,,,0.0%,,,,,,,
3,2013,2013-11-10,10,23.001,SEA,@,ATL,W 33-10,,8,33,4.13,0,0,0,0,,0,0.0%,,0,0,,0,0,0
4,2013,2013-11-17,11,23.008,SEA,,MIN,W 41-20,,1,9,9.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
5,2014,2014-10-19,6,23.344,SEA,@,STL,L 26-28,,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0
6,2014,2014-10-26,7,23.351,SEA,@,CAR,W 13-9,,4,12,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
7,2014,2014-11-02,8,23.358,SEA,,OAK,W 30-24,,4,16,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
8,2014,2014-11-09,9,24.000,SEA,,NYG,W 38-17,,4,71,17.75,0,0,0,0,,0,0.0%,,0,0,,0,0,0
9,2014,2014-11-16,10,24.007,SEA,@,KAN,L 20-24,,1,-2,-2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
10,2014,2014-11-27,12,24.018,SEA,@,SFO,W 19-3,,3,10,3.33,0,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0
11,2014,2014-12-07,13,24.028,SEA,@,PHI,W 24-14,,6,32,5.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0
12,2014,2014-12-14,14,24.035,SEA,,SFO,W 17-7,,1,1,1.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
13,2014,2014-12-21,15,24.042,SEA,@,ARI,W 35-6,,8,28,3.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0
14,2014,2014-12-28,16,24.049,SEA,,STL,W 20-6,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
15,2015,2015-10-04,4,24.329,DAL,@,NOR,L 20-26,,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
16,2015,2015-10-11,5,24.336,DAL,,NWE,L 6-30,,1,6,6.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
17,2015,2015-10-25,6,24.350,DAL,@,NYG,L 20-27,,5,18,3.60,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0
18,2015,2015-11-01,7,24.357,DAL,,SEA,L 12-13,,5,20,4.00,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0
19,2015,2015-11-15,9,25.006,DAL,@,TAM,L 6-10,,3,8,2.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0
