ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1973,1973-09-30,3,24.031,BAL,,NOR,W 14-10,,,,
2,1973,1973-10-07,4,24.038,BAL,@,NWE,L 16-24,,,,
3,1973,1973-10-14,5,24.045,BAL,@,BUF,L 13-31,,,,
4,1973,1973-12-09,13,24.101,BAL,,MIA,W 16-3,,,,
5,1973,1973-12-16,14,24.108,BAL,,NWE,W 18-13,,,,
6,1974,1974-09-15,1,25.016,BAL,@,PIT,L 0-30,,,,
7,1974,1974-09-22,2,25.023,BAL,,GNB,L 13-20,,,,
8,1974,1974-09-29,3,25.030,BAL,@,PHI,L 10-30,,,,
9,1974,1974-10-06,4,25.037,BAL,@,NWE,L 3-42,,,,
10,1974,1974-10-13,5,25.044,BAL,,BUF,L 14-27,,,,
11,1974,1974-10-20,6,25.051,BAL,@,NYJ,W 35-20,,,,
12,1974,1974-10-27,7,25.058,BAL,@,MIA,L 7-17,,,,
13,1974,1974-11-03,8,25.065,BAL,,CIN,L 14-24,,,,
14,1974,1974-11-10,9,25.072,BAL,,DEN,L 6-17,,,,
15,1974,1974-11-17,10,25.079,BAL,@,ATL,W 17-7,,,,
16,1974,1974-11-24,11,25.086,BAL,,NWE,L 17-27,,,,
17,1974,1974-12-01,12,25.093,BAL,@,BUF,L 0-6,,,,
18,1974,1974-12-08,13,25.100,BAL,,MIA,L 16-17,,,,
19,1974,1974-12-15,14,25.107,BAL,,NYJ,L 38-45,,,,
20,1975,1975-11-16,9,26.078,CHI,@,SFO,L 3-31,,,,
21,1975,1975-11-23,10,26.085,CHI,@,RAM,L 10-38,,,,
22,1975,1975-11-30,11,26.092,CHI,@,GNB,L 7-28,,,,
23,1975,1975-12-07,12,26.099,CHI,,DET,W 25-21,,,,
24,1975,1975-12-14,13,26.106,CHI,,STL,L 20-34,,,,
25,1975,1975-12-21,14,26.113,CHI,@,NOR,W 42-17,,,,
26,1976,1976-09-12,1,27.013,CHI,,DET,W 10-3,,,,
27,1976,1976-09-19,2,27.020,CHI,@,SFO,W 19-12,,,,
28,1976,1976-09-26,3,27.027,CHI,,ATL,L 0-10,,,,
29,1976,1976-10-03,4,27.034,CHI,,WAS,W 33-7,,,,
30,1976,1976-10-10,5,27.041,CHI,@,MIN,L 19-20,,,,
31,1976,1976-10-17,6,27.048,CHI,@,RAM,L 12-20,,,,
32,1976,1976-10-24,7,27.055,CHI,@,DAL,L 21-31,,,,
33,1976,1976-10-31,8,27.062,CHI,,MIN,W 14-13,,,,
34,1976,1976-11-07,9,27.069,CHI,,OAK,L 27-28,,,,
35,1976,1976-11-14,10,27.076,CHI,,GNB,W 24-13,,,,
36,1976,1976-11-21,11,27.083,CHI,@,DET,L 10-14,,,,
37,1976,1976-11-28,12,27.090,CHI,@,GNB,W 16-10,,,,
38,1976,1976-12-05,13,27.097,CHI,@,SEA,W 34-7,,,,
39,1976,1976-12-12,14,27.104,CHI,,DEN,L 14-28,,,,
40,1977,1977-09-18,1,28.019,CHI,,DET,W 30-20,,,,
41,1977,1977-09-25,2,28.026,CHI,@,STL,L 13-16,,,,
42,1977,1977-10-02,3,28.033,CHI,,NOR,L 24-42,,,,
43,1977,1977-10-10,4,28.041,CHI,,RAM,W 24-23,,,,
44,1977,1977-10-16,5,28.047,CHI,@,MIN,L 16-22,,,,
45,1977,1977-10-23,6,28.054,CHI,,ATL,L 10-16,,,,
46,1977,1977-10-30,7,28.061,CHI,@,GNB,W 26-0,,,,
47,1977,1977-11-06,8,28.068,CHI,@,HOU,L 0-47,,,,
48,1977,1977-11-13,9,28.075,CHI,,KAN,W 28-27,,,,
49,1977,1977-11-20,10,28.082,CHI,,MIN,W 10-7,,,,
50,1977,1977-11-24,11,28.086,CHI,@,DET,W 31-14,,,,
51,1977,1977-12-04,12,28.096,CHI,@,TAM,W 10-0,,,,
52,1977,1977-12-11,13,28.103,CHI,,GNB,W 21-10,,,,
53,1977,1977-12-18,14,28.110,CHI,@,NYG,W 12-9,,,,
54,1978,1978-09-03,1,29.004,CHI,,STL,W 17-10,,,,
55,1978,1978-09-10,2,29.011,CHI,@,SFO,W 16-13,,,,
56,1978,1978-09-17,3,29.018,CHI,@,DET,W 19-0,,,,
57,1978,1978-09-25,4,29.026,CHI,,MIN,L 20-24,,,,
58,1978,1978-10-01,5,29.032,CHI,,OAK,L 19-25,,,,
