ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1995,1995-09-03,1,23.229,ARI,@,WAS,L 7-27,,,,,,0.0%,,,
2,1995,1995-09-10,2,23.236,ARI,,PHI,L 19-31,,,,,,0.0%,,,
3,1995,1995-09-17,3,23.243,ARI,@,DET,W 20-17,,,,,,0.0%,,,
4,1995,1995-09-24,4,23.250,ARI,@,DAL,L 20-34,2,2,26,13.00,0,100.0%,13.00,0,0
5,1995,1995-10-01,5,23.257,ARI,,KAN,L 3-24,,,,,,0.0%,,,
6,1995,1995-10-08,6,23.264,ARI,@,NYG,L 21-27,2,1,7,7.00,0,50.0%,3.50,0,0
7,1995,1995-10-15,7,23.271,ARI,,WAS,W 24-20,1,1,9,9.00,0,100.0%,9.00,0,0
8,1995,1995-10-29,8,23.285,ARI,,SEA,W 20-14,6,4,27,6.75,0,66.7%,4.50,0,0
9,1995,1995-11-05,9,23.292,ARI,@,DEN,L 6-38,3,2,10,5.00,0,66.7%,3.33,0,0
10,1995,1995-11-12,10,23.299,ARI,,MIN,L 24-30,1,1,2,2.00,1,100.0%,2.00,1,6
11,1995,1995-11-19,11,23.306,ARI,@,CAR,L 7-27,2,1,9,9.00,0,50.0%,4.50,0,0
12,1995,1995-11-26,12,23.313,ARI,,ATL,W 40-37,2,2,27,13.50,1,100.0%,13.50,1,6
13,1995,1995-11-30,13,23.317,ARI,,NYG,L 6-10,,,,,,0.0%,,,
14,1995,1995-12-09,14,23.326,ARI,@,SDG,L 25-28,,,,,,0.0%,,,
15,1995,1995-12-17,15,23.334,ARI,@,PHI,L 20-21,,,,,,0.0%,,,
16,1995,1995-12-25,16,23.342,ARI,,DAL,L 13-37,,,,,,0.0%,,,
