ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1964,1964-09-13,1,22.263,SFO,,DET,L 17-26,2,27,13.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
2,1964,1964-09-20,2,22.270,SFO,@,PHI,W 28-24,1,24,24.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
3,1964,1964-09-27,3,22.277,SFO,,STL,L 13-23,4,22,5.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
4,1964,1964-10-04,4,22.284,SFO,,CHI,W 31-21,1,43,43.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6
5,1964,1964-10-11,5,22.291,SFO,@,GNB,L 14-24,2,25,12.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
6,1964,1964-10-18,6,22.298,SFO,@,RAM,L 14-42,3,112,37.33,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6
7,1964,1964-10-25,7,22.305,SFO,,MIN,L 22-27,5,146,29.20,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6
8,1964,1964-11-01,8,22.312,SFO,@,BAL,L 7-37,1,2,2.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6
9,1964,1964-11-08,9,22.319,SFO,@,MIN,L 7-24,2,85,42.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6
10,1964,1964-11-15,10,22.326,SFO,,GNB,W 24-14,4,27,6.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
11,1964,1964-11-22,11,22.333,SFO,@,CHI,L 21-23,4,49,12.25,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6
12,1964,1964-12-06,13,22.347,SFO,,RAM,W 28-7,2,76,38.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6
13,1964,1964-12-13,14,22.354,SFO,@,DET,L 7-24,5,65,13.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6
14,1965,1965-09-19,1,23.268,SFO,,CHI,W 52-24,5,90,18.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6
15,1965,1965-09-26,2,23.275,SFO,,PIT,W 27-17,2,19,9.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
16,1965,1965-10-03,3,23.282,SFO,@,BAL,L 24-27,9,231,25.67,3,0,0,,0,0,0,,0,0,0,,0,0,,,3,18
17,1965,1965-10-10,4,23.289,SFO,@,GNB,L 10-27,3,36,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
18,1965,1965-10-17,5,23.296,SFO,@,RAM,W 45-21,5,72,14.40,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6
19,1965,1965-10-24,6,23.303,SFO,,MIN,L 41-42,7,108,15.43,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
20,1965,1965-10-31,7,23.310,SFO,,BAL,L 28-34,4,87,21.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
21,1965,1965-11-07,8,23.317,SFO,@,DAL,L 31-39,6,120,20.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6
