ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2004,2005-01-02,16,25.130,GNB,@,CHI,W 31-14,,0,0,,0,0,0,,,,,,2,-2,-1.00,0,0.0,,
2,2007,2007-09-16,2,28.022,DET,,MIN,W 20-17,,13,24,54.17,148,1,2,52.1,3,18,6.17,3.25,2,-9,-4.50,0,0.0,,
3,2007,2007-11-04,8,28.071,DET,,DEN,W 44-7,,0,0,,0,0,0,,0,,,,1,-1,-1.00,0,0.0,,
4,2007,2007-12-02,12,28.099,DET,@,MIN,L 10-42,,0,0,,0,0,0,,0,,,,1,0,0.00,0,0.0,,
5,2007,2007-12-16,14,28.113,DET,@,SDG,L 14-51,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0.0,,
6,2007,2007-12-23,15,28.120,DET,,KAN,W 25-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,
7,2007,2007-12-30,16,28.127,DET,@,GNB,L 13-34,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,
8,2008,2008-09-07,1,29.013,SFO,,ARI,L 13-23,*,14,20,70.00,195,0,1,80.2,4,12,9.75,7.50,2,1,0.50,0,0.0,1,0
9,2008,2008-09-14,2,29.020,SFO,@,SEA,W 33-30,*,20,32,62.50,321,1,0,106.4,8,49,10.03,10.66,4,32,8.00,0,0.0,1,0
10,2008,2008-09-21,3,29.027,SFO,,DET,W 31-13,*,16,23,69.57,189,2,0,123.3,1,1,8.22,9.96,8,32,4.00,0,0.0,0,0
11,2008,2008-09-28,4,29.034,SFO,@,NOR,L 17-31,*,18,36,50.00,257,1,2,59.6,6,36,7.14,5.19,2,0,0.00,0,0.0,0,0
12,2008,2008-10-05,5,29.041,SFO,,NWE,L 21-30,*,14,29,48.28,130,3,3,55.9,1,8,4.48,1.90,6,23,3.83,0,0.0,0,0
13,2008,2008-10-12,6,29.048,SFO,,PHI,L 26-40,*,17,30,56.67,199,0,2,49.2,3,24,6.63,3.63,3,31,10.33,0,0.0,0,0
14,2008,2008-10-19,7,29.055,SFO,@,NYG,L 17-29,*,16,28,57.14,256,1,2,69.9,6,38,9.14,6.64,4,27,6.75,0,0.0,0,0
15,2008,2008-10-26,8,29.062,SFO,,SEA,L 13-34,*,13,21,61.90,131,0,1,59.8,3,29,6.24,4.10,0,0,,0,0.0,0,0
16,2008,2008-11-16,10,29.083,SFO,,STL,W 35-16,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,-1,-1.00,0,0.0,0,0
17,2009,2009-10-25,7,30.061,CIN,,CHI,W 45-10,,0,0,,0,0,0,,0,,,,2,9,4.50,0,0.0,0,0
18,2009,2009-12-13,13,30.110,CIN,@,MIN,L 10-30,,1,3,33.33,9,0,0,42.4,0,0,3.00,3.00,0,0,,0,0.0,0,0
19,2009,2010-01-03,16,30.131,CIN,@,NYJ,L 0-37,,3,8,37.50,31,0,0,49.5,3,31,3.88,3.88,1,3,3.00,0,0.0,0,0
