ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,2005,2005-12-18,14,23.053,IND,,SDG,L 17-26,,,,,,1,0.0,0,0
2,2006,2006-09-10,1,23.319,GNB,,CHI,L 0-26,,,,,,1,0.0,0,0
3,2006,2006-09-17,2,23.326,GNB,,NOR,L 27-34,,3,3,100.0,2,2,100.0,0,9
4,2006,2006-09-24,3,23.333,GNB,@,DET,W 31-24,,4,4,100.0,1,1,100.0,0,7
5,2006,2006-10-02,4,23.341,GNB,@,PHI,L 9-31,,,,,3,4,75.0,0,9
6,2006,2006-10-08,5,23.347,GNB,,STL,L 20-23,,2,2,100.0,2,3,66.7,0,8
7,2006,2006-10-22,6,23.361,GNB,@,MIA,W 34-24,,4,4,100.0,2,2,100.0,0,10
8,2006,2006-10-29,7,24.003,GNB,,ARI,W 31-14,,4,4,100.0,1,1,100.0,0,7
9,2006,2006-11-05,8,24.010,GNB,@,BUF,L 10-24,,1,1,100.0,1,1,100.0,0,4
10,2006,2006-11-12,9,24.017,GNB,@,MIN,W 23-17,,2,2,100.0,3,3,100.0,0,11
11,2006,2006-11-19,10,24.024,GNB,,NWE,L 0-35,,,,,,1,0.0,0,0
12,2006,2006-11-27,11,24.032,GNB,@,SEA,L 24-34,,3,3,100.0,1,2,50.0,0,6
13,2006,2006-12-03,12,24.038,GNB,,NYJ,L 10-38,,1,1,100.0,1,2,50.0,0,4
14,2006,2006-12-10,13,24.045,GNB,@,SFO,W 30-19,,3,3,100.0,3,3,100.0,0,12
15,2006,2006-12-17,14,24.052,GNB,,DET,W 17-9,,2,2,100.0,1,1,100.0,0,5
16,2006,2006-12-21,15,24.056,GNB,,MIN,W 9-7,,,,,3,5,60.0,0,9
17,2006,2006-12-31,16,24.066,GNB,@,CHI,W 26-7,,2,3,66.7,2,3,66.7,0,8
18,2007,2007-09-16,2,24.325,KAN,@,CHI,L 10-20,,1,1,100.0,1,2,50.0,0,4
19,2007,2007-09-23,3,24.332,KAN,,MIN,W 13-10,,1,1,100.0,2,2,100.0,0,7
20,2007,2007-09-30,4,24.339,KAN,@,SDG,W 30-16,,3,3,100.0,3,3,100.0,0,12
21,2007,2007-10-07,5,24.346,KAN,,JAX,L 7-17,,1,1,100.0,,1,0.0,0,1
22,2007,2007-10-14,6,24.353,KAN,,CIN,W 27-20,,3,3,100.0,2,2,100.0,0,9
23,2007,2007-10-21,7,24.360,KAN,@,OAK,W 12-10,,,,,2,3,66.7,0,6
24,2007,2007-11-04,8,25.009,KAN,,GNB,L 22-33,,2,2,100.0,,,,0,2
25,2007,2007-11-11,9,25.016,KAN,,DEN,L 11-27,,,,,3,4,75.0,0,9
26,2007,2007-11-18,10,25.023,KAN,@,IND,L 10-13,,1,1,100.0,1,3,33.3,0,4
27,2007,2007-11-25,11,25.030,KAN,,OAK,L 17-20,,2,2,100.0,1,2,50.0,0,5
28,2008,2008-10-12,6,25.352,CIN,@,NYJ,L 14-26,,2,2,100.0,,,,0,2
29,2008,2008-10-19,7,25.359,CIN,,PIT,L 10-38,,1,1,100.0,1,1,100.0,0,4
30,2010,2010-11-14,9,28.019,DET,@,BUF,L 12-14,,,,,2,3,66.7,0,6
31,2010,2010-11-21,10,28.026,DET,@,DAL,L 19-35,,2,2,100.0,1,1,100.0,0,5
32,2010,2010-11-25,11,28.030,DET,,NWE,L 24-45,,3,3,100.0,1,2,50.0,0,6
33,2010,2010-12-05,12,28.040,DET,,CHI,L 20-24,,2,2,100.0,2,2,100.0,0,8
34,2010,2010-12-12,13,28.047,DET,,GNB,W 7-3,,1,1,100.0,,1,0.0,0,1
35,2010,2010-12-19,14,28.054,DET,@,TAM,W 23-20,,2,2,100.0,3,3,100.0,0,11
36,2010,2010-12-26,15,28.061,DET,@,MIA,W 34-27,,4,4,100.0,2,2,100.0,0,10
37,2010,2011-01-02,16,28.068,DET,,MIN,W 20-13,,2,2,100.0,2,2,100.0,0,8
38,2011,2011-11-13,9,29.018,BUF,@,DAL,L 7-44,,1,1,100.0,,1,0.0,0,1
39,2011,2011-11-20,10,29.025,BUF,@,MIA,L 8-35,,,,,2,2,100.0,0,6
40,2011,2011-11-27,11,29.032,BUF,@,NYJ,L 24-28,,3,3,100.0,1,1,100.0,0,6
41,2011,2011-12-04,12,29.039,BUF,,TEN,L 17-23,,2,2,100.0,1,1,100.0,0,5
42,2011,2011-12-11,13,29.046,BUF,@,SDG,L 10-37,,1,1,100.0,1,2,50.0,0,4
43,2011,2011-12-18,14,29.053,BUF,,MIA,L 23-30,,2,2,100.0,1,2,50.0,0,5
44,2011,2011-12-24,15,29.059,BUF,,DEN,W 40-14,,4,4,100.0,4,6,66.7,0,16
