ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1960,1960-09-25,1,25.192,CHI,@,GNB,W 17-14,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5
2,1960,1960-10-02,2,25.199,CHI,@,BAL,L 7-42,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,,1,0.0,0,1
3,1960,1960-10-09,3,25.206,CHI,,RAM,W 34-27,0,0,,0,0,0,,0,0,0,,0,0,,,4,4,100.0,2,3,66.7,0,10
4,1960,1960-10-16,4,25.213,CHI,,SFO,W 27-10,0,0,,0,0,0,,0,0,,,,,,,3,4,75.0,,,,0,3
5,1960,1960-10-23,5,25.220,CHI,@,RAM,T 24-24,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6
6,1960,1960-10-30,6,25.227,CHI,@,SFO,L 7-25,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,,1,0.0,0,1
7,1960,1960-11-13,7,25.241,CHI,,BAL,L 20-24,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,2,4,50.0,0,8
8,1960,1960-11-20,8,25.248,CHI,,DET,W 28-7,0,0,,0,0,0,,0,0,,,,,,,4,4,100.0,,,,0,4
9,1960,1960-11-27,9,25.255,CHI,,DAL,W 17-7,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5
10,1960,1960-12-04,10,25.262,CHI,,GNB,L 13-41,0,0,,0,0,0,,0,0,,,,,,,1,2,50.0,,,,0,1
11,1960,1960-12-11,11,25.269,CHI,@,CLE,L 0-42,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,1,0.0,0,0
12,1961,1961-09-17,1,26.184,WAS,@,SFO,L 3-35,1,10,10.00,0,0,0,,0,0,0,,0,0,,,,,,1,2,50.0,0,3
13,1961,1961-09-24,2,26.191,WAS,@,PHI,L 7-14,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,,2,0.0,0,1
14,1961,1961-10-01,3,26.198,WAS,,NYG,L 21-24,0,0,,0,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3
15,1961,1961-10-08,4,26.205,WAS,@,CLE,L 7-31,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,,1,0.0,0,1
16,1961,1961-10-15,5,26.212,WAS,@,PIT,L 0-20,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,3,0.0,0,0
17,1961,1961-10-22,6,26.219,WAS,,STL,L 0-24,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,1,0.0,0,0
18,1961,1961-10-29,7,26.226,WAS,,PHI,L 24-27,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,1,3,33.3,0,6
19,1961,1961-11-05,8,26.233,WAS,@,NYG,L 0-53,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,1,0.0,0,0
20,1961,1961-11-12,9,26.240,WAS,,CLE,L 6-17,0,0,,0,0,0,,0,0,0,,0,0,,,,1,0.0,,3,0.0,0,0
21,1961,1961-11-19,10,26.247,WAS,@,DAL,T 28-28,0,0,,0,0,0,,0,0,0,,0,0,,,4,4,100.0,,1,0.0,0,4
22,1961,1961-11-26,11,26.254,WAS,,BAL,L 6-27,0,0,,0,0,0,,0,0,0,,0,0,,,,,,2,3,66.7,0,6
23,1961,1961-12-03,12,26.261,WAS,@,STL,L 24-38,2,53,26.50,1,0,0,,0,0,0,,0,0,,,3,3,100.0,1,4,25.0,1,12
24,1961,1961-12-10,13,26.268,WAS,,PIT,L 14-30,3,21,7.00,0,0,0,,0,0,0,,0,0,,,2,2,100.0,,2,0.0,0,2
25,1961,1961-12-17,14,26.275,WAS,,DAL,W 34-24,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,4,5,80.0,,2,0.0,0,4
