ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1953,1953-09-27,1,24.164,NYG,@,RAM,L 7-21,9,21,2.33,0,1,5,5.00,0
2,1953,1953-10-03,2,24.170,NYG,@,PIT,L 14-24,9,21,2.33,0,1,-4,-4.00,0
3,1953,1953-10-11,3,24.178,NYG,@,WAS,L 9-13,15,70,4.67,0,4,16,4.00,0
4,1953,1953-10-18,4,24.185,NYG,,CRD,W 21-7,18,20,1.11,1,2,22,11.00,0
5,1953,1953-10-25,5,24.192,NYG,,CLE,L 0-7,11,36,3.27,0,1,-2,-2.00,0
6,1953,1953-11-01,6,24.199,NYG,@,CRD,W 23-20,15,37,2.47,0,0,0,,0
7,1953,1953-11-08,7,24.206,NYG,@,PHI,L 7-30,11,14,1.27,0,2,10,5.00,0
8,1953,1953-11-15,8,24.213,NYG,,PIT,L 10-14,6,3,0.50,0,1,7,7.00,0
9,1953,1953-11-22,9,24.220,NYG,,WAS,L 21-24,6,41,6.83,0,0,0,,0
10,1953,1953-11-29,10,24.227,NYG,,PHI,W 37-28,4,0,0.00,0,0,0,,0
11,1953,1953-12-06,11,24.234,NYG,@,CLE,L 14-62,3,17,5.67,0,3,26,8.67,0
12,1953,1953-12-13,12,24.241,NYG,,DET,L 16-27,1,-2,-2.00,0,0,0,,0
