ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2007,2007-12-30,16,24.079,MIN,@,DEN,L 19-22,,3,2,26,13.00,0,66.7%,8.67
2,2008,2008-09-08,1,24.332,MIN,@,GNB,L 19-24,,4,3,49,16.33,0,75.0%,12.25
3,2008,2008-09-14,2,24.338,MIN,,IND,L 15-18,,0,0,0,,0,0.0%,
4,2008,2008-09-21,3,24.345,MIN,,CAR,W 20-10,,2,1,10,10.00,0,50.0%,5.00
5,2008,2008-09-28,4,24.352,MIN,@,TEN,L 17-30,,3,,,,,0.0%,
6,2008,2008-10-06,5,24.360,MIN,@,NOR,W 30-27,,1,,,,,0.0%,
7,2008,2008-10-12,6,25.000,MIN,,DET,W 12-10,,0,,,,,0.0%,
8,2008,2008-10-19,7,25.007,MIN,@,CHI,L 41-48,,,,,,,0.0%,
9,2008,2008-11-16,10,25.035,MIN,@,TAM,L 13-19,,1,1,6,6.00,0,100.0%,6.00
10,2010,2010-09-19,2,26.342,PHI,@,DET,W 35-32,,1,1,14,14.00,0,100.0%,14.00
11,2010,2010-09-26,3,26.349,PHI,@,JAX,W 28-3,*,1,,,,,0.0%,
12,2010,2010-10-03,4,26.356,PHI,,WAS,L 12-17,*,,,,,,0.0%,
13,2010,2010-10-10,5,26.363,PHI,@,SFO,W 27-24,,,,,,,0.0%,
14,2010,2010-10-17,6,27.005,PHI,,ATL,W 31-17,*,,,,,,0.0%,
15,2010,2010-10-24,7,27.012,PHI,@,TEN,L 19-37,,1,1,5,5.00,0,100.0%,5.00
16,2010,2010-11-07,8,27.026,PHI,,IND,W 26-24,,,,,,,0.0%,
