ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1980,1980-09-08,1,22.278,WAS,,DAL,L 3-17,,5,55,11.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
2,1980,1980-09-14,2,22.284,WAS,@,NYG,W 23-21,,2,20,10.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
3,1980,1980-09-21,3,22.291,WAS,@,OAK,L 21-24,,2,25,12.50,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
4,1980,1980-09-28,4,22.298,WAS,,SEA,L 0-14,,1,45,45.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
5,1980,1980-10-05,5,22.305,WAS,@,PHI,L 14-24,,2,44,22.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,1,10,10.00,0,0,0
6,1980,1980-10-13,6,22.313,WAS,@,DEN,L 17-20,,6,47,7.83,1,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
7,1980,1980-10-19,7,22.319,WAS,,STL,W 23-0,,6,85,14.17,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
8,1980,1980-10-26,8,22.326,WAS,,NOR,W 22-14,,5,75,15.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
9,1980,1980-11-02,9,22.333,WAS,,MIN,L 14-39,,4,54,13.50,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
10,1980,1980-11-09,10,22.340,WAS,@,CHI,L 21-35,,8,124,15.50,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
11,1980,1980-11-16,11,22.347,WAS,,PHI,L 0-24,,3,16,5.33,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
12,1980,1980-11-23,12,22.354,WAS,@,DAL,L 10-14,,2,7,3.50,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
13,1980,1980-11-30,13,22.361,WAS,@,ATL,L 6-10,,4,62,15.50,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
14,1980,1980-12-07,14,23.002,WAS,,SDG,W 40-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1980,1980-12-13,15,23.008,WAS,,NYG,W 16-13,,3,43,14.33,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
16,1980,1980-12-21,16,23.016,WAS,@,STL,W 31-7,,5,95,19.00,2,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
17,1981,1981-09-06,1,23.275,WAS,,DAL,L 10-26,,3,38,12.67,0,,,1,-5,-5.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
18,1981,1981-09-13,2,23.282,WAS,,NYG,L 7-17,,7,74,10.57,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
19,1981,1981-09-20,3,23.289,WAS,@,STL,L 30-40,,4,128,32.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
20,1981,1981-09-27,4,23.296,WAS,@,PHI,L 13-36,,4,33,8.25,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
21,1981,1981-10-04,5,23.303,WAS,,SFO,L 17-30,,4,42,10.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
22,1981,1981-10-11,6,23.310,WAS,@,CHI,W 24-7,,2,30,15.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
23,1981,1981-10-18,7,23.317,WAS,@,MIA,L 10-13,,4,42,10.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
24,1981,1981-10-25,8,23.324,WAS,,NWE,W 24-22,,2,38,19.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
25,1981,1981-11-01,9,23.331,WAS,,STL,W 42-21,,3,77,25.67,2,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,12
26,1981,1981-11-08,10,23.338,WAS,,DET,W 33-31,,3,45,15.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
27,1981,1981-11-15,11,23.345,WAS,@,NYG,W 30-27,,3,20,6.67,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
28,1981,1981-11-22,12,23.352,WAS,@,DAL,L 10-24,,1,13,13.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
29,1981,1981-11-29,13,23.359,WAS,@,BUF,L 14-21,,6,60,10.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
30,1981,1981-12-06,14,24.001,WAS,,PHI,W 15-13,,1,8,8.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
31,1981,1981-12-13,15,24.008,WAS,,BAL,W 38-14,,7,148,21.14,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
32,1981,1981-12-20,16,24.015,WAS,@,RAM,W 30-7,,2,98,49.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
33,1982,1982-09-12,1,24.281,WAS,@,PHI,W 37-34,,8,134,16.75,1,,,1,8,8.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
34,1982,1982-09-19,2,24.288,WAS,@,TAM,W 21-13,,4,41,10.25,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
35,1982,1982-11-21,3,24.351,WAS,@,NYG,W 27-17,,6,42,7.00,0,,,2,14,7.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
36,1982,1982-11-28,4,24.358,WAS,,PHI,W 13-9,,1,10,10.00,0,,,1,-6,-6.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
37,1982,1982-12-05,5,25.000,WAS,,DAL,L 10-24,,7,100,14.29,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
38,1982,1982-12-12,6,25.007,WAS,@,STL,W 12-7,,0,0,,0,,,2,3,1.50,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
39,1982,1982-12-19,7,25.014,WAS,,NYG,W 15-14,,4,60,15.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
40,1982,1982-12-26,8,25.021,WAS,@,NOR,W 27-10,,5,60,12.00,0,,,1,2,2.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
