ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1982,1982-09-12,1,23.056,ATL,@,NYG,W 16-14,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
2,1982,1982-09-19,2,23.063,ATL,,RAI,L 14-38,3,30,10.00,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
3,1982,1982-11-21,3,23.126,ATL,,RAM,W 34-17,2,10,5.00,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
4,1982,1982-11-28,4,23.133,ATL,,STL,L 20-23,1,12,12.00,0,1,0,0.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
5,1982,1982-12-05,5,23.140,ATL,@,DEN,W 34-27,0,0,,0,0,0,,0,,,,,,,,,,,,0,0,,0,0,
6,1982,1982-12-12,6,23.147,ATL,,NOR,W 35-0,1,6,6.00,0,1,11,11.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
7,1982,1982-12-19,7,23.154,ATL,@,SFO,W 17-7,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,1,23,23.00,0,0,0
8,1982,1982-12-26,8,23.161,ATL,,GNB,L 7-38,5,76,15.20,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
9,1982,1983-01-02,9,23.168,ATL,@,NOR,L 6-35,1,20,20.00,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
10,1983,1983-09-11,2,24.055,ATL,,NYG,L 13-16,0,0,,0,,,,,0,0,,0,0,0,,0,,,,,,,,,
11,1983,1983-09-25,4,24.069,ATL,@,SFO,L 20-24,4,89,22.25,1,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6
12,1983,1983-10-02,5,24.076,ATL,,PHI,L 24-28,2,2,1.00,1,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6
13,1983,1983-10-16,7,24.090,ATL,@,RAM,L 21-27,1,1,1.00,1,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6
14,1983,1983-10-23,8,24.097,ATL,@,NYJ,W 27-21,0,0,,0,,,,,0,0,,0,0,0,,0,,,,,,,,,
15,1983,1983-10-30,9,24.104,ATL,,NWE,W 24-13,0,0,,0,,,,,0,0,,0,0,0,,0,,,,,,,,,
16,1983,1983-11-14,11,24.119,ATL,,RAM,L 13-36,1,21,21.00,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
17,1983,1983-11-20,12,24.125,ATL,,SFO,W 28-24,7,68,9.71,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
18,1983,1983-11-27,13,24.132,ATL,,GNB,W 47-41,4,63,15.75,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
19,1983,1983-12-04,14,24.139,ATL,@,WAS,L 21-37,3,17,5.67,0,0,0,,0,1,2,50.00,28,0,1,56.2,0,0,14.00,-8.50,0,0,,0,0,0
20,1983,1983-12-10,15,24.145,ATL,@,MIA,L 24-31,2,14,7.00,1,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6
21,1983,1983-12-18,16,24.153,ATL,,BUF,W 31-14,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
22,1984,1984-09-16,3,25.060,ATL,@,MIN,L 20-27,0,0,,0,0,0,,0,,,,,,,,,,,,,,,,0,
23,1984,1984-09-23,4,25.067,ATL,,HOU,W 42-10,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
24,1984,1984-09-30,5,25.074,ATL,@,SFO,L 5-14,0,0,,0,0,0,,0,,,,,,,,,,,,,,,,0,
25,1984,1984-10-07,6,25.081,ATL,@,RAM,W 30-28,2,31,15.50,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
26,1984,1984-10-14,7,25.088,ATL,,NYG,L 7-19,3,38,12.67,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
27,1984,1984-10-22,8,25.096,ATL,,RAM,L 10-24,6,55,9.17,0,1,9,9.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
28,1984,1984-10-28,9,25.102,ATL,@,PIT,L 10-35,3,28,9.33,0,1,8,8.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
29,1984,1984-11-11,11,25.116,ATL,,NOR,L 13-17,2,14,7.00,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
30,1984,1984-11-18,12,25.123,ATL,,CLE,L 7-23,2,29,14.50,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
31,1984,1984-11-25,13,25.130,ATL,@,CIN,L 14-35,2,14,7.00,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
32,1984,1984-12-02,14,25.137,ATL,,SFO,L 17-35,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
33,1984,1984-12-09,15,25.144,ATL,@,TAM,L 6-23,2,12,6.00,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
