ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2017,2017-09-17,2,23.123,JAX,,TEN,L 16-37,,0,0,0,,0,0.0%,,0,0,,0
2,2017,2017-09-24,3,23.130,JAX,,BAL,W 44-7,,0,0,0,,0,0.0%,,0,0,,0
3,2017,2017-10-01,4,23.137,JAX,@,NYJ,L 20-23,,0,0,0,,0,0.0%,,0,0,,0
4,2017,2017-10-08,5,23.144,JAX,@,PIT,W 30-9,,1,1,4,4.00,0,100.0%,4.00,0,0,,0
5,2017,2017-10-15,6,23.151,JAX,,LAR,L 17-27,,0,0,0,,0,0.0%,,1,0,0.00,0
