ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,def_int,def_int_yds,def_int_td
1,1951,1951-11-18,8,21.227,NYG,,CLE,L 0-10,1,50,50.00,0,,,
2,1952,1952-11-16,8,22.225,NYG,,GNB,L 3-17,1,19,19.00,0,,,
3,1952,1952-12-14,12,22.253,NYG,,CLE,W 37-34,1,-5,-5.00,0,,,
4,1960,1960-11-13,9,30.222,DTX,,DEN,W 34-7,0,0,,0,1,0,0
5,1961,1961-10-15,6,31.193,DEN,,OAK,W 27-24,0,0,,0,1,0,0
6,1961,1961-11-12,10,31.221,DEN,,SDG,L 16-19,0,0,,0,1,3,0
7,1961,1961-11-26,12,31.235,DEN,@,HOU,L 14-45,0,0,,0,1,13,0
