ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2007,2007-12-23,15,23.122,NYJ,@,TEN,L 6-10,,5,208,41.60,0
2,2008,2008-12-07,13,24.106,GNB,,HOU,L 21-24,,8,316,39.50,0
3,2008,2008-12-14,14,24.113,GNB,@,JAX,L 16-20,,2,87,43.50,0
4,2008,2008-12-22,15,24.121,GNB,@,CHI,L 17-20,,4,151,37.75,0
5,2008,2008-12-28,16,24.127,GNB,,DET,W 31-21,,3,113,37.67,0
6,2009,2009-09-13,1,25.021,GNB,,CHI,W 21-15,,6,268,44.67,0
7,2009,2009-09-20,2,25.028,GNB,,CIN,L 24-31,,6,259,43.17,0
8,2009,2009-09-27,3,25.035,GNB,@,STL,W 36-17,,4,200,50.00,0
9,2009,2009-10-05,4,25.043,GNB,@,MIN,L 23-30,,2,102,51.00,0
10,2009,2009-10-18,5,25.056,GNB,,DET,W 26-0,,2,82,41.00,0
11,2009,2009-10-25,6,25.063,GNB,@,CLE,W 31-3,,2,87,43.50,0
12,2009,2009-11-01,7,25.070,GNB,,MIN,L 26-38,,5,216,43.20,0
13,2009,2009-11-08,8,25.077,GNB,@,TAM,L 28-38,,6,247,41.17,1
14,2009,2009-11-15,9,25.084,GNB,,DAL,W 17-7,,7,306,43.71,0
15,2009,2009-11-22,10,25.091,GNB,,SFO,W 30-24,,5,217,43.40,0
16,2009,2009-11-26,11,25.095,GNB,@,DET,W 34-12,,3,132,44.00,0
17,2009,2009-12-07,12,25.106,GNB,,BAL,W 27-14,,3,129,43.00,0
18,2009,2009-12-13,13,25.112,GNB,@,CHI,W 21-14,,4,173,43.25,0
19,2009,2009-12-20,14,25.119,GNB,@,PIT,L 36-37,,5,211,42.20,0
20,2009,2009-12-27,15,25.126,GNB,,SEA,W 48-10,,4,164,41.00,0
21,2009,2010-01-03,16,25.133,GNB,@,ARI,W 33-7,,2,98,49.00,0
22,2010,2010-11-01,7,26.070,IND,,HOU,W 30-17,,4,178,44.50,0
23,2010,2010-12-12,13,26.111,PIT,,CIN,W 23-7,,5,176,35.20,0
24,2010,2010-12-19,14,26.118,PIT,,NYJ,L 17-22,,4,152,38.00,0
25,2010,2010-12-23,15,26.122,PIT,,CAR,W 27-3,,3,136,45.33,0
26,2010,2011-01-02,16,26.132,PIT,@,CLE,W 41-9,,2,112,56.00,0
27,2011,2011-11-06,9,27.075,PIT,,BAL,L 20-23,,3,100,33.33,0
28,2011,2011-11-13,10,27.082,PIT,@,CIN,W 24-17,,5,257,51.40,0
29,2011,2011-11-27,11,27.096,PIT,@,KAN,W 13-9,,5,211,42.20,0
30,2011,2011-12-04,12,27.103,PIT,,CIN,W 35-7,,5,271,54.20,0
31,2011,2011-12-08,13,27.107,PIT,,CLE,W 14-3,,4,165,41.25,0
32,2011,2011-12-19,14,27.118,PIT,@,SFO,L 3-20,,4,154,38.50,0
33,2011,2011-12-24,15,27.123,PIT,,STL,W 27-0,,4,191,47.75,0
34,2011,2012-01-01,16,27.131,PIT,@,CLE,W 13-9,,4,181,45.25,0
