ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2000,2000-09-03,1,21.272,SEA,@,MIA,L 0-23,,6,2,15,7.50,0,33.3%,2.50,0,0,,0,0,0,,0,0,0,0.0,,
2,2000,2000-09-10,2,21.279,SEA,,STL,L 34-37,*,3,2,42,21.00,1,66.7%,14.00,1,-1,-1.00,0,0,0,,0,1,6,0.0,,
3,2000,2000-09-17,3,21.286,SEA,,NOR,W 20-10,*,9,5,59,11.80,0,55.6%,6.56,0,0,,0,0,0,,0,0,0,0.0,,
4,2000,2000-09-24,4,21.293,SEA,@,SDG,W 20-12,*,2,1,68,68.00,1,50.0%,34.00,0,0,,0,0,0,,0,1,6,0.0,,
5,2000,2000-10-02,5,21.301,SEA,@,KAN,L 17-24,*,7,4,51,12.75,0,57.1%,7.29,0,0,,0,0,0,,0,0,0,0.0,,
6,2000,2000-10-08,6,21.307,SEA,@,CAR,L 3-26,,10,6,45,7.50,0,60.0%,4.50,0,0,,0,0,0,,0,0,0,0.0,,
7,2000,2000-10-15,7,21.314,SEA,,IND,L 24-37,*,7,6,66,11.00,1,85.7%,9.43,0,0,,0,0,0,,0,1,6,0.0,,
8,2000,2000-10-22,8,21.321,SEA,@,OAK,L 3-31,*,9,4,26,6.50,0,44.4%,2.89,0,0,,0,0,0,,0,0,0,0.0,,
9,2000,2000-10-29,9,21.328,SEA,,KAN,L 19-24,,6,2,17,8.50,0,33.3%,2.83,0,0,,0,0,0,,0,0,0,0.0,,
10,2000,2000-11-05,10,21.335,SEA,,SDG,W 17-15,,4,2,27,13.50,0,50.0%,6.75,0,0,,0,0,0,,0,0,0,0.0,,
11,2000,2000-11-12,11,21.342,SEA,@,JAX,W 28-21,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,0.0,,
12,2000,2000-11-26,12,21.356,SEA,,DEN,L 31-38,,5,1,19,19.00,0,20.0%,3.80,0,0,,0,0,0,,0,0,0,0.0,,
13,2000,2000-12-03,13,21.363,SEA,@,ATL,W 30-10,,6,5,98,19.60,1,83.3%,16.33,0,0,,0,0,0,,0,1,6,0.0,,
14,2000,2000-12-10,14,22.004,SEA,@,DEN,L 24-31,,8,5,76,15.20,1,62.5%,9.50,0,0,,0,0,0,,0,1,6,0.0,,
15,2000,2000-12-16,15,22.010,SEA,,OAK,W 27-24,,6,4,52,13.00,1,66.7%,8.67,0,0,,0,0,0,,0,1,6,0.0,,
16,2000,2000-12-23,16,22.017,SEA,,BUF,L 23-42,,4,3,40,13.33,0,75.0%,10.00,0,0,,0,0,0,,0,0,0,0.0,,
17,2001,2001-09-09,1,22.277,SEA,@,CLE,W 9-6,*,8,5,17,3.40,0,62.5%,2.13,0,0,,0,0,0,,0,0,0,0.0,,
18,2001,2001-09-23,2,22.291,SEA,,PHI,L 3-27,*,6,2,9,4.50,0,33.3%,1.50,0,0,,0,0,0,,0,0,0,0.0,,
19,2001,2001-09-30,3,22.298,SEA,@,OAK,L 14-38,*,9,5,125,25.00,0,55.6%,13.89,0,0,,0,0,0,,0,0,0,0.0,,
20,2001,2001-10-07,4,22.305,SEA,,JAX,W 24-15,*,5,3,48,16.00,0,60.0%,9.60,0,0,,0,0,0,,0,0,0,0.0,,
21,2001,2001-10-14,5,22.312,SEA,,DEN,W 34-21,*,6,4,38,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,0,0,0.0,,
22,2001,2001-10-28,6,22.326,SEA,,MIA,L 20-24,*,8,5,121,24.20,1,62.5%,15.13,0,0,,0,0,0,,0,1,6,0.0,,
23,2001,2001-11-04,7,22.333,SEA,@,WAS,L 14-27,*,8,1,46,46.00,1,12.5%,5.75,0,0,,0,0,0,,0,1,6,0.0,,
24,2001,2001-11-11,8,22.340,SEA,,OAK,W 34-27,*,9,7,102,14.57,1,77.8%,11.33,0,0,,0,0,0,,0,1,6,0.0,,
25,2001,2001-11-18,9,22.347,SEA,@,BUF,W 23-20,*,8,4,39,9.75,0,50.0%,4.88,1,9,9.00,0,0,0,,0,0,0,0.0,,
26,2001,2001-11-25,10,22.354,SEA,@,KAN,L 7-19,*,7,5,61,12.20,0,71.4%,8.71,0,0,,0,0,0,,0,0,0,0.0,,
27,2001,2001-12-02,11,22.361,SEA,,SDG,W 13-10,*,11,6,76,12.67,0,54.5%,6.91,0,0,,0,0,0,,0,0,0,0.0,,
28,2001,2001-12-09,12,23.003,SEA,@,DEN,L 7-20,*,12,4,104,26.00,1,33.3%,8.67,0,0,,0,0,0,,0,1,6,0.0,,
29,2001,2001-12-16,13,23.010,SEA,,DAL,W 29-3,*,7,4,85,21.25,0,57.1%,12.14,0,0,,0,0,0,,0,0,0,0.0,,
30,2001,2001-12-23,14,23.017,SEA,@,NYG,L 24-27,*,8,4,25,6.25,0,50.0%,3.13,0,0,,0,0,0,,0,0,0,0.0,,
31,2001,2001-12-30,15,23.024,SEA,@,SDG,W 25-22,*,10,5,114,22.80,2,50.0%,11.40,0,0,,0,0,0,,0,2,12,0.0,,
32,2001,2002-01-06,16,23.031,SEA,,KAN,W 21-18,*,10,6,71,11.83,2,60.0%,7.10,0,0,,0,0,0,,0,2,12,0.0,,
33,2002,2002-09-08,1,23.276,SEA,@,OAK,L 17-31,*,4,3,7,2.33,0,75.0%,1.75,1,1,1.00,0,0,0,,0,0,0,0.0,,
34,2002,2002-09-15,2,23.283,SEA,,ARI,L 13-24,*,13,10,174,17.40,0,76.9%,13.38,0,0,,0,0,0,,0,0,0,0.0,,
35,2002,2002-09-22,3,23.290,SEA,@,NYG,L 6-9,*,7,7,54,7.71,0,100.0%,7.71,2,2,1.00,0,0,0,,0,0,0,0.0,,
36,2002,2002-09-29,4,23.297,SEA,,MIN,W 48-23,*,8,3,47,15.67,0,37.5%,5.88,0,0,,0,0,0,,0,0,0,0.0,,
37,2002,2002-10-14,5,23.312,SEA,,SFO,L 21-28,*,10,5,53,10.60,0,50.0%,5.30,0,0,,0,0,0,,0,0,0,0.0,,
38,2002,2002-10-20,6,23.318,SEA,@,STL,L 20-37,*,3,,,,,0.0%,,,,,,,,,,,,,,
39,2002,2002-10-27,7,23.325,SEA,@,DAL,W 17-14,*,7,2,42,21.00,0,28.6%,6.00,0,0,,0,0,0,,0,0,0,0.0,,
40,2002,2002-11-24,11,23.353,SEA,,KAN,W 39-32,*,8,6,92,15.33,0,75.0%,11.50,0,0,,0,0,0,,0,0,0,0.0,,
41,2002,2002-12-01,12,23.360,SEA,@,SFO,L 24-31,*,16,7,114,16.29,2,43.8%,7.13,0,0,,0,0,0,,0,2,12,0.0,,
42,2002,2002-12-08,13,24.002,SEA,,PHI,L 20-27,*,11,3,34,11.33,0,27.3%,3.09,0,0,,0,0,0,,0,0,0,0.0,,
43,2002,2002-12-15,14,24.009,SEA,@,ATL,W 30-24,*,10,7,99,14.14,0,70.0%,9.90,0,0,,0,4,32,8.00,0,0,0,0.0,,
44,2002,2002-12-22,15,24.016,SEA,,STL,W 30-10,*,6,4,71,17.75,1,66.7%,11.83,0,0,,0,0,0,,0,1,6,0.0,,
45,2002,2002-12-29,16,24.023,SEA,@,SDG,W 31-28,*,9,5,90,18.00,1,55.6%,10.00,0,0,,0,0,0,,0,1,6,0.0,,
46,2003,2003-09-07,1,24.275,SEA,,NOR,W 27-10,*,7,3,53,17.67,0,42.9%,7.57,0,0,,0,0,0,,0,0,0,0.0,,
47,2003,2003-09-14,2,24.282,SEA,@,ARI,W 38-0,*,6,3,133,44.33,2,50.0%,22.17,0,0,,0,0,0,,0,2,12,0.0,,
48,2003,2003-09-21,3,24.289,SEA,,STL,W 24-23,*,8,2,50,25.00,1,25.0%,6.25,0,0,,0,0,0,,0,1,6,0.0,,
49,2003,2003-10-05,4,24.303,SEA,@,GNB,L 13-35,*,10,4,58,14.50,0,40.0%,5.80,0,0,,0,0,0,,0,0,0,0.0,,
50,2003,2003-10-12,5,24.310,SEA,,SFO,W 20-19,*,9,5,55,11.00,0,55.6%,6.11,0,0,,0,0,0,,0,0,0,0.0,,
51,2003,2003-10-19,6,24.317,SEA,,CHI,W 24-17,*,4,2,31,15.50,0,50.0%,7.75,0,0,,0,0,0,,0,0,0,0.0,,
52,2003,2003-10-26,7,24.324,SEA,@,CIN,L 24-27,*,13,6,98,16.33,0,46.2%,7.54,0,0,,0,0,0,,0,0,0,0.0,,
53,2003,2003-11-02,8,24.331,SEA,,PIT,W 23-16,*,12,5,85,17.00,1,41.7%,7.08,0,0,,0,0,0,,0,1,6,0.0,,
54,2003,2003-11-09,9,24.338,SEA,@,WAS,L 20-27,*,8,4,41,10.25,0,50.0%,5.13,0,0,,0,0,0,,0,0,0,0.0,,
55,2003,2003-11-16,10,24.345,SEA,,DET,W 35-14,*,4,4,56,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,0,0.0,,
56,2003,2003-11-23,11,24.352,SEA,@,BAL,L 41-44,*,13,7,146,20.86,2,53.8%,11.23,0,0,,0,0,0,,0,2,12,0.0,,
57,2003,2003-11-30,12,24.359,SEA,,CLE,W 34-7,*,12,8,102,12.75,2,66.7%,8.50,0,0,,0,0,0,,0,2,12,0.0,,
58,2003,2003-12-07,13,25.001,SEA,@,MIN,L 7-34,*,8,5,76,15.20,0,62.5%,9.50,0,0,,0,0,0,,0,0,0,0.0,,
59,2003,2003-12-14,14,25.008,SEA,@,STL,L 22-27,*,9,6,99,16.50,1,66.7%,11.00,0,0,,0,0,0,,0,1,6,0.0,,
60,2003,2003-12-21,15,25.015,SEA,,ARI,W 28-10,*,1,,,,,0.0%,,,,,,,,,,,,,,
61,2003,2003-12-27,16,25.021,SEA,@,SFO,W 24-17,*,6,4,54,13.50,0,66.7%,9.00,0,0,,0,0,0,,0,0,0,0.0,,
62,2004,2004-09-12,1,25.281,SEA,@,NOR,W 21-7,*,10,7,98,14.00,0,70.0%,9.80,0,0,,0,0,0,,0,0,0,0.0,,
63,2004,2004-09-19,2,25.288,SEA,@,TAM,W 10-6,*,11,5,50,10.00,0,45.5%,4.55,0,0,,0,0,0,,0,0,0,0.0,,
64,2004,2004-09-26,3,25.295,SEA,,SFO,W 34-0,*,9,7,97,13.86,0,77.8%,10.78,0,0,,0,0,0,,0,0,0,0.0,,
65,2004,2004-10-10,4,25.309,SEA,,STL,L 27-33,*,7,5,91,18.20,1,71.4%,13.00,0,0,,0,0,0,,0,1,6,0.0,,
66,2004,2004-10-17,5,25.316,SEA,@,NWE,L 20-30,*,11,2,40,20.00,0,18.2%,3.64,0,0,,0,0,0,,0,0,0,0.0,,
67,2004,2004-10-24,6,25.323,SEA,@,ARI,L 17-25,*,15,8,109,13.63,1,53.3%,7.27,0,0,,0,0,0,,0,1,6,0.0,,
68,2004,2004-10-31,7,25.330,SEA,,CAR,W 23-17,*,10,6,71,11.83,0,60.0%,7.10,0,0,,0,0,0,,0,0,0,0.0,,
69,2004,2004-11-07,8,25.337,SEA,@,SFO,W 42-27,*,7,5,114,22.80,2,71.4%,16.29,0,0,,0,0,0,,0,2,12,0.0,,
70,2004,2004-11-14,9,25.344,SEA,@,STL,L 12-23,*,10,3,33,11.00,0,30.0%,3.30,0,0,,0,0,0,,0,0,0,0.0,,
71,2004,2004-11-21,10,25.351,SEA,,MIA,W 24-17,*,9,3,39,13.00,0,33.3%,4.33,0,0,,0,0,0,,0,0,0,0.0,,
72,2004,2004-11-28,11,25.358,SEA,,BUF,L 9-38,*,9,4,45,11.25,0,44.4%,5.00,0,0,,0,0,0,,0,0,0,0.0,,
73,2004,2004-12-06,12,26.000,SEA,,DAL,L 39-43,*,12,9,113,12.56,1,75.0%,9.42,0,0,,0,0,0,,0,1,6,0.0,,
74,2004,2004-12-12,13,26.006,SEA,@,MIN,W 27-23,*,14,10,135,13.50,1,71.4%,9.64,0,0,,0,0,0,,0,1,6,0.0,,
75,2004,2004-12-19,14,26.013,SEA,@,NYJ,L 14-37,*,6,4,45,11.25,0,66.7%,7.50,0,0,,0,0,0,,0,0,0,0.0,,
76,2004,2004-12-26,15,26.020,SEA,,ARI,W 24-21,*,12,6,101,16.83,0,50.0%,8.42,0,0,,0,0,0,,0,0,0,0.0,,
77,2004,2005-01-02,16,26.027,SEA,,ATL,W 28-26,*,4,3,18,6.00,1,75.0%,4.50,0,0,,0,0,0,,0,1,6,0.0,,
78,2005,2005-09-11,1,26.279,SEA,@,JAX,L 14-26,*,9,6,65,10.83,1,66.7%,7.22,0,0,,0,0,0,,0,1,6,0.0,,
