ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1967,1967-09-17,1,22.058,STL,,NYG,L 20-37,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,122,30.50,0
2,1967,1967-09-24,2,22.065,STL,@,PIT,W 28-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,3,109,36.33,0
3,1967,1967-10-01,3,22.072,STL,,DET,W 38-28,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,161,40.25,0
4,1967,1967-10-08,4,22.079,STL,@,MIN,W 34-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,3,136,45.33,0
5,1967,1967-10-15,5,22.086,STL,@,CLE,L 16-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,90,45.00,0
6,1967,1967-10-22,6,22.093,STL,,PHI,W 48-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,3,113,37.67,0
7,1967,1967-10-30,7,22.101,STL,,GNB,L 23-31,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,5,220,44.00,0
8,1967,1967-11-05,8,22.107,STL,@,WAS,W 27-21,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,5,203,40.60,0
9,1967,1967-11-12,9,22.114,STL,,PIT,T 14-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,0,0.00,0,0,0,6,270,45.00,0
10,1967,1967-11-19,10,22.121,STL,@,CHI,L 3-30,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,5,201,40.20,0
11,1967,1967-11-23,11,22.125,STL,@,DAL,L 21-46,1,27,27.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,5,240,48.00,0
12,1967,1967-12-03,12,22.135,STL,,NOR,W 31-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,17,8.50,0,0,0,6,247,41.17,0
13,1967,1967-12-10,13,22.142,STL,,CLE,L 16-20,1,-4,-4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,4,4.00,0,0,0,6,228,38.00,0
14,1967,1967-12-17,14,22.149,STL,@,NYG,L 14-37,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,5,192,38.40,0
15,1968,1968-09-16,1,23.057,STL,,RAM,L 13-24,0,0,,0,0,0,,0,0,0,,0,0,,,3,73,24.33,0,2,21,10.50,0,0,0,7,296,42.29,0
16,1968,1968-09-22,2,23.063,STL,@,SFO,L 17-35,0,0,,0,0,0,,0,0,0,,0,0,,,4,99,24.75,0,2,15,7.50,0,0,0,5,238,47.60,0
17,1968,1968-09-29,3,23.070,STL,@,NOR,W 21-20,0,0,,0,0,0,,0,0,0,,0,0,,,3,90,30.00,0,3,143,47.67,1,1,6,4,148,37.00,0
18,1968,1968-10-06,4,23.077,STL,,DAL,L 10-27,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,5,110,22.00,0,2,7,3.50,0,0,0,3,135,45.00,0
19,1968,1968-10-13,5,23.084,STL,@,CLE,W 27-21,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,18,9.00,0,0,0,5,215,43.00,0
20,1968,1968-10-20,6,23.091,STL,,WAS,W 41-14,0,0,,0,0,0,,0,0,0,,0,0,,,3,79,26.33,0,2,1,0.50,0,0,0,2,82,41.00,0
21,1968,1968-10-27,7,23.098,STL,,NOR,W 31-17,0,0,,0,0,0,,0,0,0,,0,0,,,3,59,19.67,0,1,0,0.00,0,0,0,4,156,39.00,0
22,1968,1968-11-03,8,23.105,STL,@,PHI,W 45-17,0,0,,0,0,0,,0,0,0,,0,0,,,3,129,43.00,0,4,44,11.00,0,0,0,1,47,47.00,0
23,1968,1968-11-10,9,23.112,STL,,PIT,T 28-28,0,0,,0,0,0,,0,0,0,,0,0,,,5,136,27.20,0,2,6,3.00,0,0,0,8,338,42.25,0
24,1968,1968-11-17,10,23.119,STL,@,BAL,L 0-27,1,15,15.00,0,0,0,,0,0,0,,0,0,,,2,25,12.50,0,2,7,3.50,0,0,0,7,268,38.29,0
25,1968,1968-11-24,11,23.126,STL,,ATL,W 17-12,0,0,,0,0,0,,0,0,0,,0,0,,,4,94,23.50,0,3,73,24.33,0,0,0,5,237,47.40,0
26,1968,1968-12-01,12,23.133,STL,@,PIT,W 20-10,0,0,,0,0,0,,0,0,0,,0,0,,,2,65,32.50,0,3,10,3.33,0,0,0,7,244,34.86,0
27,1968,1968-12-08,13,23.140,STL,@,NYG,W 28-21,0,0,,0,0,0,,0,0,0,,0,0,,,4,124,31.00,0,0,0,,0,0,0,2,98,49.00,0
28,1968,1968-12-14,14,23.146,STL,,CLE,W 27-16,0,0,,0,0,0,,0,0,0,,0,0,,,5,154,30.80,0,0,0,,0,0,0,5,200,40.00,0
29,1970,1970-09-18,1,25.059,STL,@,RAM,L 13-34,1,33,33.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,0,0,5,191,38.20,0
30,1970,1970-09-27,2,25.068,STL,,WAS,W 27-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,24,12.00,0,0,0,3,123,41.00,0
31,1970,1970-10-04,3,25.075,STL,,DAL,W 20-7,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,19,6.33,0,0,0,3,117,39.00,0
32,1970,1970-10-11,4,25.082,STL,,NOR,W 24-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,27,6.75,0,0,0,5,229,45.80,0
33,1970,1970-10-18,5,25.089,STL,@,PHI,W 35-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,0,0.00,0,0,0,9,365,40.56,0
34,1970,1970-10-25,6,25.096,STL,@,NYG,L 17-35,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,1.00,0,0,0,4,165,41.25,0
35,1970,1970-11-01,7,25.103,STL,,HOU,W 44-0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,45,7.50,0,0,0,4,143,35.75,0
36,1970,1970-11-08,8,25.110,STL,,BOS,W 31-0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,6,278,46.33,0
37,1970,1970-11-16,9,25.118,STL,@,DAL,W 38-0,0,0,,0,0,0,,0,0,0,,0,0,,,1,23,23.00,0,5,35,7.00,0,0,0,8,332,41.50,0
38,1970,1970-11-22,10,25.124,STL,@,KAN,T 6-6,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,3,119,39.67,0
39,1970,1970-11-29,11,25.131,STL,,PHI,W 23-14,0,0,,0,0,0,,0,0,0,,0,0,,,3,51,17.00,0,2,15,7.50,0,0,0,2,85,42.50,0
40,1970,1970-12-06,12,25.138,STL,@,DET,L 3-16,0,0,,0,0,0,,0,0,0,,0,0,,,4,83,20.75,0,2,0,0.00,0,0,0,6,229,38.17,0
41,1970,1970-12-13,13,25.145,STL,,NYG,L 17-34,0,0,,0,0,0,,0,0,0,,0,0,,,5,97,19.40,0,2,5,2.50,0,0,0,4,146,36.50,0
42,1970,1970-12-20,14,25.152,STL,@,WAS,L 27-28,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,3,137,45.67,0
43,1971,1971-09-19,1,26.060,STL,,WAS,L 17-24,1,20,20.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,5,199,39.80,0
44,1971,1971-09-27,2,26.068,STL,,NYJ,W 17-10,1,10,10.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,176,44.00,0
45,1971,1971-10-03,3,26.074,STL,,NYG,L 20-21,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,6,246,41.00,0
46,1971,1971-10-10,4,26.081,STL,@,ATL,W 26-9,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,6,225,37.50,1
47,1971,1971-10-17,5,26.088,STL,@,WAS,L 0-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,5,207,41.40,0
48,1971,1971-10-24,6,26.095,STL,,SFO,L 14-26,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,144,36.00,0
49,1971,1971-10-31,7,26.102,STL,@,BUF,W 28-23,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,5,187,37.40,0
50,1971,1971-11-07,8,26.109,STL,,DAL,L 13-16,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,157,39.25,0
51,1971,1971-11-15,9,26.117,STL,@,SDG,L 17-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,177,44.25,0
52,1971,1971-11-21,10,26.123,STL,,PHI,L 20-37,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,3,85,28.33,0
53,1971,1971-11-28,11,26.130,STL,@,NYG,W 24-7,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,3,114,38.00,0
54,1971,1971-12-12,13,26.144,STL,@,PHI,L 7-19,1,-11,-11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,58,29.00,0
55,1971,1971-12-18,14,26.150,STL,@,DAL,L 12-31,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,5,182,36.40,0
