ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2016,2016-09-11,1,25.020,OAK,@,NOR,W 35-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
2,2016,2016-09-18,2,25.027,OAK,,ATL,L 28-35,,1,1,4,4.00,0,100.0%,4.00,1,14,14.00,0,0,0,,0,0,0
3,2016,2016-09-25,3,25.034,OAK,@,TEN,W 17-10,,0,0,0,,0,0.0%,,1,2,2.00,0,0,0,,0,0,0
4,2016,2016-10-02,4,25.041,OAK,@,BAL,W 28-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
5,2016,2016-10-09,5,25.048,OAK,,SDG,W 34-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
6,2016,2016-10-16,6,25.055,OAK,,KAN,L 10-26,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
7,2016,2016-10-23,7,25.062,OAK,@,JAX,W 33-16,,0,0,0,,0,0.0%,,2,25,12.50,0,0,0,,0,0,0
8,2016,2016-10-30,8,25.069,OAK,@,TAM,W 30-24,,0,0,0,,0,0.0%,,1,2,2.00,0,0,0,,0,0,0
9,2016,2016-11-06,9,25.076,OAK,,DEN,W 30-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
10,2016,2016-11-27,11,25.097,OAK,,CAR,W 35-32,,1,1,30,30.00,0,100.0%,30.00,0,0,,0,0,0,,0,0,0
11,2016,2016-12-04,12,25.104,OAK,,BUF,W 38-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
12,2016,2016-12-08,13,25.108,OAK,@,KAN,L 13-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
13,2016,2016-12-18,14,25.118,OAK,@,SDG,W 19-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
14,2016,2016-12-24,15,25.124,OAK,,IND,W 33-25,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
15,2016,2017-01-01,16,25.132,OAK,@,DEN,L 6-24,,1,0,0,,0,0.0%,0.00,1,0,0.00,0,0,0,,0,0,0
16,2017,2017-09-10,1,26.019,OAK,@,TEN,W 26-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
17,2017,2017-09-17,2,26.026,OAK,,NYJ,W 45-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
18,2017,2017-09-24,3,26.033,OAK,@,WAS,L 10-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
19,2017,2017-10-01,4,26.040,OAK,@,DEN,L 10-16,,1,1,64,64.00,1,100.0%,64.00,0,0,,0,0,0,,0,1,6
20,2017,2017-10-08,5,26.047,OAK,,BAL,L 17-30,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
21,2017,2017-10-15,6,26.054,OAK,,LAC,L 16-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
22,2017,2017-10-19,7,26.058,OAK,,KAN,W 31-30,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
23,2017,2017-10-29,8,26.068,OAK,@,BUF,L 14-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
24,2017,2017-11-05,9,26.075,OAK,@,MIA,W 27-24,,1,1,44,44.00,1,100.0%,44.00,0,0,,0,0,0,,0,1,6
25,2017,2017-11-19,10,26.089,OAK,,NWE,L 8-33,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0
26,2017,2017-11-26,11,26.096,OAK,,DEN,W 21-14,,2,2,53,26.50,0,100.0%,26.50,0,0,,0,0,0,,0,0,0
27,2017,2017-12-03,12,26.103,OAK,,NYG,W 24-17,*,7,3,39,13.00,1,42.9%,5.57,0,0,,0,0,0,,0,1,6
28,2017,2017-12-10,13,26.110,OAK,@,KAN,L 15-26,,4,2,18,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0
29,2017,2017-12-17,14,26.117,OAK,,DAL,L 17-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
30,2017,2017-12-25,15,26.125,OAK,@,PHI,L 10-19,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
31,2017,2017-12-31,16,26.131,OAK,@,LAC,L 10-30,,1,0,0,,0,0.0%,0.00,0,0,,0,1,0,0.00,0,0,0
