ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2007,2007-09-09,1,23.225,OAK,,DET,L 21-36,,,,,,,
2,2007,2007-09-16,2,23.232,OAK,@,DEN,L 20-23,,,,,,,
3,2007,2007-09-23,3,23.239,OAK,,CLE,W 26-24,*,,,,,,
4,2007,2007-09-30,4,23.246,OAK,@,MIA,W 35-17,*,,,,,,
5,2007,2007-10-14,5,23.260,OAK,@,SDG,L 14-28,*,,,,,,
6,2007,2007-10-21,6,23.267,OAK,,KAN,L 10-12,*,,,,,,
7,2007,2007-10-28,7,23.274,OAK,@,TEN,L 9-13,,,,,,,
8,2007,2007-11-04,8,23.281,OAK,,HOU,L 17-24,*,,,,,,
9,2007,2007-11-11,9,23.288,OAK,,CHI,L 6-17,*,,,,,,
10,2007,2007-11-18,10,23.295,OAK,@,MIN,L 22-29,,,,,,,
11,2007,2007-11-25,11,23.302,OAK,@,KAN,W 20-17,*,,,,,,
12,2007,2007-12-02,12,23.309,OAK,,DEN,W 34-20,*,,0,0,1.0,,
13,2007,2007-12-09,13,23.316,OAK,@,GNB,L 7-38,*,,,,,,
14,2007,2007-12-16,14,23.323,OAK,,IND,L 14-21,,,,,,,
15,2007,2007-12-23,15,23.330,OAK,@,JAX,L 11-49,*,,,,,,
16,2007,2007-12-30,16,23.337,OAK,,SDG,L 17-30,*,,,,,,
17,2008,2008-09-08,1,24.225,OAK,,DEN,L 14-41,*,,0,0,0.0,2,2
18,2008,2008-09-14,2,24.231,OAK,@,KAN,W 23-8,*,,0,0,0.0,2,0
19,2008,2008-09-21,3,24.238,OAK,@,BUF,L 23-24,*,,0,0,0.0,2,2
20,2008,2008-09-28,4,24.245,OAK,,SDG,L 18-28,,,0,0,1.0,3,1
21,2008,2008-10-12,5,24.259,OAK,@,NOR,L 3-34,*,,0,0,0.0,7,1
22,2008,2008-10-19,6,24.266,OAK,,NYJ,W 16-13,*,,0,0,0.0,1,1
23,2008,2008-10-26,7,24.273,OAK,@,BAL,L 10-29,*,,0,0,0.0,4,2
24,2008,2008-11-02,8,24.280,OAK,,ATL,L 0-24,*,,0,0,0.0,2,0
25,2008,2008-11-09,9,24.287,OAK,,CAR,L 6-17,*,,0,0,0.0,2,0
26,2008,2008-11-16,10,24.294,OAK,@,MIA,L 15-17,*,1,0,2,1.0,2,0
27,2008,2008-11-23,11,24.301,OAK,@,DEN,W 31-10,,,0,0,0.0,1,0
28,2008,2008-11-30,12,24.308,OAK,,KAN,L 13-20,,,0,0,0.0,3,0
29,2008,2008-12-04,13,24.312,OAK,@,SDG,L 7-34,*,,0,0,0.0,1,2
30,2008,2008-12-14,14,24.322,OAK,,NWE,L 26-49,,,0,0,0.0,4,0
31,2008,2008-12-21,15,24.329,OAK,,HOU,W 27-16,,,0,0,1.0,2,2
32,2008,2008-12-28,16,24.336,OAK,@,TAM,W 31-24,*,,0,0,0.0,1,1
33,2009,2009-09-14,1,25.230,OAK,,SDG,L 20-24,,,,,,,
34,2009,2009-09-20,2,25.236,OAK,@,KAN,W 13-10,,,,,,,
35,2009,2009-09-27,3,25.243,OAK,,DEN,L 3-23,,,,,,,
36,2009,2009-10-04,4,25.250,OAK,@,HOU,L 6-29,,,0,0,1.0,2,3
37,2009,2009-10-11,5,25.257,OAK,@,NYG,L 7-44,,,0,0,0.0,1,0
38,2009,2009-10-18,6,25.264,OAK,,PHI,W 13-9,,,0,0,1.0,1,0
39,2009,2009-10-25,7,25.271,OAK,,NYJ,L 0-38,,,0,0,0.0,1,0
40,2009,2009-11-01,8,25.278,OAK,@,SDG,L 16-24,,,,,,,
41,2009,2009-11-15,9,25.292,OAK,,KAN,L 10-16,,,0,0,0.0,1,0
42,2009,2009-11-22,10,25.299,OAK,,CIN,W 20-17,,,0,0,0.0,5,1
43,2009,2009-11-26,11,25.303,OAK,@,DAL,L 7-24,,,0,0,0.0,3,0
44,2009,2009-12-06,12,25.313,OAK,@,PIT,W 27-24,,,0,0,0.0,1,1
45,2009,2009-12-13,13,25.320,OAK,,WAS,L 13-34,,,,,,,
46,2009,2009-12-20,14,25.327,OAK,@,DEN,W 20-19,,,0,0,0.0,1,0
47,2009,2009-12-27,15,25.334,OAK,@,CLE,L 9-23,,,,,,,
48,2009,2010-01-03,16,25.341,OAK,,BAL,L 13-21,,,0,0,1.0,2,0
49,2010,2010-11-07,8,26.284,SEA,,NYG,L 7-41,,,0,0,0.0,2,0
50,2010,2010-11-14,9,26.291,SEA,@,ARI,W 36-18,,,,,,,
51,2010,2010-11-21,10,26.298,SEA,@,NOR,L 19-34,,,0,0,0.0,1,0
52,2010,2010-11-28,11,26.305,SEA,,KAN,L 24-42,,,0,0,0.0,1,0
53,2010,2010-12-05,12,26.312,SEA,,CAR,W 31-14,,,0,0,0.0,0,1
54,2010,2010-12-26,15,26.333,SEA,@,TAM,L 15-38,,,0,0,0.0,1,1
55,2010,2011-01-02,16,26.340,SEA,,STL,W 16-6,,,0,0,0.0,0,1
56,2013,2013-09-15,2,29.231,NOR,@,TAM,W 16-14,,,,,,,
57,2013,2013-09-22,3,29.238,NOR,,ARI,W 31-7,,,,,,,
58,2013,2013-09-30,4,29.246,NOR,,MIA,W 38-17,,,,,,,
59,2013,2013-10-06,5,29.252,NOR,@,CHI,W 26-18,,,,,,,
