ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1988,1988-09-04,1,21.344,NOR,,SFO,L 33-34,8,27,3.38,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
2,1988,1988-09-11,2,21.351,NOR,@,ATL,W 29-21,10,35,3.50,0,,2,22,11.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
3,1988,1988-09-18,3,21.358,NOR,@,DET,W 22-14,6,17,2.83,0,,1,11,11.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
4,1988,1988-09-25,4,21.365,NOR,,TAM,W 13-9,9,36,4.00,0,,2,3,1.50,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
5,1988,1988-10-03,5,22.007,NOR,,DAL,W 20-17,4,12,3.00,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
6,1988,1988-10-09,6,22.013,NOR,@,SDG,W 23-17,8,37,4.63,0,,3,31,10.33,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
7,1988,1988-10-16,7,22.020,NOR,@,SEA,W 20-19,9,63,7.00,0,,2,15,7.50,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
8,1988,1988-10-23,8,22.027,NOR,,RAI,W 20-6,11,109,9.91,1,,2,16,8.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
9,1988,1988-10-30,9,22.034,NOR,,RAM,L 10-12,3,6,2.00,0,,1,7,7.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
10,1988,1988-12-04,14,22.069,NOR,@,MIN,L 3-45,3,5,1.67,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
11,1988,1988-12-11,15,22.076,NOR,@,SFO,L 17-30,3,8,2.67,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
12,1989,1989-09-10,1,22.349,NOR,,DAL,W 28-0,7,26,3.71,1,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
13,1989,1989-09-17,2,22.356,NOR,@,GNB,L 34-35,4,25,6.25,0,,2,16,8.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
14,1989,1989-09-24,3,22.363,NOR,@,TAM,L 10-20,1,1,1.00,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
15,1989,1989-10-01,4,23.005,NOR,,WAS,L 14-16,7,13,1.86,0,,3,24,8.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
16,1989,1989-10-08,5,23.012,NOR,,SFO,L 20-24,4,21,5.25,0,,3,13,4.33,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
17,1989,1989-10-15,6,23.019,NOR,,NYJ,W 29-14,10,47,4.70,0,,1,-1,-1.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
18,1989,1989-10-22,7,23.026,NOR,@,RAM,W 40-21,4,6,1.50,0,,1,5,5.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
19,1989,1989-10-29,8,23.033,NOR,,ATL,W 20-13,4,22,5.50,0,,1,4,4.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
20,1989,1989-11-06,9,23.041,NOR,@,SFO,L 13-31,0,0,,0,,1,1,1.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
21,1989,1989-11-12,10,23.047,NOR,@,NWE,W 28-24,0,0,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,0,
22,1989,1989-11-19,11,23.054,NOR,@,ATL,W 26-17,3,13,4.33,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
23,1989,1989-11-26,12,23.061,NOR,,RAM,L 17-20,1,-3,-3.00,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
24,1989,1989-12-03,13,23.068,NOR,@,DET,L 14-21,0,0,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,0,
25,1989,1989-12-10,14,23.075,NOR,@,BUF,W 22-19,1,4,4.00,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
26,1989,1989-12-18,15,23.083,NOR,,PHI,W 30-20,0,0,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,0,
27,1989,1989-12-24,16,23.089,NOR,,IND,W 41-6,3,8,2.67,0,,1,7,7.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
28,1990,1990-09-10,1,23.349,NOR,,SFO,L 12-13,1,2,2.00,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
29,1990,1990-09-16,2,23.355,NOR,@,MIN,L 3-32,2,4,2.00,0,,1,4,4.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
30,1990,1990-09-23,3,23.362,NOR,,PHO,W 28-7,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,0,
31,1990,1990-10-07,4,24.011,NOR,@,ATL,L 27-28,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,0,
32,1990,1990-10-14,5,24.018,NOR,,CLE,W 25-20,3,4,1.33,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
33,1990,1990-10-21,6,24.025,NOR,@,HOU,L 10-23,2,4,2.00,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
34,1990,1990-10-28,7,24.032,NOR,,DET,L 10-27,3,21,7.00,0,,1,11,11.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
35,1990,1990-11-04,8,24.039,NOR,@,CIN,W 21-7,19,122,6.42,1,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
36,1990,1990-11-11,9,24.046,NOR,,TAM,W 35-7,20,155,7.75,2,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,2,12
37,1990,1990-11-18,10,24.053,NOR,@,WAS,L 17-31,13,57,4.38,0,,2,19,9.50,0,,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,0,0,,0,0,0
38,1990,1990-11-25,11,24.060,NOR,,ATL,W 10-7,24,88,3.67,0,,5,35,7.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
39,1990,1990-12-02,12,24.067,NOR,@,DAL,L 13-17,14,54,3.86,0,,3,15,5.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
40,1990,1990-12-09,13,24.074,NOR,@,RAM,W 24-20,4,1,0.25,0,,2,11,5.50,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
41,1990,1990-12-16,14,24.081,NOR,,PIT,L 6-9,6,26,4.33,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
42,1990,1990-12-23,15,24.088,NOR,@,SFO,W 13-10,6,11,1.83,0,,4,26,6.50,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
43,1990,1990-12-31,16,24.096,NOR,,RAM,W 20-17,12,50,4.17,1,,0,0,,0,,,0,0,,0,0,0,,0,,,,1,12,12.00,0,0,0,,0,1,6
44,1991,1991-09-01,1,24.340,NOR,,SEA,W 27-24,2,4,2.00,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
45,1991,1991-09-08,2,24.347,NOR,@,KAN,W 17-10,15,51,3.40,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
46,1991,1991-09-15,3,24.354,NOR,,RAM,W 24-7,17,72,4.24,2,,1,3,3.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,2,12
47,1991,1991-09-22,4,24.361,NOR,,MIN,W 26-0,18,72,4.00,2,,0,0,,0,,,1,1,100.00,44,0,0,118.7,0,0,44.00,44.00,0,0,,0,0,0,,0,2,12
