ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1973,1973-09-16,1,22.015,NYG,,HOU,W 34-14,,,,,,,,,,,,,,,,
2,1973,1973-09-23,2,22.022,NYG,,PHI,T 23-23,,,,,,,,,,,,,,,,
3,1973,1973-09-30,3,22.029,NYG,@,CLE,L 10-12,,,,,,,,,,,,,,,,
4,1973,1973-10-07,4,22.036,NYG,,GNB,L 14-16,,,,,,,,,,,,,,,,
5,1973,1973-10-14,5,22.043,NYG,,WAS,L 3-21,,,,,,,,,,,,,,,,
6,1973,1973-10-21,6,22.050,NYG,@,DAL,L 28-45,0,0,,0,0,0,,0,1,14,14.00,0,0.0,0,0,0
7,1973,1973-10-28,7,22.057,NYG,@,STL,L 27-35,,,,,,,,,,,,,,,,
8,1973,1973-11-04,8,22.064,NYG,@,OAK,L 0-42,,,,,,,,,,,,,,,,
9,1973,1973-11-11,9,22.071,NYG,,DAL,L 10-23,,,,,,,,,,,,,,,,
10,1973,1973-11-18,10,22.078,NYG,,STL,W 24-13,,,,,,,,,,,,,,,,
11,1973,1973-11-25,11,22.085,NYG,@,PHI,L 16-20,,,,,,,,,,,,,,,,
12,1973,1973-12-02,12,22.092,NYG,@,WAS,L 24-27,0,0,,0,0,0,,0,1,16,16.00,0,0.0,0,0,0
13,1973,1973-12-10,13,22.100,NYG,@,RAM,L 6-40,,,,,,,,,,,,,,,,
14,1973,1973-12-16,14,22.106,NYG,,MIN,L 7-31,,,,,,,,,,,,,,,,
15,1974,1974-09-15,1,23.014,NYG,,WAS,L 10-13,0,0,,0,0,0,,0,1,19,19.00,0,0.0,0,0,0
16,1974,1974-09-22,2,23.021,NYG,,NWE,L 20-28,,,,,,,,,,,,,,,,
17,1974,1974-09-29,3,23.028,NYG,@,DAL,W 14-6,,,,,,,,,,,,,,,,
18,1974,1974-10-06,4,23.035,NYG,,ATL,L 7-14,,,,,,,,,,,,,,0,21,0
19,1974,1974-10-13,5,23.042,NYG,@,PHI,L 7-35,0,0,,0,0,0,,0,1,0,0.00,0,0.0,0,0,0
20,1974,1974-10-20,6,23.049,NYG,@,WAS,L 3-24,,,,,,,,,,,,,,,,
21,1974,1974-10-27,7,23.056,NYG,,DAL,L 7-21,,,,,,,,,,,,,,,,
22,1974,1974-11-03,8,23.063,NYG,@,KAN,W 33-27,0,0,,0,0,0,,0,0,0,,0,0.0,1,10,0
23,1974,1974-11-10,9,23.070,NYG,,NYJ,L 20-26,,,,,,,,,,,,,,,,
24,1974,1974-11-17,10,23.077,NYG,@,DET,L 19-20,,,,,,,,,,,,,,,,
25,1974,1974-11-24,11,23.084,NYG,,STL,L 21-23,0,0,,0,0,0,,0,1,6,6.00,0,0.0,0,0,0
26,1974,1974-12-01,12,23.091,NYG,@,CHI,L 13-16,,,,,,,,,,,,,,,,
27,1974,1974-12-08,13,23.098,NYG,,PHI,L 7-20,,,,,,,,,,,,,,,,
28,1975,1975-09-21,1,24.020,NYG,@,PHI,W 23-14,0,0,,0,0,0,,0,0,0,,0,0.0,1,23,0
29,1975,1975-09-28,2,24.027,NYG,@,WAS,L 13-49,,,,,,,,,,,,,,,,
30,1975,1975-10-05,3,24.034,NYG,@,STL,L 14-26,,,,,,,,,,,,,,,,
31,1975,1975-10-12,4,24.041,NYG,,DAL,L 7-13,,,,,,,,,,,,,,,,
32,1975,1975-10-20,5,24.049,NYG,@,BUF,W 17-14,0,0,,0,0,0,,0,0,0,,0,0.0,1,3,0
33,1975,1975-10-25,6,24.054,NYG,,STL,L 13-20,,,,,,,,,,,,,,,,
34,1975,1975-11-01,7,24.061,NYG,,SDG,W 35-24,,,,,,,,,,,,,,,,
35,1975,1975-11-09,8,24.069,NYG,,WAS,L 13-21,,,,,,,,,,,,,,,,
