ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1957,1957-09-29,1,22.276,SFO,,CRD,L 10-20,6,18,3.00,0,2,9,4.50,0,,,,,0,,,,
2,1957,1957-10-06,2,22.283,SFO,,RAM,W 23-20,10,57,5.70,0,0,0,,0,,,,,0,,,,
3,1957,1957-10-13,3,22.290,SFO,@,CHI,W 21-17,16,43,2.69,0,0,0,,0,,,,,0,,,,
4,1957,1957-10-20,4,22.297,SFO,@,GNB,W 24-14,1,2,2.00,0,0,0,,0,,,,,0,,,,
5,1957,1957-10-27,5,22.304,SFO,,CHI,W 21-17,6,33,5.50,0,2,20,10.00,0,,,,,0,,,,
6,1957,1957-11-03,6,22.311,SFO,,DET,W 35-31,14,31,2.21,1,4,24,6.00,0,,,,,1,,,,
7,1957,1957-11-10,7,22.318,SFO,@,RAM,L 24-37,10,41,4.10,0,2,23,11.50,0,,,,,0,,,,
8,1957,1957-11-17,8,22.325,SFO,@,DET,L 10-31,3,7,2.33,0,0,0,,0,,,,,0,,,,
9,1957,1957-11-24,9,22.332,SFO,@,BAL,L 21-27,9,21,2.33,0,3,23,7.67,0,,,,,0,,,,
10,1957,1957-12-01,10,22.339,SFO,@,NYG,W 27-17,14,59,4.21,1,1,11,11.00,0,,,,,1,,,,
11,1957,1957-12-08,11,22.346,SFO,,BAL,W 17-13,5,7,1.40,1,3,6,2.00,0,,,,,1,,,,
12,1957,1957-12-15,12,22.353,SFO,,GNB,W 27-20,8,11,1.38,0,3,25,8.33,0,,,,,0,,,,
13,1958,1958-10-26,5,23.303,SFO,,CHI,L 14-27,2,1,0.50,0,0,0,,0,,,,,0,,,,
14,1958,1958-12-07,11,23.345,SFO,,GNB,W 48-21,4,6,1.50,0,0,0,,0,,,,,0,,,,
15,1958,1958-12-14,12,23.352,SFO,,BAL,W 21-12,1,2,2.00,0,0,0,,0,,,,,0,,,,
16,1960,1960-09-24,1,25.272,DAL,,PIT,L 28-35,8,20,2.50,0,2,17,8.50,0,0,0,,0,0,0,0,0,0
17,1960,1960-09-30,2,25.278,DAL,,PHI,L 25-27,6,26,4.33,0,2,37,18.50,1,0,0,,0,1,6,0,0,0
18,1960,1960-10-09,3,25.287,DAL,@,WAS,L 14-26,4,16,4.00,0,4,40,10.00,0,0,0,,0,0,0,0,0,0
19,1960,1960-10-16,4,25.294,DAL,,CLE,L 7-48,3,12,4.00,0,1,6,6.00,0,0,0,,0,0,0,0,0,0
20,1960,1960-10-23,5,25.301,DAL,@,STL,L 10-12,2,8,4.00,0,0,0,,0,0,0,,0,0,0,0,0,0
21,1960,1960-10-30,6,25.308,DAL,,BAL,L 7-45,3,8,2.67,0,0,0,,0,0,0,,0,0,0,0,0,0
22,1960,1960-11-27,10,25.336,DAL,@,CHI,L 7-17,6,10,1.67,0,1,25,25.00,0,0,0,,0,0,0,0,0,0
23,1960,1960-12-04,11,25.343,DAL,@,NYG,T 31-31,5,-3,-0.60,0,3,15,5.00,0,1,20,20.00,0,0,0,0,0,0
24,1960,1960-12-11,12,25.350,DAL,@,DET,L 14-23,2,18,9.00,0,0,0,,0,2,26,13.00,0,0,0,0,0,0
25,1961,1961-10-29,7,26.306,DAL,@,NYG,W 17-16,0,0,,0,0,0,,0,1,15,15.00,0,0,0,0,0,0
26,1961,1961-12-10,13,26.348,DAL,@,STL,L 13-31,0,0,,0,0,0,,0,1,19,19.00,0,0,0,0,0,0
27,1962,1962-09-23,3,27.270,HOU,@,SDG,W 42-17,2,-1,-0.50,0,0,0,,0,0,0,,0,0,0,0,0,0
28,1962,1962-10-21,6,27.298,HOU,@,DEN,L 10-20,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
29,1962,1962-11-11,9,27.319,HOU,@,OAK,W 28-20,0,0,,0,0,0,,0,0,0,,0,1,6,1,31,1
30,1962,1962-12-15,14,27.353,HOU,@,NYT,W 44-10,1,1,1.00,0,0,0,,0,0,0,,0,0,0,0,0,0
31,1963,1963-09-28,4,28.275,HOU,@,BUF,W 31-20,0,0,,0,0,0,,0,0,0,,0,0,0,1,6,0
32,1963,1963-10-13,6,28.290,HOU,@,DEN,W 33-24,1,7,7.00,0,0,0,,0,0,0,,0,0,0,0,0,0
33,1963,1963-11-10,10,28.318,HOU,,NYJ,W 31-27,0,0,,0,0,0,,0,0,0,,0,0,0,1,18,0
