ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1960,1960-10-09,3,30.084,STL,@,PHI,L 27-31,,,,2,2,100.0,0,6
2,1960,1960-10-16,4,30.091,STL,@,PIT,L 14-27,,,,,2,0.0,0,0
3,1960,1960-10-23,5,30.098,STL,,DAL,W 12-10,,,,1,2,50.0,0,3
4,1960,1960-10-30,6,30.105,STL,@,NYG,W 20-13,,,,2,3,66.7,0,6
5,1960,1960-11-06,7,30.112,STL,,WAS,W 44-7,,,,3,4,75.0,0,9
6,1960,1960-11-13,8,30.119,STL,@,CLE,L 27-28,,,,2,2,100.0,0,6
7,1960,1960-11-20,9,30.126,STL,@,WAS,W 26-14,,,,1,3,33.3,0,3
8,1960,1960-11-27,10,30.133,STL,,CLE,T 17-17,,,,1,1,100.0,0,3
9,1960,1960-12-04,11,30.140,STL,,PHI,L 6-20,,,,,1,0.0,0,0
10,1960,1960-12-18,12,30.154,STL,,PIT,W 38-7,5,5,100.0,1,1,100.0,0,8
11,1961,1961-09-17,1,31.062,STL,@,NYG,W 21-10,3,3,100.0,,3,0.0,0,3
12,1961,1961-09-24,2,31.069,STL,@,CLE,L 17-20,2,2,100.0,1,1,100.0,0,5
13,1961,1961-10-01,3,31.076,STL,@,PHI,W 30-27,3,4,75.0,1,1,100.0,0,6
14,1961,1961-10-08,4,31.083,STL,,NYG,L 9-24,1,1,100.0,,,,0,1
15,1961,1961-10-15,5,31.090,STL,,PHI,L 7-20,1,1,100.0,,1,0.0,0,1
16,1961,1961-10-22,6,31.097,STL,@,WAS,W 24-0,3,3,100.0,1,2,50.0,0,6
17,1961,1961-10-29,7,31.104,STL,,CLE,L 10-21,1,1,100.0,1,1,100.0,0,4
18,1961,1961-11-05,8,31.111,STL,@,DAL,W 31-17,4,4,100.0,1,2,50.0,0,7
19,1961,1961-11-12,9,31.118,STL,,DET,L 14-45,,,,,2,0.0,0,0
20,1961,1961-11-26,11,31.132,STL,@,PIT,L 27-30,1,2,50.0,,,,0,1
21,1961,1961-12-03,12,31.139,STL,,WAS,W 38-24,5,5,100.0,1,1,100.0,0,8
22,1961,1961-12-10,13,31.146,STL,,DAL,W 31-13,4,4,100.0,1,1,100.0,0,7
23,1961,1961-12-17,14,31.153,STL,,PIT,W 20-0,2,3,66.7,,2,0.0,0,2
24,1962,1962-09-16,1,32.061,STL,@,PHI,W 27-21,3,4,75.0,,2,0.0,0,3
25,1962,1962-09-23,2,32.068,STL,@,GNB,L 0-17,,,,,1,0.0,0,0
26,1962,1962-09-30,3,32.075,STL,@,WAS,L 14-24,2,2,100.0,,2,0.0,0,2
27,1962,1962-10-07,4,32.082,STL,,NYG,L 14-31,2,2,100.0,,,,0,2
28,1962,1962-10-14,5,32.089,STL,,WAS,T 17-17,2,2,100.0,1,2,50.0,0,5
29,1962,1962-10-21,6,32.096,STL,,CLE,L 7-34,1,1,100.0,,1,0.0,0,1
30,1962,1962-10-28,7,32.103,STL,@,DAL,W 28-24,4,4,100.0,,,,0,4
31,1962,1962-11-04,8,32.110,STL,@,NYG,L 28-31,4,4,100.0,,1,0.0,0,4
32,1962,1962-11-11,9,32.117,STL,,PIT,L 17-26,2,2,100.0,1,1,100.0,0,5
33,1962,1962-11-18,10,32.124,STL,@,CLE,L 14-38,2,2,100.0,,,,0,2
34,1962,1962-11-25,11,32.131,STL,,SFO,L 17-24,2,2,100.0,1,1,100.0,0,5
35,1962,1962-12-02,12,32.138,STL,@,PIT,L 7-19,1,1,100.0,,,,0,1
36,1962,1962-12-09,13,32.145,STL,,DAL,W 52-20,7,7,100.0,1,2,50.0,0,10
37,1962,1962-12-16,14,32.152,STL,,PHI,W 45-35,6,6,100.0,1,1,100.0,0,9
