ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2005,2005-09-11,1,23.228,DEN,@,MIA,L 10-34,,,,,
2,2005,2005-09-18,2,23.235,DEN,,SDG,W 20-17,,,,,
3,2005,2005-09-26,3,23.243,DEN,,KAN,W 30-10,,,,,
4,2005,2005-10-02,4,23.249,DEN,@,JAX,W 20-7,,,,,
5,2005,2005-10-09,5,23.256,DEN,,WAS,W 21-19,,,,,
6,2005,2005-10-16,6,23.263,DEN,,NWE,W 28-20,,,,,
7,2005,2005-10-23,7,23.270,DEN,@,NYG,L 23-24,,,,,
8,2005,2005-10-30,8,23.277,DEN,,PHI,W 49-21,,,,,
9,2005,2005-11-13,9,23.291,DEN,@,OAK,W 31-17,,,,,
10,2005,2005-11-20,10,23.298,DEN,,NYJ,W 27-0,,,,,
11,2005,2005-11-24,11,23.302,DEN,@,DAL,W 24-21,,,,,
12,2005,2005-12-04,12,23.312,DEN,@,KAN,L 27-31,,,,,
13,2005,2005-12-11,13,23.319,DEN,,BAL,W 12-10,,,,,
14,2005,2005-12-17,14,23.325,DEN,@,BUF,W 28-17,,,,,
15,2005,2005-12-24,15,23.332,DEN,,OAK,W 22-3,,,,,
16,2005,2005-12-31,16,23.339,DEN,@,SDG,W 23-7,,,,,
17,2006,2006-09-10,1,24.227,DEN,@,STL,L 10-18,,4,170,42.50,0
18,2006,2006-09-17,2,24.234,DEN,,KAN,W 9-6,,5,260,52.00,0
19,2006,2006-09-24,3,24.241,DEN,@,NWE,W 17-7,,8,329,41.13,0
20,2006,2006-10-09,4,24.256,DEN,,BAL,W 13-3,,4,169,42.25,0
21,2006,2006-10-15,5,24.262,DEN,,OAK,W 13-3,,4,151,37.75,0
22,2006,2006-10-22,6,24.269,DEN,@,CLE,W 17-7,,6,210,35.00,0
23,2006,2006-10-29,7,24.276,DEN,,IND,L 31-34,,2,100,50.00,0
24,2006,2006-11-05,8,24.283,DEN,@,PIT,W 31-20,,7,296,42.29,0
25,2006,2006-11-12,9,24.290,DEN,@,OAK,W 17-13,,7,235,33.57,0
26,2006,2006-11-19,10,24.297,DEN,,SDG,L 27-35,,4,191,47.75,0
27,2006,2006-11-23,11,24.301,DEN,@,KAN,L 10-19,,5,219,43.80,0
28,2006,2006-12-03,12,24.311,DEN,,SEA,L 20-23,,7,307,43.86,0
29,2006,2006-12-10,13,24.318,DEN,@,SDG,L 20-48,,4,159,39.75,0
30,2006,2006-12-17,14,24.325,DEN,@,ARI,W 37-20,,1,34,34.00,0
31,2006,2006-12-24,15,24.332,DEN,,CIN,W 24-23,,6,256,42.67,0
32,2006,2006-12-31,16,24.339,DEN,,SFO,L 23-26,,6,252,42.00,0
33,2007,2007-09-09,1,25.226,CLE,,PIT,L 7-34,,7,256,36.57,0
34,2007,2007-12-24,15,25.332,DEN,@,SDG,L 3-23,,5,178,35.60,0
35,2008,2008-11-09,9,26.288,PIT,,IND,L 20-24,,3,113,37.67,0
36,2008,2008-11-16,10,26.295,PIT,,SDG,W 11-10,,4,124,31.00,0
37,2008,2008-11-20,11,26.299,PIT,,CIN,W 27-10,,5,142,28.40,0
