ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1985,1985-09-08,1,23.143,BUF,,SDG,L 9-14,1,18,18.00,0,0,0,,0,0,0,,0
2,1985,1985-09-15,2,23.150,BUF,@,NYJ,L 3-42,4,58,14.50,0,0,0,,0,0,0,,0
3,1985,1985-09-22,3,23.157,BUF,,NWE,L 14-17,2,45,22.50,0,0,0,,0,0,0,,0
4,1985,1985-09-29,4,23.164,BUF,,MIN,L 20-27,0,0,,0,0,0,,0,,,,
5,1985,1985-10-06,5,23.171,BUF,@,IND,L 17-49,0,0,,0,0,0,,0,,,,
6,1985,1985-10-13,6,23.178,BUF,@,NWE,L 3-14,0,0,,0,1,31,31.00,0,0,0,,0
7,1985,1985-10-20,7,23.185,BUF,,IND,W 21-9,0,0,,0,2,38,19.00,0,0,0,,0
8,1985,1985-10-27,8,23.192,BUF,@,PHI,L 17-21,2,20,10.00,0,0,0,,0,0,0,,0
9,1985,1985-11-03,9,23.199,BUF,,CIN,L 17-23,0,0,,0,0,0,,0,,,,
10,1985,1985-11-10,10,23.206,BUF,,HOU,W 20-0,0,0,,0,0,0,,0,,,,
11,1985,1985-11-17,11,23.213,BUF,@,CLE,L 7-17,0,0,,0,0,0,,0,,,,
12,1985,1985-11-24,12,23.220,BUF,,MIA,L 14-23,0,0,,0,0,0,,0,,,,
13,1985,1985-12-01,13,23.227,BUF,@,SDG,L 7-40,0,0,,0,0,0,,0,,,,
14,1985,1985-12-08,14,23.234,BUF,,NYJ,L 7-27,0,0,,0,0,0,,0,,,,
15,1985,1985-12-15,15,23.241,BUF,@,PIT,L 24-30,3,60,20.00,0,0,0,,0,0,0,,0
16,1985,1985-12-22,16,23.248,BUF,@,MIA,L 0-28,0,0,,0,0,0,,0,,,,
17,1986,1986-09-07,1,24.142,BUF,,NYJ,L 24-28,0,0,,0,0,0,,0,0,0,,0
18,1986,1986-09-14,2,24.149,BUF,@,CIN,L 33-36,0,0,,0,0,0,,0,0,0,,0
19,1986,1986-09-21,3,24.156,BUF,,STL,W 17-10,0,0,,0,0,0,,0,0,0,,0
20,1986,1986-09-28,4,24.163,BUF,,KAN,L 17-20,0,0,,0,0,0,,0,0,0,,0
21,1986,1986-10-05,5,24.170,BUF,@,NYJ,L 13-14,0,0,,0,0,0,,0,0,0,,0
22,1986,1986-10-12,6,24.177,BUF,@,MIA,L 14-27,0,0,,0,0,0,,0,0,0,,0
23,1986,1986-10-26,8,24.191,BUF,,NWE,L 3-23,1,32,32.00,0,2,41,20.50,0,0,0,,0
24,1986,1986-11-02,9,24.198,BUF,@,TAM,L 28-34,2,17,8.50,0,3,62,20.67,0,0,0,,0
25,1986,1986-11-09,10,24.205,BUF,,PIT,W 16-12,0,0,,0,1,20,20.00,0,0,0,,0
26,1986,1986-11-16,11,24.212,BUF,,MIA,L 24-34,0,0,,0,0,0,,0,0,0,,0
27,1986,1986-11-23,12,24.219,BUF,@,NWE,L 19-22,0,0,,0,0,0,,0,0,0,,0
28,1986,1986-12-07,14,24.233,BUF,,CLE,L 17-21,0,0,,0,0,0,,0,0,0,,0
29,1986,1986-12-14,15,24.240,BUF,@,IND,L 14-24,0,0,,0,0,0,,0,1,0,0.00,0
30,1986,1986-12-21,16,24.247,BUF,@,HOU,L 7-16,0,0,,0,0,0,,0,0,0,,0
