ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1987,1987-10-05,3,24.019,NYG,,SFO,L 21-41,0,0,,0,1,20,20.00,0
2,1987,1987-10-11,4,24.025,NYG,,WAS,L 12-38,1,5,5.00,0,0,0,,0
3,1987,1987-10-18,5,24.032,NYG,@,BUF,L 3-6,0,0,,0,0,0,,0
