ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2008,2008-09-21,3,23.282,IND,,JAX,L 21-23,,0,0,,0,0,0,,0,0.0,0,1
2,2008,2008-10-05,4,23.296,IND,@,HOU,W 31-27,,0,0,,0,0,0,,0,0.0,0,0
3,2008,2008-10-12,5,23.303,IND,,BAL,W 31-3,,,,,,,,,,,,
4,2008,2008-10-19,6,23.310,IND,@,GNB,L 14-34,,0,0,,0,0,0,,0,0.0,0,0
5,2008,2008-10-27,7,23.318,IND,@,TEN,L 21-31,,0,0,,0,0,0,,0,0.0,0,1
6,2008,2008-11-16,10,23.338,IND,,HOU,W 33-27,,0,0,,0,0,0,,0,0.0,0,1
7,2008,2008-11-23,11,23.345,IND,@,SDG,W 23-20,,0,0,,0,0,0,,0,0.0,0,0
8,2008,2008-11-30,12,23.352,IND,@,CLE,W 10-6,,,,,,,,,,,,
9,2008,2008-12-07,13,23.359,IND,,CIN,W 35-3,,0,0,,0,0,0,,0,0.0,1,0
10,2008,2008-12-14,14,24.000,IND,,DET,W 31-21,,0,0,,0,0,0,,0,0.0,0,1
11,2008,2008-12-28,16,24.014,IND,,TEN,W 23-0,,0,0,,0,0,0,,0,0.0,2,3
12,2009,2009-09-27,3,24.287,IND,@,ARI,W 31-10,,0,0,,0,0,0,,0,0.0,0,0
13,2009,2009-10-04,4,24.294,IND,,SEA,W 34-17,,,,,,,,,,,,
14,2009,2009-10-11,5,24.301,IND,@,TEN,W 31-9,,0,0,,0,0,0,,0,0.0,1,1
15,2009,2009-10-25,6,24.315,IND,@,STL,W 42-6,,0,0,,0,1,0,0.00,0,0.0,0,0
16,2009,2009-11-01,7,24.322,IND,,SFO,W 18-14,,0,0,,0,6,32,5.33,0,0.0,0,0
17,2009,2009-11-08,8,24.329,IND,,HOU,W 20-17,,,,,,,,,,,,
18,2009,2009-11-15,9,24.336,IND,,NWE,W 35-34,,0,0,,0,0,0,,0,0.0,2,0
19,2009,2009-11-22,10,24.343,IND,@,BAL,W 17-15,,,,,,,,,,,,
20,2009,2009-11-29,11,24.350,IND,@,HOU,W 35-27,,0,0,,0,0,0,,0,0.0,0,0
21,2009,2009-12-06,12,24.357,IND,,TEN,W 27-17,,0,0,,0,0,0,,0,0.0,1,0
22,2009,2009-12-13,13,24.364,IND,,DEN,W 28-16,,0,0,,0,0,0,,0,0.0,1,0
23,2009,2009-12-17,14,25.003,IND,@,JAX,W 35-31,,,,,,,,,,,,
24,2009,2009-12-27,15,25.013,IND,,NYJ,L 15-29,,0,0,,0,0,0,,0,0.0,4,1
25,2009,2010-01-03,16,25.020,IND,@,BUF,L 7-30,,1,19,19.00,0,0,0,,0,0.0,3,6
