ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1977,1977-09-19,1,23.007,PIT,,SFO,W 27-0,2,2,1.00,0,0,0,,0
2,1977,1977-09-25,2,23.013,PIT,,OAK,L 7-16,0,0,,0,1,15,15.00,0
3,1977,1977-10-02,3,23.020,PIT,@,CLE,W 28-14,4,29,7.25,0,3,68,22.67,0
4,1977,1977-10-09,4,23.027,PIT,@,HOU,L 10-27,0,0,,0,3,81,27.00,0
5,1977,1977-10-17,5,23.035,PIT,,CIN,W 20-14,5,8,1.60,0,1,8,8.00,0
6,1977,1977-10-23,6,23.041,PIT,,HOU,W 27-10,1,5,5.00,0,3,69,23.00,0
7,1977,1977-10-30,7,23.048,PIT,@,BAL,L 21-31,2,11,5.50,0,5,124,24.80,0
