ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1978,1978-09-03,1,22.045,PIT,@,BUF,W 28-17,,,,,,,,
2,1978,1978-09-10,2,22.052,PIT,,SEA,W 21-10,0,0,,0,1,8,8.00,0
3,1978,1978-09-17,3,22.059,PIT,@,CIN,W 28-3,0,0,,0,5,62,12.40,0
4,1978,1978-09-24,4,22.066,PIT,,CLE,W 15-9,0,0,,0,1,10,10.00,0
5,1978,1978-10-01,5,22.073,PIT,@,NYJ,W 28-17,,,,,,,,
6,1978,1978-10-08,6,22.080,PIT,,ATL,W 31-7,,,,,,,,
7,1978,1978-10-22,8,22.094,DET,,SDG,W 31-14,1,26,26.00,0,0,0,,0
8,1978,1978-10-29,9,22.101,DET,@,CHI,W 21-17,1,18,18.00,0,0,0,,0
9,1978,1978-11-05,10,22.108,DET,@,MIN,L 7-17,4,81,20.25,0,0,0,,0
10,1978,1978-11-12,11,22.115,DET,,TAM,W 34-23,1,20,20.00,0,0,0,,0
