ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1987,1987-09-13,1,24.239,NOR,,CLE,W 28-21,1,3,3.00,0,,0,0,,0,,,0,0,,0,0,0
2,1987,1987-09-20,2,24.246,NOR,@,PHI,L 17-27,1,-2,-2.00,0,,0,0,,0,,,1,17,17.00,0,0,0
3,1987,1987-10-25,6,24.281,NOR,,SFO,L 22-24,5,7,1.40,0,,0,0,,0,,,0,0,,0,0,0
4,1987,1987-11-01,7,24.288,NOR,@,ATL,W 38-0,5,18,3.60,1,,2,8,4.00,0,,,0,0,,0,1,6
5,1987,1987-11-08,8,24.295,NOR,@,RAM,W 31-14,4,31,7.75,0,,0,0,,0,,,0,0,,0,0,0
6,1987,1987-11-15,9,24.302,NOR,@,SFO,W 26-24,0,0,,0,,1,14,14.00,0,,,0,0,,0,0,0
7,1987,1987-11-22,10,24.309,NOR,,NYG,W 23-14,6,21,3.50,1,,0,0,,0,,,1,64,64.00,0,1,6
8,1987,1987-11-29,11,24.316,NOR,@,PIT,W 20-16,2,5,2.50,0,,1,7,7.00,0,,,0,0,,0,0,0
9,1987,1987-12-06,12,24.323,NOR,,TAM,W 44-34,0,0,,0,,2,25,12.50,0,,,0,0,,0,0,0
10,1987,1987-12-13,13,24.330,NOR,,HOU,W 24-10,1,-1,-1.00,0,,0,0,,0,,,0,0,,0,0,0
11,1987,1987-12-20,14,24.337,NOR,@,CIN,W 41-24,4,24,6.00,0,,0,0,,0,,,1,19,19.00,0,0,0
12,1987,1987-12-27,15,24.344,NOR,,GNB,W 33-24,7,27,3.86,0,,0,0,,0,,,0,0,,0,0,0
13,1988,1988-09-04,1,25.231,NOR,,SFO,L 33-34,,,,,,,,,,,,,,,,,
14,1988,1988-09-11,2,25.238,NOR,@,ATL,W 29-21,,,,,,,,,,,,,,,,,
15,1990,1990-09-09,1,27.235,KAN,,MIN,W 24-21,6,21,3.50,0,,0,0,,0,,,0,0,,0,0,0
16,1990,1990-09-17,2,27.243,KAN,@,DEN,L 23-24,0,0,,0,,0,0,,0,,,0,0,,0,0,
17,1990,1990-09-23,3,27.249,KAN,@,GNB,W 17-3,6,29,4.83,0,,1,6,6.00,0,,,0,0,,0,0,0
18,1990,1990-09-30,4,27.256,KAN,,CLE,W 34-0,11,29,2.64,0,,0,0,,0,,,1,10,10.00,0,0,0
19,1990,1990-10-07,5,27.263,KAN,@,IND,L 19-23,1,2,2.00,0,,0,0,,0,,,0,0,,0,0,0
20,1990,1990-10-14,6,27.270,KAN,,DET,W 43-24,18,200,11.11,2,,0,0,,0,,,0,0,,0,2,12
21,1990,1990-10-21,7,27.277,KAN,@,SEA,L 7-19,7,35,5.00,0,,0,0,,0,,,0,0,,0,0,0
22,1990,1990-11-04,8,27.291,KAN,,RAI,W 9-7,15,85,5.67,0,,0,0,,0,,,0,0,,0,0,0
23,1990,1990-11-11,9,27.298,KAN,,SEA,L 16-17,6,21,3.50,0,,0,0,,0,,,0,0,,0,0,0
24,1990,1990-11-18,10,27.305,KAN,,SDG,W 27-10,17,90,5.29,0,,1,9,9.00,0,,,0,0,,0,0,0
25,1990,1990-11-25,11,27.312,KAN,@,RAI,W 27-24,17,52,3.06,0,,0,0,,0,,,0,0,,0,0,0
26,1990,1990-12-02,12,27.319,KAN,@,NWE,W 37-7,19,112,5.89,0,,0,0,,0,,,0,0,,0,0,0
27,1990,1990-12-09,13,27.326,KAN,,DEN,W 31-20,16,72,4.50,1,,0,0,,0,,,0,0,,0,1,6
28,1990,1990-12-16,14,27.333,KAN,,HOU,L 10-27,19,88,4.63,0,,0,0,,0,,,0,0,,0,0,0
29,1990,1990-12-23,15,27.340,KAN,@,SDG,W 24-21,28,106,3.79,1,,2,13,6.50,0,,,0,0,,0,1,6
30,1990,1990-12-29,16,27.346,KAN,@,CHI,W 21-10,18,73,4.06,0,,0,0,,0,,,0,0,,0,0,0
31,1991,1991-09-01,1,28.227,KAN,,ATL,W 14-3,6,13,2.17,0,,0,0,,0,,,0,0,,0,0,0
32,1991,1991-09-08,2,28.234,KAN,,NOR,L 10-17,10,40,4.00,0,,0,0,,0,,,0,0,,0,0,0
33,1991,1991-09-16,3,28.242,KAN,@,HOU,L 7-17,14,54,3.86,0,,0,0,,0,,,0,0,,0,0,0
34,1991,1991-09-22,4,28.248,KAN,,SEA,W 20-13,6,21,3.50,0,,0,0,,0,,,0,0,,0,0,0
35,1991,1991-09-29,5,28.255,KAN,@,SDG,W 14-13,5,18,3.60,0,,1,8,8.00,0,,,0,0,,0,0,0
36,1991,1991-10-07,6,28.263,KAN,,BUF,W 33-6,5,14,2.80,0,,0,0,,0,,,0,0,,0,0,0
37,1991,1991-10-13,7,28.269,KAN,,MIA,W 42-7,8,22,2.75,0,,0,0,,0,,,0,0,,0,0,0
38,1991,1991-10-20,8,28.276,KAN,@,DEN,L 16-19,0,0,,0,,0,0,,0,,,,,,,0,
39,1991,1991-10-28,9,28.284,KAN,,RAI,W 24-21,1,3,3.00,0,,0,0,,0,,,0,0,,0,0,0
40,1991,1991-11-10,10,28.297,KAN,@,RAM,W 27-20,5,29,5.80,1,,0,0,,0,,,0,0,,0,1,6
41,1991,1991-11-17,11,28.304,KAN,,DEN,L 20-24,0,0,,0,,0,0,,0,,,,,,,0,
42,1991,1991-11-24,12,28.311,KAN,@,CLE,L 15-20,8,41,5.13,0,,0,0,,0,,,0,0,,0,0,0
43,1991,1991-12-01,13,28.318,KAN,@,SEA,W 19-6,26,96,3.69,0,,0,0,,0,,,0,0,,0,0,0
44,1991,1991-12-08,14,28.325,KAN,,SDG,W 20-17,14,66,4.71,1,,0,0,,0,,,0,0,,0,1,6
45,1991,1991-12-14,15,28.331,KAN,@,SFO,L 14-28,17,115,6.76,1,,1,5,5.00,0,,,0,0,,0,1,6
