ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
186,1977,1977-10-09,4,36.195,DEN,,KAN,W 23-7,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,3,4,75.0,0,11
187,1977,1977-10-16,5,36.202,DEN,@,OAK,W 30-7,,0,0,,0,0,0,,0,0,,,1,25,25.00,1,0,0,,0,3,4,75.0,1,2,50.0,1,12
188,1977,1977-10-23,6,36.209,DEN,@,CIN,W 24-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,1,1,100.0,0,6
189,1977,1977-10-30,7,36.216,DEN,,OAK,L 14-24,,0,0,,0,0,,,,,,,0,0,,0,0,0,,0,2,2,100.0,,,,0,2
190,1977,1977-11-06,8,36.223,DEN,,PIT,W 21-7,,0,0,,0,0,,,,,,,0,0,,0,0,0,,0,3,3,100.0,,,,0,3
191,1977,1977-11-13,9,36.230,DEN,@,SDG,W 17-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,1,1,100.0,0,5
192,1977,1977-11-20,10,36.237,DEN,@,KAN,W 14-7,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,,2,0.0,0,2
193,1977,1977-11-27,11,36.244,DEN,,BAL,W 27-13,,0,0,,0,0,,,,,,,0,0,,0,0,0,,0,3,4,75.0,,,,0,3
194,1977,1977-12-04,12,36.251,DEN,@,HOU,W 24-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,1,2,50.0,0,6
195,1977,1977-12-11,13,36.258,DEN,,SDG,W 17-9,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,1,1,100.0,0,5
196,1977,1977-12-18,14,36.265,DEN,@,DAL,L 6-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,2,2,100.0,0,6
197,1978,1978-09-03,1,37.159,DEN,,OAK,W 14-6,,0,0,,0,0,,,,,,,0,0,,0,0,0,,0,2,2,100.0,,,,0,2
198,1978,1978-09-11,2,37.167,DEN,@,MIN,L 9-12,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,0.0,1,1,100.0,0,3
199,1978,1978-09-17,3,37.173,DEN,,SDG,W 27-14,,0,0,,0,0,,,,,,,0,0,,0,0,0,,0,3,4,75.0,,,,0,3
200,1978,1978-09-24,4,37.180,DEN,@,KAN,W 23-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,1,3,33.3,0,5
201,1978,1978-10-01,5,37.187,DEN,,SEA,W 28-7,,0,0,,0,0,,,,,,,0,0,,0,0,0,,0,4,4,100.0,,,,0,4
202,1978,1978-10-08,6,37.194,DEN,@,SDG,L 0-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,1,0.0,0,0
203,1978,1978-10-16,7,37.202,DEN,,CHI,W 16-7,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,2,50.0,1,1,100.0,0,4
204,1978,1978-10-22,8,37.208,DEN,@,BAL,L 6-7,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,2,4,50.0,0,6
205,1978,1978-10-29,9,37.215,DEN,@,SEA,W 20-17,,0,0,,0,0,0,,0,0,,,1,-4,-4.00,0,0,0,,0,2,2,100.0,2,4,50.0,0,8
206,1978,1978-11-05,10,37.222,DEN,,NYJ,L 28-31,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,4,4,100.0,,2,0.0,0,4
207,1978,1978-11-12,11,37.229,DEN,@,CLE,W 19-7,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,2,50.0,2,2,100.0,0,7
208,1978,1978-11-19,12,37.236,DEN,,GNB,W 16-3,,0,0,,0,0,,,,,,,0,0,,0,0,0,,0,2,2,100.0,,,,0,2
209,1978,1978-11-23,13,37.240,DEN,@,DET,L 14-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,,1,0.0,0,2
210,1978,1978-12-03,14,37.250,DEN,@,OAK,W 21-6,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,,1,0.0,0,3
211,1978,1978-12-10,15,37.257,DEN,,KAN,W 24-3,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,1,1,100.0,0,6
212,1978,1978-12-16,16,37.263,DEN,,PIT,L 17-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,1,1,100.0,0,5
213,1979,1979-09-02,1,38.158,DEN,,CIN,W 10-0,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,2,50.0,0,4
214,1979,1979-09-06,2,38.162,DEN,,RAM,L 9-13,,0,0,,0,0,0,,0,0,,,1,6,6.00,0,0,0,,0,1,1,100.0,,,,0,1
215,1979,1979-09-16,3,38.172,DEN,@,ATL,W 20-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,2,3,66.7,0,8
216,1979,1979-09-23,4,38.179,DEN,,SEA,W 37-34,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,4,4,100.0,1,1,100.0,0,7
217,1979,1979-09-30,5,38.186,DEN,@,OAK,L 3-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,1,2,50.0,0,3
218,1979,1979-10-07,6,38.193,DEN,,SDG,W 7-0,,0,0,,0,0,,,,,,,0,0,,0,0,0,,0,1,1,100.0,,,,0,1
219,1979,1979-10-14,7,38.200,DEN,@,KAN,W 24-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,1,2,50.0,0,6
220,1979,1979-10-22,8,38.208,DEN,@,PIT,L 7-42,,0,0,,0,0,,,,,,,0,0,,0,0,0,,0,1,1,100.0,,,,0,1
221,1979,1979-10-28,9,38.214,DEN,,KAN,W 20-3,,0,0,,0,0,,,,,,,0,0,,0,0,0,,0,2,3,66.7,,,,0,2
222,1979,1979-11-04,10,38.221,DEN,,NOR,W 10-3,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,2,50.0,0,4
223,1979,1979-11-11,11,38.228,DEN,,NWE,W 45-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,6,6,100.0,1,1,100.0,0,9
224,1979,1979-11-18,12,38.235,DEN,@,SFO,W 38-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,5,5,100.0,1,1,100.0,0,8
225,1979,1979-11-25,13,38.242,DEN,,OAK,L 10-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,1,100.0,0,4
226,1979,1979-12-02,14,38.249,DEN,@,BUF,W 19-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,2,4,50.0,0,7
227,1979,1979-12-08,15,38.255,DEN,@,SEA,L 23-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,3,66.7,1,2,50.0,0,5
228,1979,1979-12-17,16,38.264,DEN,@,SDG,L 7-17,,0,0,,0,0,,,,,,,0,0,,0,0,0,,0,1,1,100.0,,,,0,1
