ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2006,2006-09-10,1,22.115,ARI,,SFO,W 34-27,,,,,
2,2006,2006-09-17,2,22.122,ARI,@,SEA,L 10-21,,,,,
3,2006,2006-09-24,3,22.129,ARI,,STL,L 14-16,,,,,
4,2006,2006-10-01,4,22.136,ARI,@,ATL,L 10-32,,,,,
5,2006,2006-10-08,5,22.143,ARI,,KAN,L 20-23,,,,,
6,2006,2006-10-16,6,22.151,ARI,,CHI,L 23-24,,,,,
7,2006,2006-10-22,7,22.157,ARI,@,OAK,L 9-22,,1,5,5.00,0
8,2006,2006-10-29,8,22.164,ARI,@,GNB,L 14-31,,,,,
9,2006,2006-11-12,9,22.178,ARI,,DAL,L 10-27,,,,,
10,2006,2006-12-10,13,22.206,ARI,,SEA,W 27-21,,,,,
11,2006,2006-12-17,14,22.213,ARI,,DEN,L 20-37,,,,,
