ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks,def_int,def_int_yds,def_int_td
1,1991,1991-09-01,1,23.249,TAM,@,NYJ,L 13-16,,,,
2,1991,1991-09-08,2,23.256,TAM,,CHI,L 20-21,,,,
3,1991,1991-09-15,3,23.263,TAM,@,GNB,L 13-15,0.0,1,18,0
4,1991,1991-09-22,4,23.270,TAM,,BUF,L 10-17,0.0,1,0,0
5,1991,1991-09-29,5,23.277,TAM,@,DET,L 3-31,,,,
6,1991,1991-10-06,6,23.284,TAM,,PHI,W 14-13,,,,
7,1991,1991-10-20,7,23.298,TAM,@,NOR,L 7-23,,,,
8,1991,1991-10-27,8,23.305,TAM,,GNB,L 0-27,1.0,0,0,0
9,1991,1991-11-03,9,23.312,TAM,@,MIN,L 13-28,,,,
10,1991,1991-11-10,10,23.319,TAM,,DET,W 30-21,0.0,1,3,0
11,1991,1991-11-17,11,23.326,TAM,@,ATL,L 7-43,,,,
12,1991,1991-11-24,12,23.333,TAM,,NYG,L 14-21,,,,
13,1991,1991-12-01,13,23.340,TAM,@,MIA,L 14-33,,,,
14,1991,1991-12-08,14,23.347,TAM,,MIN,L 24-26,,,,
15,1991,1991-12-14,15,23.353,TAM,@,CHI,L 0-27,,,,
16,1991,1991-12-22,16,23.361,TAM,,IND,W 17-3,,,,
17,1992,1992-09-06,1,24.255,TAM,,PHO,W 23-7,,,,
18,1994,1994-09-04,1,26.252,TAM,@,CHI,L 9-21,,,,
19,1994,1994-09-18,3,26.266,TAM,,NOR,L 7-9,,,,
20,1994,1994-10-02,5,26.280,TAM,,DET,W 24-14,,,,
21,1994,1994-10-09,6,26.287,TAM,@,ATL,L 13-34,,,,
22,1994,1994-10-23,7,26.301,TAM,@,SFO,L 16-41,,,,
23,1994,1994-10-30,8,26.308,TAM,,MIN,L 13-36,,,,
24,1994,1994-11-06,9,26.315,TAM,,CHI,L 6-20,,,,
25,1994,1994-11-13,10,26.322,TAM,@,DET,L 9-14,,,,
26,1994,1994-11-20,11,26.329,TAM,@,SEA,L 21-22,,,,
27,1994,1994-11-27,12,26.336,TAM,@,MIN,W 20-17,0.0,1,38,0
28,1994,1994-12-04,13,26.343,TAM,,WAS,W 26-21,,,,
29,1994,1994-12-11,14,26.350,TAM,,RAM,W 24-14,,,,
30,1994,1994-12-18,15,26.357,TAM,@,WAS,W 17-14,,,,
31,1994,1994-12-24,16,26.363,TAM,,GNB,L 19-34,,,,
32,1995,1995-09-03,1,27.251,SEA,,KAN,L 10-34,,,,
33,1995,1995-09-17,3,27.265,SEA,,CIN,W 24-21,,,,
34,1995,1995-10-08,5,27.286,SEA,@,OAK,L 14-34,,,,
35,1995,1995-10-22,7,27.300,SEA,,SDG,L 25-35,,,,
36,1995,1995-10-29,8,27.307,SEA,@,ARI,L 14-20,,,,
37,1995,1995-11-05,9,27.314,SEA,,NYG,W 30-28,,,,
38,1995,1995-11-12,10,27.321,SEA,@,JAX,W 47-30,,,,
39,1995,1995-11-19,11,27.328,SEA,@,WAS,W 27-20,,,,
40,1995,1995-11-26,12,27.335,SEA,,NYJ,L 10-16,,,,
41,1995,1995-12-17,15,27.356,SEA,,OAK,W 44-10,,,,
42,1995,1995-12-24,16,27.363,SEA,@,KAN,L 3-26,,,,
