ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,sacks
1,1979,1979-09-02,1,22.003,SEA,,SDG,L 16-33,,,,,
2,1979,1979-09-09,2,22.010,SEA,@,MIA,L 10-19,,,,,
3,1979,1979-09-16,3,22.017,SEA,,OAK,W 27-10,,,,,
4,1979,1979-09-23,4,22.024,SEA,@,DEN,L 34-37,,,,,
5,1979,1979-09-30,5,22.031,SEA,,KAN,L 6-24,,,,,
6,1979,1979-10-07,6,22.038,SEA,@,SFO,W 35-24,,,,,
7,1979,1979-10-14,7,22.045,SEA,@,SDG,L 10-20,,,,,
8,1979,1979-10-21,8,22.052,SEA,,HOU,W 34-14,,,,,
9,1979,1979-10-29,9,22.060,SEA,@,ATL,W 31-28,,,,,
10,1979,1979-11-04,10,22.066,SEA,,RAM,L 0-24,,,,,
11,1979,1979-11-11,11,22.073,SEA,@,CLE,W 29-24,1,4,4.00,0,0.0
12,1979,1979-11-18,12,22.080,SEA,,NOR,W 38-24,,,,,
13,1979,1979-11-26,13,22.088,SEA,,NYJ,W 30-7,1,16,16.00,0,0.0
14,1979,1979-12-02,14,22.094,SEA,@,KAN,L 21-37,,,,,
15,1979,1979-12-08,15,22.100,SEA,,DEN,W 28-23,,,,,
16,1979,1979-12-16,16,22.108,SEA,@,OAK,W 29-24,,,,,
17,1980,1980-09-07,1,23.008,SEA,,SDG,L 13-34,,,,,
18,1980,1980-09-14,2,23.015,SEA,@,KAN,W 17-16,,,,,
19,1980,1980-09-21,3,23.022,SEA,,NWE,L 31-37,,,,,
20,1980,1980-09-28,4,23.029,SEA,@,WAS,W 14-0,,,,,
21,1980,1980-10-05,5,23.036,SEA,@,HOU,W 26-7,,,,,
22,1980,1980-10-12,6,23.043,SEA,,CLE,L 3-27,,,,,
23,1980,1980-10-19,7,23.050,SEA,@,NYJ,W 27-17,,,,,
24,1980,1980-10-26,8,23.057,SEA,@,OAK,L 14-33,,,,,
25,1980,1980-11-02,9,23.064,SEA,,PHI,L 20-27,1,13,13.00,0,0.0
26,1980,1980-11-09,10,23.071,SEA,,KAN,L 30-31,,,,,
27,1980,1980-11-17,11,23.079,SEA,,OAK,L 17-19,,,,,
28,1980,1980-11-23,12,23.085,SEA,@,DEN,L 20-36,,,,,
29,1980,1980-11-27,13,23.089,SEA,@,DAL,L 7-51,,,,,
30,1980,1980-12-07,14,23.099,SEA,,NYG,L 21-27,,,,,
31,1980,1980-12-13,15,23.105,SEA,@,SDG,L 14-21,,,,,
32,1980,1980-12-21,16,23.113,SEA,,DEN,L 17-25,,,,,
33,1982,1982-09-12,1,25.013,SEA,,CLE,L 7-21,,,,,
34,1982,1982-09-19,2,25.020,SEA,@,HOU,L 21-23,,,,,
35,1982,1982-11-21,3,25.083,SEA,@,DEN,W 17-10,,,,,
36,1982,1982-11-28,4,25.090,SEA,,PIT,W 16-0,,,,,
37,1982,1982-12-05,5,25.097,SEA,@,RAI,L 23-28,0,0,,0,1.0
38,1982,1982-12-12,6,25.104,SEA,,CHI,W 20-14,,,,,
39,1982,1982-12-19,7,25.111,SEA,,NWE,L 0-16,,,,,
40,1982,1982-12-26,8,25.118,SEA,@,CIN,L 10-24,,,,,
41,1982,1983-01-02,9,25.125,SEA,,DEN,W 13-11,,,,,
42,1983,1983-10-30,9,26.061,BAL,@,PHI,W 22-21,,,,,
43,1983,1983-11-06,10,26.068,BAL,@,NYJ,W 17-14,,,,,
44,1983,1983-11-13,11,26.075,BAL,,PIT,L 13-24,,,,,
45,1983,1983-11-20,12,26.082,BAL,@,MIA,L 0-37,,,,,
46,1983,1983-12-04,14,26.096,BAL,,NYJ,L 6-10,,,,,
47,1983,1983-12-11,15,26.103,BAL,@,DEN,L 19-21,,,,,
48,1983,1983-12-18,16,26.110,BAL,,HOU,W 20-10,,,,,
49,1984,1984-09-02,1,27.003,IND,,NYJ,L 14-23,,,,,
50,1984,1984-09-09,2,27.010,IND,@,HOU,W 35-21,,,,,
51,1984,1984-09-16,3,27.017,IND,,STL,L 33-34,,,,,
52,1984,1984-09-23,4,27.024,IND,@,MIA,L 7-44,,,,,
53,1984,1984-09-30,5,27.031,IND,,BUF,W 31-17,,,,,
54,1984,1984-10-07,6,27.038,IND,,WAS,L 7-35,,,,,
55,1984,1984-10-14,7,27.045,IND,@,PHI,L 7-16,,,,,
56,1984,1984-10-21,8,27.052,IND,,PIT,W 17-16,,,,,
57,1984,1984-10-28,9,27.059,IND,@,DAL,L 3-22,,,,,
58,1984,1984-11-04,10,27.066,IND,,SDG,L 10-38,,,,,
59,1984,1984-11-11,11,27.073,IND,@,NYJ,W 9-5,,,,,
60,1984,1984-11-18,12,27.080,IND,,NWE,L 17-50,,,,,
61,1984,1984-11-25,13,27.087,IND,@,RAI,L 7-21,,,,,
62,1984,1984-12-02,14,27.094,IND,@,BUF,L 15-21,,,,,
63,1984,1984-12-09,15,27.101,IND,,MIA,L 17-35,,,,,
64,1984,1984-12-16,16,27.108,IND,@,NWE,L 10-16,,,,,
