ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1966,1966-09-04,1,27.119,BUF,@,SDG,L 7-27,,0,0,,0,0,0,,0,0,,,1,1,100.0,,2,0.0,0,1
2,1966,1966-09-11,2,27.126,BUF,,KAN,L 20-42,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8
3,1966,1966-09-18,3,27.133,BUF,,MIA,W 58-24,,0,0,,0,0,0,,0,0,,,7,8,87.5,1,1,100.0,0,10
4,1966,1966-09-25,4,27.140,BUF,,HOU,W 27-20,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,3,66.7,0,9
5,1966,1966-10-02,5,27.147,BUF,@,KAN,W 29-14,,0,0,,0,0,0,,0,0,,,2,2,100.0,3,3,100.0,0,11
6,1966,1966-10-08,6,27.153,BUF,,BOS,L 10-20,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,4,25.0,0,4
7,1966,1966-10-16,7,27.161,BUF,,SDG,T 17-17,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,4,25.0,0,5
8,1966,1966-10-30,8,27.175,BUF,@,NYJ,W 33-23,,0,0,,0,0,0,,0,0,,,3,3,100.0,4,4,100.0,0,15
9,1966,1966-11-06,9,27.182,BUF,@,MIA,W 29-0,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,6,33.3,0,9
10,1966,1966-11-13,10,27.189,BUF,,NYJ,W 14-3,,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2
11,1966,1966-11-20,11,27.196,BUF,@,HOU,W 42-20,,0,0,,0,0,0,,0,0,,,6,6,100.0,,2,0.0,0,6
12,1966,1966-11-24,12,27.200,BUF,@,OAK,W 31-10,,0,0,,0,0,0,,0,0,,,4,4,100.0,1,2,50.0,0,7
13,1966,1966-12-04,13,27.210,BUF,@,BOS,L 3-14,,0,0,,0,0,0,,0,0,,,,,,1,1,100.0,0,3
14,1966,1966-12-18,14,27.224,BUF,,DEN,W 38-21,,0,0,,0,0,0,,0,0,,,5,5,100.0,1,4,25.0,0,8
15,1967,1967-11-05,7,28.181,MIA,@,BUF,L 13-35,,0,0,,0,0,0,,0,0,,,1,1,100.0,,1,0.0,0,1
16,1967,1967-11-12,8,28.188,MIA,@,SDG,L 0-24,,0,0,,0,0,0,,0,0,,,,,,,1,0.0,0,0
17,1967,1967-11-19,9,28.195,MIA,@,OAK,L 17-31,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5
18,1967,1967-11-26,10,28.202,MIA,,BUF,W 17-14,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5
19,1967,1967-12-03,11,28.209,MIA,@,HOU,L 14-17,,0,0,,0,0,0,,0,0,,,2,2,100.0,,2,0.0,0,2
20,1967,1967-12-10,12,28.216,MIA,,SDG,W 41-24,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,5,5,100.0,2,2,100.0,0,11
