ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2006,2006-09-10,1,24.330,DAL,@,JAX,L 17-24,,1,19,19.00,0,0,0,0.0,,,0,0,0
2,2006,2006-09-17,2,24.337,DAL,,WAS,W 27-10,,1,26,26.00,0,0,0,0.0,,,0,0,0
3,2006,2006-10-01,3,24.351,DAL,@,TEN,W 45-14,,,,,,,,,,,,,
4,2006,2006-10-08,4,24.358,DAL,@,PHI,L 24-38,,1,25,25.00,0,0,0,0.0,,,0,0,0
5,2006,2006-10-15,5,25.000,DAL,,HOU,W 34-6,,,,,,,,,,,,,
6,2006,2006-10-23,6,25.008,DAL,,NYG,L 22-36,,,,,,,,,,,,,
7,2006,2006-10-29,7,25.014,DAL,@,CAR,W 35-14,,,,,,,,,,,,,
8,2006,2006-11-05,8,25.021,DAL,@,WAS,L 19-22,,,,,,,,,,,,,
9,2006,2006-11-12,9,25.028,DAL,@,ARI,W 27-10,,,,,,,,,,,,,
10,2006,2006-11-19,10,25.035,DAL,,IND,W 21-14,,,,,,,,,,,,,
11,2006,2006-11-23,11,25.039,DAL,,TAM,W 38-10,,,,,,,,,,,,,
12,2006,2006-12-03,12,25.049,DAL,@,NYG,W 23-20,,1,25,25.00,0,0,0,0.0,,,0,0,0
13,2006,2006-12-10,13,25.056,DAL,,NOR,L 17-42,,,,,,,,,,,,,
14,2006,2006-12-16,14,25.062,DAL,@,ATL,W 38-28,,,,,,,,,,,,,
15,2006,2006-12-25,15,25.071,DAL,,PHI,L 7-23,,,,,,,,,,,,,
16,2007,2007-09-30,4,25.350,NYJ,@,BUF,L 14-17,,,,,,,,,,,,,
17,2007,2007-10-07,5,25.357,NYJ,@,NYG,L 24-35,,,,,,,,,,,,,
18,2007,2007-10-14,6,25.364,NYJ,,PHI,L 9-16,,,,,,,,,,,,,
19,2007,2007-10-21,7,26.006,NYJ,@,CIN,L 31-38,*,,,,,,,,,,,,
20,2007,2007-10-28,8,26.013,NYJ,,BUF,L 3-13,*,,,,,,,,,,,,
21,2007,2007-11-04,9,26.020,NYJ,,WAS,L 20-23,*,,,,,,,,,,,,
22,2007,2007-11-18,10,26.034,NYJ,,PIT,W 19-16,*,,,,,,,,,,,,
23,2007,2007-11-22,11,26.038,NYJ,@,DAL,L 3-34,*,,,,,,,,,,,,
24,2007,2007-12-02,12,26.048,NYJ,@,MIA,W 40-13,*,,,,,,,,,,,,
25,2007,2007-12-09,13,26.055,NYJ,,CLE,L 18-24,*,,,,,,,,,,,,
26,2007,2007-12-16,14,26.062,NYJ,@,NWE,L 10-20,,,,,,,,,,,,,
27,2007,2007-12-23,15,26.069,NYJ,@,TEN,L 6-10,*,,,,,,,,,,,,
28,2007,2007-12-30,16,26.076,NYJ,,KAN,W 13-10,,,,,,,,,,,,,
29,2008,2008-09-07,1,26.328,NYJ,@,MIA,W 20-14,,,,,,,,,,,,,
30,2008,2008-09-14,2,26.335,NYJ,,NWE,L 10-19,,0,0,,0,0,0,0.0,0,0,0,0,0
31,2008,2008-09-22,3,26.343,NYJ,@,SDG,L 29-48,,0,0,,0,0,0,0.0,0,1,0,0,0
32,2008,2008-09-28,4,26.349,NYJ,,ARI,W 56-35,,0,0,,0,0,0,0.0,0,2,0,0,0
33,2008,2008-10-12,5,26.363,NYJ,,CIN,W 26-14,*,0,0,,0,0,0,0.0,5,1,0,0,0
34,2008,2008-10-19,6,27.004,NYJ,@,OAK,L 13-16,,0,0,,0,0,0,0.0,2,0,0,0,0
35,2008,2008-10-26,7,27.011,NYJ,,KAN,W 28-24,,0,0,,0,0,0,0.0,1,1,0,0,0
36,2008,2008-11-02,8,27.018,NYJ,@,BUF,W 26-17,*,0,0,,0,1,6,0.0,1,0,1,92,1
37,2008,2008-11-09,9,27.025,NYJ,,STL,W 47-3,*,0,0,,0,0,0,1.0,2,2,0,0,0
38,2008,2008-11-13,10,27.029,NYJ,@,NWE,W 34-31,*,0,0,,0,0,0,0.0,4,2,0,0,0
